project,n,mean_dX,mean_dY,mean_dZ,mean_vector_mm,median_dev_mm,bias_ratio
P6,168,-1.813685996630531,1.393450626537523,-1.4852013312155563,2.7270835222295555,9.89690821025603,0.2755490365570448
P8,1080,2.3116324537254327,1.4834474273229086,-2.603459320245145,3.784476357822695,10.84315900971669,0.34901972335104364
P4,2980,-0.10186677076420146,2.9858993583693225,-3.041008216528335,4.263062606892972,9.250479881342546,0.46084772482898073
P2,1784,2.0671223384860333,-0.7084853313028807,-4.4577777503718785,4.964547179617683,10.417324999274687,0.47656641027935126
P3,2516,1.536433024162638,-1.580500811984931,-4.605447514409838,5.105757148788643,10.018430320991557,0.509636438563692
P1,2380,-3.0624327465089665,-0.3075175324905322,-5.177250873201006,6.0230381008042855,10.84744872556884,0.5552492805619081
P5,32,-2.3019379381836123,6.2182022862221205,3.0997952584216604,7.319404933992956,10.742485046649337,0.6813511866396252
