group,n,mean,sd,median,q25,q75,p95,max,pct_gt_5mm,pct_gt_10mm,pct_gt_20mm
anode,2735,9.9489670885355,5.894071890087617,8.98797630052703,5.92369191657852,12.861638182790932,19.60053352842057,101.43971172283253,81.06032906764167,41.71846435100549,4.460694698354662
cathode1,2735,10.996250614450327,6.489252834052707,9.846576220382456,6.631331607760661,14.100629853903126,22.182023647652766,86.28709601486813,85.81352833638024,48.84826325411334,7.714808043875686
cathode2,2735,11.918947565618204,9.496295710001228,10.652034479045849,7.205426037225262,14.991787023607937,22.284415912983697,161.16238043249214,87.75137111517367,54.07678244972578,7.897623400365631
cathode3,2735,12.084274200556347,6.900702956412103,11.056621209227536,7.272396094383213,15.703654828435143,23.572006274310098,93.8018910713128,88.48263254113346,55.97806215722121,11.078610603290677
