network,n_images,n_electrodes,median_net,median_gt,mean_diff,ci_lo,ci_hi,pct_diff,wilcoxon_p
a_baseline,66,264,1552.85,1400.9953504886512,102.24857161784942,63.58526415171381,140.91187908398504,6.987774074829167,1.0749345489227471e-10
b_no_attention,66,264,1580.35,1400.9953504886512,150.90766252694033,110.20683128243206,191.6084937714486,10.313187120500942,2.8457686521700025e-15
d_increased,65,260,1421.55,1400.9953504886512,-19.34304499369854,-59.95901729726121,21.27292730986413,-1.320405408067399,0.3960886485583024
proposed,64,256,1307.1,1395.1271822351805,-159.5110691947171,-199.7726750260992,-119.249463363335,-10.892878303739364,4.577817856264992e-12
