a,b,n_a,n_b,median_a,median_b,U,p_raw,effect_r,p_holm,significant
anode,cathode3,2735,2735,8.98797630052703,11.056621209227536,2997490.0,4.788049448330863e-37,0.19855619316263884,2.8728296689985176e-36,True
anode,cathode2,2735,2735,8.98797630052703,10.652034479045849,3119902.0,2.396689991289155e-26,0.16582669638948022,1.1983449956445775e-25,True
cathode1,cathode3,2735,2735,9.846576220382456,11.056621209227536,3340584.0,7.840419913743839e-12,0.10682258889271379,3.1361679654975356e-11,True
anode,cathode1,2735,2735,8.98797630052703,9.846576220382456,3393350.0,2.8873082048165547e-09,0.09271445711860271,8.661924614449665e-09,True
cathode1,cathode2,2735,2735,9.846576220382456,10.652034479045849,3470601.0,3.930002889427468e-06,0.07205973082360495,7.860005778854936e-06,True
cathode2,cathode3,2735,2735,10.652034479045849,11.056621209227536,3597273.0,0.014447292721815549,0.038191230878750315,0.014447292721815549,True
