a,b,n_a,n_b,median_a,median_b,U,p_raw,effect_r,p_holm,significant
ses-1,ses-3,729,659,8.734136865701378,9.365987582286195,218935.0,0.004339934791735476,0.08855126131583169,0.026039608750412856,True
ses-2,ses-3,699,659,8.826152332812539,9.365987582286195,213242.0,0.018055146149748222,0.07415101999170726,0.09027573074874111,False
ses-3,ses-4,659,648,9.365987582286195,9.014018728255403,223751.0,0.13358585183987437,0.04793551771295834,0.5343434073594975,False
ses-1,ses-4,729,648,8.734136865701378,9.014018728255403,226310.0,0.17953501033438646,0.04185506951853546,0.5386050310031594,False
ses-1,ses-2,729,699,8.734136865701378,8.826152332812539,250486.0,0.5810349706775467,0.01687497914912739,0.8348073574742578,False
ses-2,ses-4,699,648,8.826152332812539,9.014018728255403,220691.0,0.4174036787371289,0.025543545452939798,0.8348073574742578,False
