network,n_images,n_electrodes,median_net,median_gt,mean_diff,ci_lo,ci_hi,pct_diff,wilcoxon_p
a_baseline,54,216,1559.8,1418.2363311158283,58.16062214183334,15.64012078895567,100.68112349471102,3.8820535752401955,4.0799023750880684e-05
b_no_attention,54,216,1570.8000000000002,1418.2363311158283,79.86293695664817,34.64163336289914,125.0842405503972,5.330620418496877,5.36854348194182e-06
c_reduced,54,216,1470.65,1418.2363311158283,-29.656507487796286,-77.77249764924116,18.45948267364859,-1.9794862345416466,0.7640755698701808
d_increased,54,216,1419.35,1418.2363311158283,-75.22641489520369,-124.02344396068915,-26.429385829718235,-5.02114595996346,0.09528962037956687
proposed,54,216,1311.5,1418.2363311158283,-182.94817415446298,-230.29121133805404,-135.6051369708719,-12.211262318137429,4.841047753216957e-11
