subject,session,run,electrode,condition,X,Y,Z,X_ref,Y_ref,Z_ref,stim,dX,dY,dZ,deviation_mm,exp,project,network,star_min_angle,star_radius_cv,spoke_min_mm,spoke_max_mm,star_hub_agrees,note,baseline_residual_mm,baseline_condition_used
sub-1109,ses-3,run-02,anode,control,-52.34662051,-13.35030853,62.35742968,-48.7093474981009,-11.4753011743017,67.96037593628932,active,-3.6372730118991043,-1.8750073556982993,-5.6029462562893215,6.93818523087117,P1,P1,a_baseline,108.42,0.0224,57.65,60.88,True,different_montage?+high_residual,50.11,control
sub-1109,ses-3,run-02,cathode1,control,-28.19686191,35.90926438,65.06323421,-29.09999835378145,39.29243775403908,62.07413834638205,active,0.9031364437814524,-3.3831733740390746,2.9890958636179548,4.603934360608447,P1,P1,a_baseline,108.42,0.0224,57.65,60.88,True,different_montage?+high_residual,50.11,control
sub-1109,ses-3,run-02,cathode2,control,-72.78467685,-33.29783686,17.45603048,-70.3585359452983,-29.5170981103404,23.88202889626525,active,-2.426140904701697,-3.780738749659598,-6.4259984162652515,7.840510240315226,P1,P1,a_baseline,108.42,0.0224,57.65,60.88,True,different_montage?+high_residual,50.11,control
sub-1109,ses-3,run-02,cathode3,control,-21.75471888,-49.45828094,83.88425882,-12.534466345094897,-47.26489164182854,86.00510643033674,active,-9.220252534905102,-2.1933892981714607,-2.120847610336739,9.711951812433384,P1,P1,a_baseline,108.42,0.0224,57.65,60.88,True,different_montage?+high_residual,50.11,control
sub-1109,ses-4,run-01,anode,control,-53.17284782,-16.6453626,64.2460906,-48.7093474981009,-11.4753011743017,67.96037593628932,active,-4.4635003218991045,-5.170061425698298,-3.714285336289322,7.774849569506848,P1,P1,a_baseline,103.02,0.0248,57.04,60.49,True,different_montage?+high_residual,49.64,control
sub-1109,ses-4,run-01,cathode1,control,-31.97090712,31.17161705,67.16867493,-29.09999835378145,39.29243775403908,62.07413834638205,active,-2.870908766218548,-8.12082070403908,5.094536583617945,10.007204857147768,P1,P1,a_baseline,103.02,0.0248,57.04,60.49,True,different_montage?+high_residual,49.64,control
sub-1109,ses-4,run-01,cathode2,control,-70.20511261,-39.25288049,21.25076955,-70.3585359452983,-29.5170981103404,23.88202889626525,active,0.15342333529829943,-9.735782379659604,-2.6312593462652494,10.086254161541474,P1,P1,a_baseline,103.02,0.0248,57.04,60.49,True,different_montage?+high_residual,49.64,control
sub-1109,ses-4,run-01,cathode3,control,-19.08262438,-53.84704088,84.95215772,-12.534466345094897,-47.26489164182854,86.00510643033674,active,-6.548158034905102,-6.582149238171461,-1.0529487103367359,9.344076371169768,P1,P1,a_baseline,103.02,0.0248,57.04,60.49,True,different_montage?+high_residual,49.64,control
sub-1109,ses-4,run-02,anode,control,-52.71406059,-17.45337483,64.30386135,-48.7093474981009,-11.4753011743017,67.96037593628932,active,-4.004713091899106,-5.978073655698301,-3.656514586289319,8.071257058298212,P1,P1,a_baseline,102.98,0.0186,57.31,59.81,True,different_montage?+high_residual,49.7,control
sub-1109,ses-4,run-02,cathode1,control,-32.0879031,30.39965453,66.02487597,-29.09999835378145,39.29243775403908,62.07413834638205,active,-2.987904746218547,-8.892783224039079,3.950737623617947,10.179267950736762,P1,P1,a_baseline,102.98,0.0186,57.31,59.81,True,different_montage?+high_residual,49.7,control
sub-1109,ses-4,run-02,cathode2,control,-70.49128158,-39.90889349,21.23197675,-70.3585359452983,-29.5170981103404,23.88202889626525,active,-0.1327456347017062,-10.391795379659598,-2.6500521462652493,10.725195056229607,P1,P1,a_baseline,102.98,0.0186,57.31,59.81,True,different_montage?+high_residual,49.7,control
sub-1109,ses-4,run-02,cathode3,control,-18.90440442,-54.48562959,84.13625947,-12.534466345094897,-47.26489164182854,86.00510643033674,active,-6.369938074905102,-7.220737948171461,-1.8688469603367395,9.80855527360931,P1,P1,a_baseline,102.98,0.0186,57.31,59.81,True,different_montage?+high_residual,49.7,control
sub-1115,ses-1,run-01,anode,control,-52.15795537,-52.28004743,70.41985465,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-2.9742041399206016,-5.7644502387144385,-5.355501986161968,8.411669177061148,P1,P1,a_baseline,110.03,0.0332,55.46,59.68,True,different_montage?+high_residual,49.1,control
sub-1115,ses-1,run-01,cathode1,control,-48.54560549,1.33301019,74.21677731,-44.18914690610488,7.9752710600561665,76.45900900466773,active,-4.356458583895119,-6.642260870056166,-2.242231694667737,8.253845396640605,P1,P1,a_baseline,110.03,0.0332,55.46,59.68,True,different_montage?+high_residual,49.1,control
sub-1115,ses-1,run-01,cathode2,control,-70.43487692,-65.090479,25.62953835,-72.38837427648195,-65.19392501973634,31.37096372927896,active,1.9534973564819609,0.10344601973633871,-5.741425379278958,6.065543535958655,P1,P1,a_baseline,110.03,0.0332,55.46,59.68,True,different_montage?+high_residual,49.1,control
sub-1115,ses-1,run-01,cathode3,control,-11.79825851,-80.2869568,81.55108527,-3.4345209803029757,-72.70283429555828,87.0277601984364,active,-8.363737529697024,-7.584122504441723,-5.476674928436395,12.548505405019583,P1,P1,a_baseline,110.03,0.0332,55.46,59.68,True,different_montage?+high_residual,49.1,control
sub-1115,ses-1,run-02,anode,control,-51.31386724,-52.80752801,69.63829331,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-2.1301160099205987,-6.291930818714434,-6.137063326161979,9.04374556876358,P1,P1,a_baseline,109.45,0.0359,54.99,59.6,True,different_montage?+high_residual,49.17,control
sub-1115,ses-1,run-02,cathode1,control,-48.15931392,0.789253,73.08510991,-44.18914690610488,7.9752710600561665,76.45900900466773,active,-3.9701670138951215,-7.186018060056167,-3.3738990946677347,8.87605074223182,P1,P1,a_baseline,109.45,0.0359,54.99,59.6,True,different_montage?+high_residual,49.17,control
sub-1115,ses-1,run-02,cathode2,control,-70.39946012,-65.57859888,25.00839469,-72.38837427648195,-65.19392501973634,31.37096372927896,active,1.988914156481954,-0.38467386026366057,-6.362569039278959,6.677277759702352,P1,P1,a_baseline,109.45,0.0359,54.99,59.6,True,different_montage?+high_residual,49.17,control
sub-1115,ses-1,run-02,cathode3,control,-11.2682803,-79.86198204,80.61469551,-3.4345209803029757,-72.70283429555828,87.0277601984364,active,-7.833759319697025,-7.159147744441725,-6.413064688436393,12.399539515794721,P1,P1,a_baseline,109.45,0.0359,54.99,59.6,True,different_montage?+high_residual,49.17,control
sub-1115,ses-2,run-01,anode,control,-55.20139902,-34.8025312,71.90368834,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-6.017647789920595,11.713065991285568,-3.871668296161971,13.725808363635728,P1,P1,a_baseline,106.07,0.0411,53.82,58.93,True,different_montage?+high_residual,52.83,control
sub-1115,ses-2,run-01,cathode1,control,-49.82437861,17.98712775,68.19299333,-44.18914690610488,7.9752710600561665,76.45900900466773,active,-5.635231703895116,10.011856689943833,-8.266015674667742,14.153449256997762,P1,P1,a_baseline,106.07,0.0411,53.82,58.93,True,different_montage?+high_residual,52.83,control
sub-1115,ses-2,run-01,cathode2,control,-72.02479181,-58.94532891,32.65076075,-72.38837427648195,-65.19392501973634,31.37096372927896,active,0.363582466481958,6.24859610973634,1.2797970207210447,6.388663863969655,P1,P1,a_baseline,106.07,0.0411,53.82,58.93,True,different_montage?+high_residual,52.83,control
sub-1115,ses-2,run-01,cathode3,control,-18.92051077,-61.7072131,89.60629323,-3.4345209803029757,-72.70283429555828,87.0277601984364,active,-15.485989789697024,10.995621195558279,2.578533031563609,19.166856754243135,P1,P1,a_baseline,106.07,0.0411,53.82,58.93,True,different_montage?+high_residual,52.83,control
