project,n,mean_dX,mean_dY,mean_dZ,mean_vector_mm,median_dev_mm,bias_ratio
P4,745,0.24588792029498416,1.8559132152663478,-2.896395490463412,3.448765223833605,8.112316720215478,0.42512704357800263
P8,270,2.9039828808228836,0.9214831774012188,-4.117350659094078,5.1219941690994,10.443849740270771,0.49043162210093283
P2,446,2.0563811726088566,-1.0192639939003323,-4.961229854510651,5.466388596286364,9.023538114741363,0.6057921545603228
P1,595,-2.8519169344603905,0.04031631952125481,-5.882821018617175,6.53778546174205,9.922339487594636,0.6588955628776751
P3,629,2.3813429443150618,-1.802143777086458,-5.522791582477672,6.278514416262561,9.200981005572494,0.6823744568606361
P6,42,-0.963935013185545,0.47658989253451545,-4.865969215113417,4.983368844240065,6.705043752840567,0.7432268942508957
P5,8,-0.664961300497338,6.039814280331325,0.7385693720233713,6.121030533279859,6.544329390139977,0.9353182225977376
