network,n_images,n_electrodes,median,p5,p95,within_cv_median,within_cv_p95,bias_vs_gt_mm3,bias_vs_gt_pct
proposed,3769,15076,1423.7,673.2,1909.5,0.15099688403853812,0.5056029010950326,5.463668884171739,0.3852438951322787
c_reduced,3793,15172,1546.2,870.34,2031.1,0.12196417392906889,0.47326862067219316,127.96366888417174,9.022732394924162
d_increased,3863,15452,1554.3,958.3850000000001,2037.7,0.11899093269826663,0.450323871882653,136.06366888417165,9.593864287563456
a_baseline,4136,16544,1603.4,922.8,2134.5,0.1211870259683551,0.3831630485160964,185.16366888417178,13.055910698500456
b_no_attention,4079,16316,1649.7,1024.7,2232.8,0.10218193889101498,0.4223545289312938,231.46366888417174,16.320528800870772
