group,n,mean,sd,median,q25,q75,p95,max,pct_gt_5mm,pct_gt_10mm,pct_gt_20mm
ses-1,729,9.735592892629715,6.479219044540484,8.734136865701378,5.582328175142205,12.29787622907788,19.93255727271856,101.43971172283253,78.87517146776406,38.95747599451303,4.938271604938271
ses-2,699,9.69663732736197,5.599047714959221,8.826152332812539,5.711358703479347,12.819054540545142,19.051059217588836,45.78247125657251,79.39914163090128,42.34620886981402,3.290414878397711
ses-4,648,10.041915142691032,5.759284062169975,9.014018728255403,5.910070086181286,12.698002563955443,20.11824131542858,48.238188221837916,82.4074074074074,40.586419753086425,5.092592592592593
ses-3,659,10.361255332515515,5.633166185016578,9.365987582286195,6.516546902941672,13.58993159157586,19.482376873345125,50.98806680214069,83.91502276176024,45.220030349013655,4.552352048558421
