network,n_images,n_electrodes,median,p5,p95,within_cv_median,within_cv_p95,bias_vs_gt_mm3,bias_vs_gt_pct
proposed,3769,15076,1423.7,673.2,1909.5,0.15099688403853812,0.5056029010950326,28.572817764819547,2.048043943853353
d_increased,3863,15452,1554.3,958.3850000000001,2037.7,0.11899093269826663,0.450323871882653,159.17281776481946,11.409197655356646
a_baseline,4136,16544,1603.4,922.8,2134.5,0.1211870259683551,0.3831630485160964,208.2728177648196,14.928590053785538
b_no_attention,4079,16316,1649.7,1024.7,2232.8,0.10218193889101498,0.4223545289312938,254.57281776481955,18.24728390403517
