a,b,n_a,n_b,median_a,median_b,U,p_raw,effect_r,p_holm,significant
ses-2,ses-3,2796,2636,10.013986376946747,10.487879143117457,3485028.0,0.0005322443191161189,0.05429933505701834,0.0031934659146967137,True
ses-1,ses-3,2916,2636,9.799882194016973,10.487879143117457,3644639.0,0.0008660381595414433,0.051687253206108896,0.0043301907977072165,True
ses-3,ses-4,2636,2592,10.487879143117457,9.944481734163332,3542376.0,0.02081129022589097,0.03691760804810884,0.08324516090356388,False
ses-1,ses-4,2916,2592,9.799882194016973,9.944481734163332,3722516.0,0.33645690564121733,0.01498226049552065,0.8257995833031483,False
ses-2,ses-4,2796,2592,10.013986376946747,9.944481734163332,3561374.0,0.2752665277677161,0.017176764866917438,0.8257995833031483,False
ses-1,ses-2,2916,2796,9.799882194016973,10.013986376946747,4081826.0,0.9327487581577036,0.001289810448396711,0.9327487581577036,False
