subject,session,run,electrode,condition,X,Y,Z,X_ref,Y_ref,Z_ref,stim,dX,dY,dZ,deviation_mm,exp,project,network,star_min_angle,star_radius_cv,spoke_min_mm,spoke_max_mm,star_hub_agrees,note,baseline_residual_mm,baseline_condition_used
sub-1156,ses-2,run-01,anode,target,76.57410861,-48.10044152,-6.70523879,74.96792231881057,-52.16663386332377,-8.027894477284987,active,1.606186291189431,4.06619234332377,1.3226556872849864,4.567622208766508,P1,P1,a_baseline,114.94,0.0366,41.69,45.38,True,,,target
sub-1156,ses-2,run-02,anode,target,76.66661643,-49.10482277,-6.57145734,74.96792231881057,-52.16663386332377,-8.027894477284987,active,1.6986941111894396,3.0618110933237688,1.4564371372849862,3.792289280824059,P1,P1,a_baseline,115.47,0.0253,42.28,44.77,True,,,target
sub-1156,ses-3,run-01,anode,target,76.03826539,-49.22411732,-2.70560962,74.96792231881057,-52.16663386332377,-8.027894477284987,active,1.0703430711894413,2.9425165433237694,5.322284857284986,6.175010445324151,P1,P1,a_baseline,115.95,0.0409,40.43,44.41,True,,,target
sub-1156,ses-3,run-02,anode,target,75.2792993,-49.8448415,-2.551151,74.96792231881057,-52.16663386332377,-8.027894477284987,active,0.31137698118944,2.321792363323766,5.476743477284987,5.956710041523497,P1,P1,a_baseline,116.3,0.0443,41.02,45.72,True,,,target
sub-1156,ses-4,run-01,anode,target,71.72132018,-60.79849873,6.58806372,74.96792231881057,-52.16663386332377,-8.027894477284987,active,-3.246602138810559,-8.631864866676231,14.615958197284986,17.282238007534527,P1,P1,a_baseline,112.07,0.0106,42.11,43.15,True,,,target
sub-1156,ses-4,run-02,anode,target,72.00844989,-61.15890728,6.67925775,74.96792231881057,-52.16663386332377,-8.027894477284987,active,-2.959472428810571,-8.992273416676234,14.707152227284986,17.490562738050645,P1,P1,a_baseline,111.5,0.0101,42.37,43.4,True,,,target
sub-1161,ses-1,run-01,anode,control,-42.17266315,-18.46641557,76.18314569,-39.33740979439083,-16.9938349437977,77.98696911906234,active,-2.8352533556091686,-1.4725806262022978,-1.8038234290623336,3.668914588048296,P1,P1,a_baseline,104.36,0.0389,55.11,59.99,True,different_montage?+high_residual,47.02,control
sub-1161,ses-1,run-02,anode,control,-41.80488276,-19.43959557,76.63174254,-39.33740979439083,-16.9938349437977,77.98696911906234,active,-2.4674729656091685,-2.4457606262023006,-1.3552265790623323,3.7291831487995553,P1,P1,a_baseline,104.98,0.0431,54.81,60.26,True,different_montage?+high_residual,46.85,control
sub-1161,ses-2,run-01,anode,control,-42.85924502,-12.71575224,76.20436515,-39.33740979439083,-16.9938349437977,77.98696911906234,active,-3.5218352256091734,4.2780827037977005,-1.782603969062336,5.820909884836859,P1,P1,a_baseline,100.77,0.06,51.04,59.08,True,different_montage?+high_residual,48.09,control
sub-1161,ses-2,run-02,anode,control,-42.53093894,-13.33229804,76.14180999,-39.33740979439083,-16.9938349437977,77.98696911906234,active,-3.193529145609169,3.6615369037977015,-1.8451591290623384,5.197123542238512,P1,P1,a_baseline,100.1,0.0577,51.23,58.94,True,different_montage?+high_residual,47.67,control
sub-1161,ses-3,run-01,anode,control,-44.49375679,-13.02483588,74.42239213,-39.33740979439083,-16.9938349437977,77.98696911906234,active,-5.156346995609169,3.9689990637977015,-3.5645769890623313,7.419371740148044,P1,P1,a_baseline,105.16,0.0281,55.25,58.94,True,different_montage?+high_residual,49.29,control
sub-1161,ses-3,run-02,anode,control,-43.7911273,-13.45764124,75.48590494,-39.33740979439083,-16.9938349437977,77.98696911906234,active,-4.45371750560917,3.536193703797702,-2.5010641790623396,6.212534712847635,P1,P1,a_baseline,105.82,0.0175,55.57,57.94,True,different_montage?+high_residual,48.97,control
