group,n,mean,sd,median,q25,q75,p95,max,pct_gt_5mm,pct_gt_10mm,pct_gt_20mm
P5,8,6.4108079651571295,2.141126902059456,6.544329390139977,5.367498476811858,7.427828755787987,9.216959532895276,9.425826772143937,75.0,0.0,0.0
P6,42,10.321990499796849,9.847464696639348,6.705043752840567,4.982974830680607,11.855029372056366,23.744122305623875,48.238188221837916,73.80952380952381,35.714285714285715,7.142857142857142
P4,745,8.258791207592914,3.83899941666218,8.112316720215478,5.326083576138184,10.593654766876526,14.341078819869916,23.102570411099656,77.58389261744966,29.798657718120808,0.8053691275167786
P2,446,10.260581913129641,6.277120060705625,9.023538114741363,5.545808061318937,13.56750678634107,22.43333645552418,39.31863962528392,78.9237668161435,42.600896860986545,7.399103139013453
P3,629,10.399983504422705,6.537171258978124,9.200981005572494,6.346104349148104,13.666481825513348,19.796784548583002,101.43971172283253,82.67090620031796,43.72019077901431,4.451510333863275
P1,595,10.782174670261304,5.810076436835049,9.922339487594636,6.641608242538629,14.153641909096308,21.003615443646186,40.664813623243035,84.53781512605042,49.57983193277311,6.5546218487394965
P8,270,11.257823653451743,6.762661837709831,10.443849740270771,6.626394269051434,15.09124179951604,19.498578598504494,50.98806680214069,84.07407407407408,53.333333333333336,4.814814814814815
