=== Extract Coordinates Log  2026-04-07 09:34:20 ===

[09:34:20] INFO  Script started
[09:34:20] INFO  Base path  : /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[09:34:20] INFO  Output CSV : /media/Data03/Projects/Automated_Electrode_Extraction/code/03_Extract_Coordinates/Tables/electrode_positions_MeMoSLAP_20260407.csv
[09:34:20] INFO  Log file   : /media/Data03/Projects/Automated_Electrode_Extraction/code/03_Extract_Coordinates/_tmp/log_extract_coordinates_20260407_093420.txt

[09:34:20] INFO  Scanning for NIfTI files under: /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[09:34:23] INFO  Found 3850 inference file(s). Starting extraction.

[09:35:09] INFO  OK       automated_electrode_extraction sub-009 unzipped  —  4 clusters, coordinates extracted.
[09:35:10] INFO  OK       automated_electrode_extraction sub-009 unzipped  —  4 clusters, coordinates extracted.
[09:35:11] INFO  OK       automated_electrode_extraction sub-010 unzipped  —  4 clusters, coordinates extracted.
[09:35:12] INFO  OK       automated_electrode_extraction sub-010 unzipped  —  4 clusters, coordinates extracted.
[09:35:13] INFO  OK       automated_electrode_extraction sub-010 unzipped  —  4 clusters, coordinates extracted.
[09:35:14] INFO  OK       automated_electrode_extraction sub-010 unzipped  —  4 clusters, coordinates extracted.
[09:35:14] INFO  OK       automated_electrode_extraction sub-010 unzipped  —  4 clusters, coordinates extracted.
[09:35:15] INFO  OK       automated_electrode_extraction sub-010 unzipped  —  4 clusters, coordinates extracted.
[09:35:16] INFO  OK       automated_electrode_extraction sub-010 unzipped  —  4 clusters, coordinates extracted.
[09:35:17] INFO  OK       automated_electrode_extraction sub-010 unzipped  —  4 clusters, coordinates extracted.
[09:35:18] INFO  OK       automated_electrode_extraction sub-011 unzipped  —  4 clusters, coordinates extracted.
[09:35:18] INFO  OK       automated_electrode_extraction sub-011 unzipped  —  4 clusters, coordinates extracted.
[09:35:19] INFO  OK       automated_electrode_extraction sub-011 unzipped  —  4 clusters, coordinates extracted.
[09:35:20] INFO  OK       automated_electrode_extraction sub-011 unzipped  —  4 clusters, coordinates extracted.
[09:35:21] INFO  OK       automated_electrode_extraction sub-011 unzipped  —  4 clusters, coordinates extracted.
[09:35:22] INFO  OK       automated_electrode_extraction sub-011 unzipped  —  4 clusters, coordinates extracted.
[09:35:22] INFO  OK       automated_electrode_extraction sub-011 unzipped  —  4 clusters, coordinates extracted.
[09:35:23] INFO  OK       automated_electrode_extraction sub-011 unzipped  —  4 clusters, coordinates extracted.
[09:35:24] INFO  OK       automated_electrode_extraction sub-012 unzipped  —  4 clusters, coordinates extracted.
[09:35:25] INFO  OK       automated_electrode_extraction sub-012 unzipped  —  4 clusters, coordinates extracted.
[09:35:26] INFO  OK       automated_electrode_extraction sub-012 unzipped  —  4 clusters, coordinates extracted.
[09:35:27] INFO  OK       automated_electrode_extraction sub-012 unzipped  —  4 clusters, coordinates extracted.
[09:35:27] INFO  OK       automated_electrode_extraction sub-012 unzipped  —  4 clusters, coordinates extracted.
[09:35:28] INFO  OK       automated_electrode_extraction sub-012 unzipped  —  4 clusters, coordinates extracted.
