=== Extract Coordinates Log  2026-09-04 08:59:38 ===

[08:59:38] INFO  Script started
[08:59:38] INFO  Network    : reduced  (not in registry)
[08:59:38] INFO  Mask glob  : *_inference_reduced.nii.gz
[08:59:38] INFO  Base path  : /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[08:59:38] INFO  Output CSV : /media/Data03/Projects/New_repository_07042026/Automated_Electrode_Coordinate_Extraction/code/03_Extract_Coordinates/Tables/electrode_positions_reduced_20260904.csv
[08:59:38] INFO  Log file   : /media/Data03/Projects/New_repository_07042026/Automated_Electrode_Coordinate_Extraction/code/03_Extract_Coordinates/_tmp/log_extract_coordinates_reduced_20260904_085938.txt

[08:59:38] INFO  Distance window : 5-125 mm
[08:59:38] INFO  Star min angle  : not enforced
[08:59:38] INFO  Star max rad CV : not enforced
[08:59:38] INFO  Audit names above: 90 mm

[08:59:38] INFO  Scanning for NIfTI files under: /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[08:59:41] INFO  Found 4234 inference file(s). Starting extraction.

[09:00:30] WARN  MERGE RECOVERY  sub-007 ses-3 run-02  —  General recovery 8→4 clusters  |  star score=0.1004, total score=0.3020  |  Groups: key 1 kept as-is;  key 2 kept as-is;  key 3 kept as-is;  key 4 kept as-is  |  Discarded: key 6 (size=149), key 9 (size=148), key 15 (size=302), key 19 (size=211)
[09:00:30] INFO  OK       sub-007 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:00:31] INFO  OK       sub-007 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:00:32] INFO  OK       sub-007 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:00:33] INFO  OK       sub-009 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:00:33] INFO  OK       sub-009 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:00:34] INFO  OK       sub-010 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:00:35] INFO  OK       sub-010 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:00:36] INFO  OK       sub-010 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:00:37] INFO  OK       sub-010 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:00:38] INFO  OK       sub-010 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:00:39] INFO  OK       sub-010 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:00:40] INFO  OK       sub-010 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:00:40] INFO  OK       sub-010 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:00:41] INFO  OK       sub-011 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:00:42] INFO  OK       sub-011 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:00:43] INFO  OK       sub-011 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:00:44] INFO  OK       sub-011 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:00:45] INFO  OK       sub-011 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:00:46] INFO  OK       sub-011 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:00:47] INFO  OK       sub-011 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:00:47] INFO  OK       sub-011 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:00:48] INFO  OK       sub-012 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:00:49] INFO  OK       sub-012 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:00:50] INFO  OK       sub-012 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:00:51] INFO  OK       sub-012 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:00:52] INFO  OK       sub-012 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:00:53] INFO  OK       sub-012 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:00:54] INFO  OK       sub-013 ses-1 run-01  —  4 clusters, coordinates extracted.
