subject,session,run,electrode,condition,X,Y,Z,coordinates_xyz,euclidean_norm
sub-002,ses-1,run-01,cathode1,target,-69.58477961,-20.48120397,45.23982018,"[-69.585, -20.481, 45.240]",85.48779210712925
sub-002,ses-1,run-01,cathode2,target,-64.59175695,-71.57851815,1.88114718,"[-64.592, -71.579, 1.881]",96.43193475789323
sub-002,ses-1,run-01,cathode3,target,-48.0943143,-76.57262906,63.56740266,"[-48.094, -76.573, 63.567]",110.531648273633
sub-002,ses-1,run-02,anode,target,-66.06831633,-58.42142543,38.56775672,"[-66.068, -58.421, 38.568]",96.25776451989263
sub-002,ses-1,run-02,cathode1,target,-68.95390084,-20.32930105,46.08553069,"[-68.954, -20.329, 46.086]",85.39201989186704
sub-002,ses-1,run-02,cathode2,target,-63.96002255,-72.05685027,2.28786299,"[-63.960, -72.057, 2.288]",96.37587080016823
sub-002,ses-1,run-02,cathode3,target,-47.6696011,-77.25478765,63.78315499,"[-47.670, -77.255, 63.783]",110.94586042010795
sub-002,ses-2,run-01,anode,target,-60.06472518,-41.46666683,65.09911846,"[-60.065, -41.467, 65.099]",97.80158942066464
sub-002,ses-2,run-01,cathode1,target,-55.16064026,-3.1687869,68.42852975,"[-55.161, -3.169, 68.429]",87.94999220043955
sub-002,ses-2,run-01,cathode2,target,-68.68021709,-55.82863884,29.87754344,"[-68.680, -55.829, 29.878]",93.41561291489647
sub-002,ses-2,run-01,cathode3,target,-38.75614424,-63.02483837,84.39577104,"[-38.756, -63.025, 84.396]",112.23553420085999
sub-002,ses-2,run-02,anode,target,-59.18436316,-41.55493809,63.78196488,"[-59.184, -41.555, 63.782]",96.42479331723791
sub-002,ses-2,run-02,cathode1,target,-54.47816377,-3.22173561,66.74121583,"[-54.478, -3.222, 66.741]",86.21275890817047
sub-002,ses-2,run-02,cathode2,target,-68.43134161,-56.32125313,28.99851,"[-68.431, -56.321, 28.999]",93.25151822301959
sub-002,ses-2,run-02,cathode3,target,-37.80129202,-63.28968051,83.36279256,"[-37.801, -63.290, 83.363]",111.28286714872502
sub-002,ses-3,run-01,anode,target,-60.72427854,-42.04348984,65.24547984,"[-60.724, -42.043, 65.245]",98.5498131996278
sub-002,ses-3,run-01,cathode1,target,-56.87638939,-2.77258087,67.1982333,"[-56.876, -2.773, 67.198]",88.08072112196189
sub-002,ses-3,run-01,cathode2,target,-67.24046287,-58.02038227,31.70940995,"[-67.240, -58.020, 31.709]",94.30340017786177
sub-002,ses-3,run-01,cathode3,target,-36.22826332,-60.9067354,87.05150855,"[-36.228, -60.907, 87.052]",112.25008962624302
sub-002,ses-3,run-02,anode,target,-60.37572066,-43.31733209,65.90317941,"[-60.376, -43.317, 65.903]",99.32194098464016
sub-002,ses-3,run-02,cathode1,target,-56.49368477,-3.86778904,68.35394705,"[-56.494, -3.868, 68.354]",88.76236977607277
sub-002,ses-3,run-02,cathode2,target,-67.16107349,-58.31829456,32.40719449,"[-67.161, -58.318, 32.407]",94.6670984420078
sub-002,ses-3,run-02,cathode3,target,-36.09670769,-62.07245435,87.01405476,"[-36.097, -62.072, 87.014]",112.81581281392435
sub-002,ses-4,run-01,anode,unknown,73.88476172,-59.33585688,9.44600404,"[73.885, -59.336, 9.446]",95.23092417082131
sub-002,ses-4,run-01,cathode1,unknown,61.16606266,-76.29366808,-14.48655514,"[61.166, -76.294, -14.487]",98.85277583483692
sub-002,ses-4,run-01,cathode2,unknown,67.22233736,-68.45668206,43.1107898,"[67.222, -68.457, 43.111]",105.18412501887043
sub-002,ses-4,run-01,cathode3,unknown,81.34870369,-25.79512952,8.3155836,"[81.349, -25.795, 8.316]",85.74467464283472
sub-002,ses-4,run-02,anode,unknown,74.16046854,-60.20908229,9.51744931,"[74.160, -60.209, 9.517]",95.99734645105947
sub-002,ses-4,run-02,cathode1,unknown,60.98290805,-77.12371717,-14.62746029,"[60.983, -77.124, -14.627]",99.40294471940173
