subject,session,run,project,extracted_mean_x,condition_in_table,n_candidates,condition_separation_mm,recommended,reason,baseline_side_ok,baseline_mean_x,swap
sub-010,ses-3,run-01,P0,49.31,unknown,2,21.3,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-010,ses-3,run-02,P0,49.23,unknown,2,21.3,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-010,ses-4,run-01,P0,52.17,unknown,2,21.3,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-010,ses-4,run-02,P0,52.44,unknown,2,21.3,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-011,ses-1,run-01,P0,44.83,control,2,106.03,control,matches the side of the 'control' montage,,,no
sub-011,ses-1,run-02,P0,44.41,control,2,106.03,control,matches the side of the 'control' montage,,,no
sub-011,ses-2,run-01,P0,46.81,control,2,106.03,control,matches the side of the 'control' montage,,,no
sub-011,ses-2,run-02,P0,46.27,control,2,106.03,control,matches the side of the 'control' montage,,,no
sub-011,ses-3,run-01,P0,48.42,control,2,106.03,control,matches the side of the 'control' montage,,,no
sub-011,ses-3,run-02,P0,48.35,control,2,106.03,control,matches the side of the 'control' montage,,,no
sub-011,ses-4,run-01,P0,37.42,control,2,106.03,control,matches the side of the 'control' montage,,,no
sub-011,ses-4,run-02,P0,36.84,control,2,106.03,control,matches the side of the 'control' montage,,,no
sub-012,ses-2,run-01,P0,-68.45,unknown,2,30.4,unknown,side is ambiguous,,,no
sub-012,ses-2,run-02,P0,-68.42,unknown,2,30.4,unknown,side is ambiguous,,,no
sub-012,ses-3,run-01,P0,-65.8,unknown,2,30.4,unknown,side is ambiguous,,,no
sub-012,ses-3,run-02,P0,-65.37,unknown,2,30.4,unknown,side is ambiguous,,,no
sub-012,ses-4,run-02,P0,-62.48,unknown,2,30.4,unknown,side is ambiguous,,,no
sub-013,ses-1,run-01,P0,70.21,target,2,114.48,target,matches the side of the 'target' montage,,,no
sub-013,ses-1,run-02,P0,70.43,target,2,114.48,target,matches the side of the 'target' montage,,,no
sub-013,ses-2,run-01,P0,71.2,target,2,114.48,target,matches the side of the 'target' montage,,,no
sub-013,ses-2,run-02,P0,70.9,target,2,114.48,target,matches the side of the 'target' montage,,,no
sub-014,ses-2,run-02,P0,-72.89,control,2,87.47,control,matches the side of the 'control' montage,,,no
sub-014,ses-3,run-01,P0,-72.47,control,2,87.47,control,matches the side of the 'control' montage,,,no
sub-014,ses-3,run-02,P0,-72.22,control,2,87.47,control,matches the side of the 'control' montage,,,no
sub-014,ses-4,run-01,P0,-70.08,control,2,87.47,control,matches the side of the 'control' montage,,,no
sub-014,ses-4,run-02,P0,-70.06,control,2,87.47,control,matches the side of the 'control' montage,,,no
sub-015,ses-1,run-01,P0,73.89,unknown,2,105.09,control,matches the side of the 'control' montage,,,yes
sub-015,ses-1,run-02,P0,73.84,unknown,2,105.09,control,matches the side of the 'control' montage,,,yes
sub-015,ses-2,run-01,P0,73.3,unknown,2,105.09,control,matches the side of the 'control' montage,,,yes
sub-015,ses-2,run-02,P0,73.38,unknown,2,105.09,control,matches the side of the 'control' montage,,,yes
sub-015,ses-3,run-01,P0,73.12,unknown,2,105.09,control,matches the side of the 'control' montage,,,yes
sub-015,ses-3,run-02,P0,73.58,unknown,2,105.09,control,matches the side of the 'control' montage,,,yes
sub-015,ses-4,run-01,P0,72.11,unknown,2,105.09,control,matches the side of the 'control' montage,,,yes
sub-015,ses-4,run-02,P0,72.1,unknown,2,105.09,control,matches the side of the 'control' montage,,,yes
sub-016,ses-1,run-01,P0,75.89,target,2,27.5,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-016,ses-1,run-02,P0,76.04,target,2,27.5,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-016,ses-2,run-01,P0,76.48,target,2,27.5,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-016,ses-2,run-02,P0,77.02,target,2,27.5,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-016,ses-3,run-01,P0,75.86,target,2,27.5,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-016,ses-3,run-02,P0,76.63,target,2,27.5,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-016,ses-4,run-01,P0,76.81,target,2,27.5,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-016,ses-4,run-02,P0,77.22,target,2,27.5,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-017,ses-1,run-01,P0,66.01,unknown,2,2.95,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-017,ses-1,run-02,P0,66.14,unknown,2,2.95,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-017,ses-2,run-01,P0,65.32,unknown,2,2.95,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-017,ses-2,run-02,P0,65.21,unknown,2,2.95,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-017,ses-3,run-01,P0,61.92,unknown,2,2.95,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-017,ses-3,run-02,P0,61.95,unknown,2,2.95,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-017,ses-4,run-01,P0,63.99,unknown,2,2.95,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-017,ses-4,run-02,P0,64.26,unknown,2,2.95,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-018,ses-2,run-01,P0,73.41,unknown,2,101.91,control,matches the side of the 'control' montage,,,yes
sub-018,ses-2,run-02,P0,72.24,unknown,2,101.91,control,matches the side of the 'control' montage,,,yes
sub-018,ses-3,run-01,P0,73.86,unknown,2,101.91,control,matches the side of the 'control' montage,,,yes
sub-018,ses-3,run-02,P0,73.89,unknown,2,101.91,control,matches the side of the 'control' montage,,,yes
sub-018,ses-4,run-01,P0,74.05,unknown,2,101.91,control,matches the side of the 'control' montage,,,yes
sub-018,ses-4,run-02,P0,73.87,unknown,2,101.91,control,matches the side of the 'control' montage,,,yes
sub-020,ses-2,run-01,P0,76.55,target,2,115.55,target,matches the side of the 'target' montage,,,no
sub-020,ses-2,run-02,P0,76.6,target,2,115.55,target,matches the side of the 'target' montage,,,no
sub-020,ses-3,run-01,P0,76.18,target,2,115.55,target,matches the side of the 'target' montage,,,no
sub-020,ses-3,run-02,P0,76.33,target,2,115.55,target,matches the side of the 'target' montage,,,no
sub-020,ses-4,run-01,P0,74.75,target,2,115.55,target,matches the side of the 'target' montage,,,no
sub-020,ses-4,run-02,P0,75.14,target,2,115.55,target,matches the side of the 'target' montage,,,no
sub-021,ses-1,run-01,P0,71.81,unknown,2,89.05,target,matches the side of the 'target' montage,,,yes
sub-021,ses-1,run-02,P0,72.04,unknown,2,89.05,target,matches the side of the 'target' montage,,,yes
sub-021,ses-2,run-01,P0,70.35,unknown,2,89.05,target,matches the side of the 'target' montage,,,yes
sub-021,ses-2,run-02,P0,69.96,unknown,2,89.05,target,matches the side of the 'target' montage,,,yes
sub-021,ses-3,run-01,P0,72.78,unknown,2,89.05,target,matches the side of the 'target' montage,,,yes
sub-021,ses-3,run-02,P0,72.96,unknown,2,89.05,target,matches the side of the 'target' montage,,,yes
sub-021,ses-4,run-01,P0,70.29,unknown,2,89.05,target,matches the side of the 'target' montage,,,yes
sub-021,ses-4,run-02,P0,70.2,unknown,2,89.05,target,matches the side of the 'target' montage,,,yes
sub-022,ses-1,run-01,P0,76.54,target,2,34.37,target,side is ambiguous,,,no
sub-022,ses-1,run-02,P0,76.65,target,2,34.37,target,side is ambiguous,,,no
sub-022,ses-2,run-01,P0,75.3,target,2,34.37,target,side is ambiguous,,,no
sub-022,ses-2,run-02,P0,76.05,target,2,34.37,target,side is ambiguous,,,no
sub-022,ses-3,run-01,P0,77.54,target,2,34.37,target,side is ambiguous,,,no
sub-022,ses-3,run-02,P0,78.0,target,2,34.37,target,side is ambiguous,,,no
sub-022,ses-4,run-01,P0,77.04,target,2,34.37,target,side is ambiguous,,,no
sub-022,ses-4,run-02,P0,77.54,target,2,34.37,target,side is ambiguous,,,no
sub-023,ses-1,run-01,P0,-55.72,unknown,2,3.84,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-023,ses-1,run-02,P0,-54.64,unknown,2,3.84,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-023,ses-2,run-01,P0,-57.65,unknown,2,3.84,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
