index,anode,cathode1,cathode2,cathode3,exp,condition,subject,stim,session,run
P7_target_sub-026,"[51.03528636054292, 20.809320375757736, 64.30663905924229]","[42.375043464231354, -12.972659945045754, 83.41363765271608]","[69.48734042620488, 15.790085210444794, 29.448748055264467]","[22.761107231568744, 48.209013879156856, 63.95754580426008]",P7,target,sub-026,sham,ses-baseline,run-baseline
P8_control_sub-2508,"[47.29175871718738, 7.087501740542085, 93.14325011065283]","[51.861076683032685, -41.57623951330245, 84.8651607365187]","[68.56504509957229, 37.380438202977565, 60.49537146746005]","[2.5293354744275716, 22.090196952880113, 107.4115068778711]",P8,control,sub-2508,sham,ses-baseline,run-baseline
P3_control_sub-3101,"[42.4563533789503, -32.91781572986937, 77.6360873548195]","[43.064195707141614, -79.94131889613185, 62.44660765452631]","[68.03422818505149, -0.986132593964322, 49.76381682938601]","[-1.7633535506098623, -16.076702751650696, 91.10796583764053]",P3,control,sub-3101,sham,ses-baseline,run-baseline
P3_target_sub-032,"[-67.82806797525791, -55.49607053666498, 47.76196929621162]","[-68.00113897178805, -15.840113117159683, 50.98914451988235]","[-69.33604064572683, -69.59570182265499, 10.792166007226015]","[-43.83259299551646, -74.68252971916671, 72.21299519604801]",P3,target,sub-032,sham,ses-baseline,run-baseline
P2_target_sub-2002,"[-25.752130469772002, -58.87788654458527, 59.058930759787266]","[-66.55751855736067, -18.069384773882742, 50.29363497477615]","[-10.968889169164543, -83.4465831320311, 7.132625519144224]","[22.44107241505265, -34.03822780981019, 83.71704502260674]",P2,target,sub-2002,sham,ses-baseline,run-baseline
P3_control_sub-057,"[57.103162765596636, -32.134423570584126, 63.879078204614636]","[53.05243768991166, -78.89519817711773, 48.414286682662144]","[76.97912851459279, -0.7309326444818713, 31.305589625245513]","[15.997782574354334, -14.192247771277843, 84.47180715987815]",P3,control,sub-057,sham,ses-baseline,run-baseline
P3_target_sub-056,"[-70.67257566800937, -76.14514678046298, 45.51264093431633]","[-77.52317564810276, -36.880933186308226, 48.051324614217265]","[-63.358842105714395, -87.27396653121579, 8.19636559102173]","[-42.080913660245955, -87.67457307200831, 70.17838481408299]",P3,target,sub-056,sham,ses-baseline,run-baseline
P6_control_sub-6122,"[-66.99956699055076, 22.849425801313433, 37.2255646152704]","[-35.80170782185493, 59.42694601736745, 49.24780827236038]","[-72.60709235395805, 15.36608539947154, -11.704310670951802]","[-63.64160184788658, -18.541054005310055, 64.43724193541156]",P6,control,sub-6122,sham,ses-baseline,run-baseline
P3_target_sub-030,"[-66.215601998118, -68.7317553521899, 56.06260015143486]","[-73.46255866025452, -29.836646618357232, 55.13187114056077]","[-60.953857334984974, -85.10905809200986, 20.326998054198974]","[-38.66361117254667, -79.47504210519806, 82.58498408547759]",P3,target,sub-030,sham,ses-baseline,run-baseline
P7_target_sub-087,"[53.22395368282819, 45.172842443482295, 28.705593396888272]","[45.52228440014657, 12.412529789374268, 49.81248138231799]","[70.34359892771857, 37.89167629968337, -6.0036340407908515]","[23.67823349169439, 70.923449638732, 26.890500219659437]",P7,target,sub-087,sham,ses-baseline,run-baseline
P6_control_sub-6131,"[-69.79821424513834, 11.246784855272283, 48.98440433738827]","[-39.26307669438197, 46.967699164269035, 64.20531606627017]","[-77.39594857438227, 10.815748356514625, 0.3738973429992808]","[-62.38957730485538, -33.661025152763216, 69.06199905840312]",P6,control,sub-6131,sham,ses-baseline,run-baseline
P7_control_sub-109,"[44.98289015371486, -36.5494722038192, 69.98960563581834]","[51.26601457826991, -82.03419883665204, 52.959175822251325]","[68.3438020837186, -0.9322880345026336, 45.00668867386476]","[-1.7475748860648581, -24.807352298498234, 81.07615080594869]",P7,control,sub-109,sham,ses-baseline,run-baseline
P8_target_sub-2520,"[-44.84276729297665, 55.499860070361855, 59.434356030901505]","[-15.92249111542184, 80.1806178183841, 70.76995818149162]","[-56.45024447807401, 58.02815184477749, 21.421452341828864]","[-46.3122436422212, 19.507000331657366, 76.49834378872823]",P8,target,sub-2520,sham,ses-baseline,run-baseline
P7_control_sub-078,"[48.01735100403368, -31.939343520911397, 70.86147517878308]","[52.42960323783949, -78.03986994874953, 53.577243128696196]","[68.3089157565413, 4.305840655890783, 44.061831494239975]","[5.276335480344375, -20.238775538153895, 91.24861187601896]",P7,control,sub-078,sham,ses-baseline,run-baseline
P6_target_sub-6116,"[54.49887344398466, -83.6187524896317, -45.63091927031213]","[3.0548027261846515, -109.95944490488898, -44.76851778416942]","[61.2397541998706, -44.37628205479773, -87.75571308818725]","[68.45456490980622, -62.846298425908515, 8.5315015213459]",P6,target,sub-6116,sham,ses-baseline,run-baseline
P1_control_sub-1113,"[-44.78302775564094, -31.31871900086145, 70.13663009874722]","[-32.0983356574811, 16.80471611169668, 72.63183809225576]","[-70.43067264480167, -43.865910026453584, 30.55949055213451]","[-9.096820623443664, -63.31443349031926, 81.12824118621825]",P1,control,sub-1113,sham,ses-baseline,run-baseline
P3_target_sub-057,"[-69.75922279413169, -55.24463358563281, 28.545476059002905]","[-71.71722062208431, -15.66786835879769, 33.754429481847]","[-71.404471841619, -68.89684542213386, -8.966980908688793]","[-47.83828273027693, -75.39599220222487, 53.99940053171692]",P3,target,sub-057,sham,ses-baseline,run-baseline
P6_control_sub-6135,"[-66.6211335230527, 25.983058640809034, 33.27434178100773]","[-35.95348510463495, 61.12812052289743, 51.13506003277883]","[-74.92806332483985, 26.599743244665966, -15.34960214506457]","[-64.85503358038392, -18.804690723343715, 54.47079423237523]",P6,control,sub-6135,sham,ses-baseline,run-baseline
P6_control_sub-6117,"[-64.47164029144314, 24.252163614743566, 26.27375248754443]","[-28.855189199465656, 54.74200932919736, 41.26136327373545]","[-71.64627948546399, 25.649085857096882, -22.41073139949709]","[-62.79920507900104, -21.583443914881713, 45.34509701340597]",P6,control,sub-6117,sham,ses-baseline,run-baseline
P7_control_sub-014,"[50.3992281106714, -22.777664094365747, 86.91214125148404]","[54.93837090573432, -70.45440959655265, 75.28476813951423]","[71.02501883398911, 8.829849044891027, 54.960825186745474]","[5.0059555053398554, -9.313892476746359, 101.33346303193736]",P7,control,sub-014,sham,ses-baseline,run-baseline
P1_target_sub-018,"[73.6621496228903, -55.217741932685925, 1.3843100593435587]","[69.3355411154656, -76.10986453532945, 21.552465470572315]","[73.12134422491162, -62.20875256570958, -27.645241459803177]","[81.14581310095221, -27.980087266371907, 9.942752458604215]",P1,target,sub-018,sham,ses-baseline,run-baseline
P6_target_sub-6106,"[56.72930911421866, -78.03124307528266, -45.68924649524369]","[3.55711635555304, -100.89189927568191, -46.05912658025652]","[67.40107166344008, -38.15129592897641, -87.8395974841277]","[76.96030778414706, -65.4342322072182, 8.392922205561009]",P6,target,sub-6106,sham,ses-baseline,run-baseline
P7_target_sub-030,"[39.83533908807103, 26.693004793333234, 76.87182209527056]","[30.027631721135098, -7.1005063260840595, 95.54863349413391]","[61.327256524717434, 21.51229837906861, 44.241344794825075]","[10.862583950617932, 53.16789068854313, 72.7978491907786]",P7,target,sub-030,sham,ses-baseline,run-baseline
P7_target_sub-055,"[44.124965139892, 22.509787459208866, 79.11042661388906]","[35.02166831657618, -11.722281212755592, 97.19100729549207]","[66.4787173844287, 18.900645212873506, 46.356044465676725]","[15.070257998758986, 49.32926579516997, 77.0751473720147]",P7,target,sub-055,sham,ses-baseline,run-baseline
P7_control_sub-044,"[47.018373952698056, -16.56859108227467, 70.85303950202676]","[56.35591112504057, -64.26806772391276, 60.8426524949272]","[66.49586830527794, 16.735010418653015, 40.02819683998243]","[0.5787695865687885, -6.349488562887497, 83.44475030022663]",P7,control,sub-044,sham,ses-baseline,run-baseline
P3_target_sub-048,"[-71.07642769108931, -53.07119378795039, 50.324033591206906]","[-72.08447974669778, -13.177353642923471, 51.48069709889879]","[-71.11922227154784, -69.51080602332868, 14.198307816998646]","[-49.862847006231235, -70.86611313931243, 77.68161702876357]",P3,target,sub-048,sham,ses-baseline,run-baseline
P2_control_sub-2002,"[6.85249809037083, 7.422225838895795, 90.29134705771249]","[-28.51257603478017, -9.370553861230837, 83.68011743219719]","[38.4457188565081, -15.568586949772667, 83.42593948149536]","[10.337376633317337, 45.88758872383319, 80.33749865553791]",P2,control,sub-2002,sham,ses-baseline,run-baseline
P8_control_sub-2507,"[55.501239343553145, -11.146848265072224, 83.25724662498216]","[53.15237120911691, -56.98575416998518, 66.05031410119523]","[77.07484558497103, 22.55097096198772, 53.77418397921915]","[14.47298596113509, 5.398284251438768, 105.14812633509558]",P8,control,sub-2507,sham,ses-baseline,run-baseline
P2_control_sub-2020,"[1.3437992145462145, -3.694183350522961, 85.4995920347855]","[-34.10667976066713, -17.501015350753317, 75.73287529997357]","[31.71866915625557, -25.94289003037493, 74.09038797812654]","[6.262020758659236, 35.702079532179845, 81.67994566631037]",P2,control,sub-2020,sham,ses-baseline,run-baseline
P1_target_sub-025,"[71.35883648356116, -53.68979213805985, 23.14708888561542]","[63.201232110600586, -69.56470498439691, 47.13978789963439]","[65.9614094981041, -64.44978648169115, -4.051432792780055]","[77.36404791139356, -24.574449837828084, 26.395628422103076]",P1,target,sub-025,sham,ses-baseline,run-baseline
P1_target_sub-023,"[76.69083516019172, -55.39450790990268, 5.2078868299968475]","[70.20261536640443, -73.34195462669035, 28.23895555301546]","[72.13065294116525, -64.9067549718278, -22.87115278190682]","[83.88542833282025, -26.895627987538074, 10.18868350910565]",P1,target,sub-023,sham,ses-baseline,run-baseline
P5_target_sub-5015,"[-48.95858719766101, -4.666781593140441, 85.58142603993753]","[-37.196268365612454, 43.28121592149158, 89.06058040720434]","[-79.68311870074288, -17.368400318230176, 49.615528703102925]","[-12.899354590599529, -37.221133568326366, 95.41518083642787]",P5,target,sub-5015,sham,ses-baseline,run-baseline
P7_target_sub-034,"[42.37457010685931, 43.41242770438538, 66.69359499192387]","[35.877676153284604, 10.099410165435566, 87.05569733583532]","[63.82127928613441, 38.29082046939136, 33.77520181024132]","[10.777975414221126, 66.32580410889601, 61.72592643091144]",P7,target,sub-034,sham,ses-baseline,run-baseline
P3_control_sub-037,"[54.79115648292473, -13.932167771222678, 84.36216938582326]","[57.88253961165746, -61.868978347934025, 71.69931704727749]","[76.65169329892399, 18.740540470439413, 54.11362896028002]","[10.938177796751816, 0.4683500194270925, 102.06117892705052]",P3,control,sub-037,sham,ses-baseline,run-baseline
P3_control_sub-059,"[43.66668397377799, -32.39346580954868, 82.32924880711928]","[41.76982322891851, -80.04782514286069, 71.68623206802299]","[66.95845282500127, -4.54604918664592, 48.981692507338934]","[0.6225222889155777, -12.670586200777553, 96.32046203362789]",P3,control,sub-059,sham,ses-baseline,run-baseline
P2_control_sub-2023,"[3.2110581662101887, -11.703822395433416, 69.72366684073542]","[-32.16470084012747, -26.91379199979631, 60.15229178213678]","[34.54442234835058, -33.91682364816604, 59.121871046284376]","[6.997788008370338, 27.679976872451913, 64.56378753543218]",P2,control,sub-2023,sham,ses-baseline,run-baseline
P3_target_sub-038,"[-70.85430915817466, -46.73699177804715, 38.733493089872695]","[-72.2236312686712, -7.064334561440952, 35.69423024189667]","[-66.35939335043535, -66.26867035563141, 4.352391888970643]","[-50.042632071958224, -60.86528725921084, 68.86987505499192]",P3,target,sub-038,sham,ses-baseline,run-baseline
P1_target_sub-029,"[74.68144108304739, -64.2806942946562, 6.641463525186933]","[64.4973562519075, -81.78785426671942, 28.732921774692954]","[70.66936659328645, -72.64251617641023, -21.815450807919902]","[80.7481205020848, -35.764604939795504, 12.400153331718164]",P1,target,sub-029,sham,ses-baseline,run-baseline
P7_target_sub-098,"[50.500344293964666, 38.41079107654153, 51.978751100391236]","[45.16038392450375, 4.400410332317309, 71.97568603458008]","[68.2126235627415, 34.71684126112165, 16.481308000489825]","[21.610878437545967, 64.58550069264172, 53.868780699711856]",P7,target,sub-098,sham,ses-baseline,run-baseline
P7_target_sub-083,"[51.37427343116199, 45.01114743531574, 36.07828267586936]","[43.977221847966554, 13.601399768057531, 59.54300346082498]","[71.3285638751561, 37.33791924478148, 2.424323942876448]","[23.557425187824645, 71.98743025904123, 33.59064575252181]",P7,target,sub-083,sham,ses-baseline,run-baseline
P7_control_sub-025,"[47.05492824597055, -23.367549938076024, 93.98939704149403]","[40.70664721670512, -71.48607009156795, 85.36581476609341]","[69.98873306070041, 1.0751146073029505, 58.0386721739462]","[6.414776504944096, -0.06973702445614616, 108.97625978461346]",P7,control,sub-025,sham,ses-baseline,run-baseline
P6_target_sub-6137,"[63.27556147689993, -68.15585744506147, -18.874678619728865]","[22.676732096317558, -108.97375641136192, -20.246608056276767]","[63.60886385119205, -30.218014551827533, -64.69872302497326]","[71.23663567158215, -44.74001199731329, 35.548496130471136]",P6,target,sub-6137,sham,ses-baseline,run-baseline
P7_control_sub-015,"[47.53409463355042, -23.980152587302012, 77.48092025766275]","[49.083154749264985, -71.42775948186947, 64.63364247715812]","[67.16609064966343, 7.488856925523217, 44.54737908876349]","[3.766325971193778, -8.722674998685413, 94.12462885664506]",P7,control,sub-015,sham,ses-baseline,run-baseline
P1_control_sub-020,"[-44.58664154669969, -17.54007153268517, 72.46933709121208]","[-33.51925298712664, 30.93057956347304, 68.64671542361114]","[-70.28225772006374, -36.78424293251647, 36.10530244953253]","[-10.174166282298021, -47.41173005836713, 91.79678761549683]",P1,control,sub-020,sham,ses-baseline,run-baseline
P3_control_sub-012,"[47.924008419382496, -29.18182034181446, 82.04777728206778]","[56.998391340074335, -75.33085859798551, 66.94636781328032]","[69.23689137752851, 7.853070246293681, 57.165825437688504]","[1.850365918468276, -19.706030850188576, 97.48639013748198]",P3,control,sub-012,sham,ses-baseline,run-baseline
P6_control_sub-6113,"[-67.79137798283337, 13.018917953319566, 41.14001389316007]","[-39.278623084302666, 49.93964268297073, 56.7762830133476]","[-70.20954757529694, 8.558918702526283, -8.340062776439945]","[-65.59664804172193, -29.722787111441534, 66.56292658198734]",P6,control,sub-6113,sham,ses-baseline,run-baseline
P4_target_sub-4011,"[-74.53997746102509, 44.54979044580506, 36.45957155298411]","[-46.74745595149378, 80.96213345400349, 55.66171243328769]","[-78.94295876605364, 44.08527728711425, -12.985021679051606]","[-71.1134634547913, 0.08912571489443555, 58.08254616345437]",P4,target,sub-4011,sham,ses-baseline,run-baseline
P6_control_sub-6129,"[-64.92418984314577, 24.192757690303498, 50.77129230509116]","[-32.12024445676544, 59.20767924820012, 63.654307831751865]","[-74.42507830820533, 21.628056483510946, 2.0331091774627605]","[-60.712100530701036, -19.589093669782745, 73.94151727155166]",P6,control,sub-6129,sham,ses-baseline,run-baseline
P6_target_sub-6125,"[63.95994442822943, -74.92503320961177, -24.2118288857057]","[18.215533678399225, -109.90759456182597, -22.43538923952272]","[67.85931340136273, -39.91066782929652, -71.31587447537146]","[73.80036471115055, -50.581469857560826, 28.962440290359226]",P6,target,sub-6125,sham,ses-baseline,run-baseline
P8_target_sub-2523,"[-57.92732967220635, 43.05188740022129, 58.421384740205504]","[-33.00005585995143, 71.29587037789442, 70.14377251009508]","[-64.55955827963814, 41.682043508970985, 19.36250191304872]","[-54.19412459974863, 7.568232445543947, 75.7567407810689]",P8,target,sub-2523,sham,ses-baseline,run-baseline
P7_control_sub-036,"[48.71147397023383, -15.07982204104149, 82.21012826850868]","[53.01159858612679, -62.945893571503014, 70.99114065043221]","[70.97240744451794, 17.60954661570263, 52.15155817816968]","[5.176690878057132, -1.03977525847975, 100.17447587687487]",P7,control,sub-036,sham,ses-baseline,run-baseline
P1_control_sub-1111,"[-44.9086890919531, -14.935390415366003, 78.24661623669597]","[-28.03343342595535, 30.166207356713038, 65.25663663958643]","[-70.50196685480877, -36.17990690880646, 42.26226562811585]","[-8.768181205815337, -44.650347584566696, 93.65473301498848]",P1,control,sub-1111,sham,ses-baseline,run-baseline
P8_target_sub-2522,"[-53.272334832703, 76.63435682582686, 79.14557065803241]","[-23.39518098698584, 102.51885719309212, 81.46221080950298]","[-70.73796460996029, 72.99030948421093, 43.7534224586408]","[-49.75616061183546, 43.31831520005812, 100.60455545332862]",P8,target,sub-2522,sham,ses-baseline,run-baseline
P7_target_sub-060,"[50.71967899262817, 34.89016347008001, 64.65059977422399]","[43.92074071079467, 0.39310450653024803, 83.06013586754585]","[68.28756835072117, 31.792496656353155, 29.169893507463893]","[21.687249036840672, 61.61571312438666, 66.15347797448166]",P7,target,sub-060,sham,ses-baseline,run-baseline
P6_target_sub-6126,"[71.42892740004102, -65.0536869711389, -50.34237706675264]","[30.436497141033545, -106.67350611767367, -52.945657077351576]","[69.04894304233468, -23.251406565418726, -92.35361483414091]","[82.17933227563988, -48.086579719957896, 5.9531518767675]",P6,target,sub-6126,sham,ses-baseline,run-baseline
P3_control_sub-089,"[56.33793402584863, -25.75093823610788, 73.88932715299195]","[60.596185715502095, -71.40204903100158, 56.06313519728241]","[74.86179046880918, 10.675129877093694, 45.678492687562276]","[12.956533301447735, -15.189374248647821, 94.96956707022571]",P3,control,sub-089,sham,ses-baseline,run-baseline
P6_control_sub-6107,"[-53.02706044123707, 30.36252509026856, 55.154434739292036]","[-18.023908848412187, 65.18208007414805, 59.14926753847372]","[-67.05335130433917, 20.68145207342794, 9.314831629009559]","[-49.0872559013377, -9.205260690747798, 84.98624414381716]",P6,control,sub-6107,sham,ses-baseline,run-baseline
P3_target_sub-068,"[-70.19630080407548, -54.122954097253285, 37.261427112333145]","[-71.07634574913723, -14.354190890858582, 36.264944604990255]","[-64.45724686190198, -70.87550710930023, 1.583303195070013]","[-46.23120137335626, -69.03648978658971, 64.6138817200912]",P3,target,sub-068,sham,ses-baseline,run-baseline
P7_control_sub-093,"[50.84179905609347, -25.716880048984127, 69.86673476179341]","[44.21729775806303, -73.10323280072485, 57.73234923261664]","[71.95624661373766, 2.6535216240193416, 35.02280304510395]","[12.959043167464213, -3.950068556643192, 92.37046218281161]",P7,control,sub-093,sham,ses-baseline,run-baseline
P8_target_sub-2503,"[-58.94395947502659, 55.764259604445364, 61.72819776296145]","[-33.17269106981605, 84.43023811390084, 70.84376184760823]","[-69.44817967761404, 53.022168212587616, 23.61115125957985]","[-57.22836705066242, 21.690123502019958, 82.35551229532234]",P8,target,sub-2503,sham,ses-baseline,run-baseline
P7_target_sub-019,"[50.97073329815519, 21.791331831699875, 62.994476910381444]","[40.10098478311133, -12.163877888174557, 80.7600714651212]","[70.8934142543188, 17.023616923792886, 29.02229419998218]","[24.126915478298553, 51.010226013524786, 62.77058069808158]",P7,target,sub-019,sham,ses-baseline,run-baseline
P6_target_sub-6135,"[66.11443238862654, -59.32185097454903, -42.0490200364287]","[27.30993198661516, -99.82639704187469, -48.868594305060306]","[71.51337253370026, -18.275362063700015, -84.389291830474]","[81.28424920593265, -45.48604713579234, 13.8804111966187]",P6,target,sub-6135,sham,ses-baseline,run-baseline
P1_target_sub-031,"[76.85170679062539, -58.79701569208313, -2.282825870554762]","[68.76026298497175, -76.48539590827431, 20.272107256397042]","[70.85494827121919, -67.01861406674405, -30.070022780888088]","[83.24258657521047, -30.103007421194956, 3.125402944529212]",P1,target,sub-031,sham,ses-baseline,run-baseline
P8_control_sub-2523,"[42.882544912248456, -4.406600842390187, 87.7629545309619]","[45.62459420267839, -50.6953497305887, 73.50130707805965]","[63.280570068433846, 27.57524352851998, 56.47776136535031]","[-2.824805808197004, 9.712325492398362, 99.38303733702861]",P8,control,sub-2523,sham,ses-baseline,run-baseline
P1_control_sub-011,"[-48.17858247580506, -23.60585801641471, 77.84427407041025]","[-32.08232681515339, 23.438448660322447, 75.34279941412434]","[-75.58752023083021, -38.41013905484711, 40.61716809369988]","[-15.27725611374233, -57.047335577429685, 92.85035481588783]",P1,control,sub-011,sham,ses-baseline,run-baseline
P8_control_sub-2503,"[41.904565695522805, 7.433317641618871, 92.06566492435854]","[44.379744349981166, -40.93835792285034, 83.3653625888947]","[63.032802751733634, 36.83693151322254, 58.36351734464988]","[-2.6583745607175286, 23.002419469242074, 105.42432404915158]",P8,control,sub-2503,sham,ses-baseline,run-baseline
P5_control_sub-5017,"[-62.58962470677253, 30.36732409743477, 30.4299673002741]","[-35.1331932012887, 66.9975691657434, 47.47252495961135]","[-68.78309996097354, 30.14502558301908, -18.986432635997797]","[-59.67559758812113, -13.81892960324536, 53.38201605300501]",P5,control,sub-5017,sham,ses-baseline,run-baseline
P3_control_sub-038,"[40.572779332100204, -4.860942776600809, 78.36421229617808]","[52.69770636847727, -52.326921190117794, 73.56576812714266]","[60.28968049095024, 26.57452766828657, 45.582323784342805]","[-7.051744866691001, 3.879042425372838, 87.825831717914]",P3,control,sub-038,sham,ses-baseline,run-baseline
P4_control_sub-4002,"[-2.621100590746777, -16.826999250614435, 83.1788602554137]","[-36.709663508505756, -33.280536741440024, 71.6935154138259]","[29.434775096896246, -37.024738012104876, 71.7235733862633]","[-0.512526783771927, 22.58100613670983, 77.99215528719755]",P4,control,sub-4002,sham,ses-baseline,run-baseline
P1_control_sub-052,"[-43.51481448392489, -17.048044193765715, 80.5191547712614]","[-28.010297693506367, 30.145943275855807, 76.07841598815502]","[-70.45077910910157, -33.00167733421581, 43.85310678465691]","[-10.07105796517752, -49.55189602277775, 95.92786921447161]",P1,control,sub-052,sham,ses-baseline,run-baseline
P7_target_sub-086,"[48.871718437804, 36.30856639350723, 55.63985427740209]","[38.64962270031721, 5.090472392081917, 78.12444587185696]","[67.12441018894918, 26.626338822875095, 21.820249054420184]","[21.566253421260598, 64.57518735243092, 52.06056044749143]",P7,target,sub-086,sham,ses-baseline,run-baseline
P7_target_sub-082,"[53.01029365903679, 34.38988848556688, 51.33540403729603]","[41.99772612320288, -0.516319075547172, 66.88013755641394]","[72.8090594426094, 31.699592422364685, 16.9745378276188]","[26.073347143990155, 63.00258553219912, 52.90002372152443]",P7,target,sub-082,sham,ses-baseline,run-baseline
P7_control_sub-011,"[46.32498253195444, -26.618458634193747, 78.22026440365848]","[47.72337788751434, -74.81644011655044, 67.87784750947775]","[67.5428881967794, 3.4567331502618055, 44.92917942386812]","[3.018510940534627, -9.975034432606073, 95.42986019174249]",P7,control,sub-011,sham,ses-baseline,run-baseline
P4_target_sub-4019,"[-57.37214354961282, 46.553981668899944, 47.57592507673783]","[-20.348690241323453, 76.25679549581797, 62.95426441182494]","[-70.27430849314405, 52.230771523436616, 1.2971058407855238]","[-56.15002389089799, -0.4547027573925403, 63.41886692559977]",P4,target,sub-4019,sham,ses-baseline,run-baseline
P7_target_sub-018,"[46.21134822004607, 30.706716970807765, 67.02747388330401]","[41.289290116770815, -4.882634040410858, 84.09197719917125]","[66.6301273393596, 30.634135365689406, 33.326964671903994]","[14.830670585383638, 54.514768720100435, 67.31777450110583]",P7,target,sub-018,sham,ses-baseline,run-baseline
P7_control_sub-102,"[54.273464262315635, -25.173234683360903, 54.99636506295004]","[57.342098736442054, -71.63208763512583, 39.085708203567684]","[72.92971194221109, 9.061736499073103, 24.468968749913117]","[10.086864981159021, -12.873140731854598, 73.06761446584787]",P7,control,sub-102,sham,ses-baseline,run-baseline
P6_control_sub-6121,"[-67.57768696753861, 11.342253778534035, 35.06907742365097]","[-39.32799844523117, 49.57403274460021, 50.018948996974736]","[-71.61741071050051, 5.44067092289764, -14.084197290314984]","[-66.54323403421296, -30.425219526472652, 62.213486482345964]",P6,control,sub-6121,sham,ses-baseline,run-baseline
P8_control_sub-2519,"[46.24957584889885, 1.507480831499775, 81.01890481103926]","[44.828782729048775, -46.949726317305114, 72.9067626008289]","[65.98367182612446, 28.10768007551989, 44.57348240198096]","[3.808955125951215, 20.234594472430967, 96.71272593444824]",P8,control,sub-2519,sham,ses-baseline,run-baseline
P6_control_sub-6101,"[-69.65529493331151, 6.239212670095682, 4.4967798969405015]","[-53.65153813574082, 47.791991020191304, 25.982736257522852]","[-68.49153086839131, 3.068634126506341, -45.35656299170964]","[-70.52737831462568, -35.582445922561185, 30.567962368501764]",P6,control,sub-6101,sham,ses-baseline,run-baseline
P2_target_sub-2000,"[-26.060793636342506, -71.03222071861366, 69.508002291268]","[-69.20299443418016, -33.749432068682935, 59.979575633413255]","[-6.717533121046502, -92.56212524844955, 18.105381720255938]","[16.804065167268693, -45.55080581248023, 100.05535846512826]",P2,target,sub-2000,sham,ses-baseline,run-baseline
P8_target_sub-2519,"[-45.920942081167254, 55.425806075339096, 63.96311027766756]","[-13.219184613415395, 77.45157956901626, 67.59960958911537]","[-61.944273706887884, 55.53605796884961, 27.63768901515246]","[-45.355690192981726, 19.953207313365823, 82.10289811562622]",P8,target,sub-2519,sham,ses-baseline,run-baseline
P1_control_sub-032,"[-49.72151866988185, -29.74383459135682, 76.4455703654609]","[-35.39081596129891, 17.89639583899716, 77.11776669741361]","[-72.79517605759226, -42.766610137987904, 36.19618940917297]","[-15.38526394051911, -62.27978862929682, 89.9603754217683]",P1,control,sub-032,sham,ses-baseline,run-baseline
P3_control_sub-030,"[47.952585058758075, -28.795251361056255, 86.22764315184712]","[47.57785080632547, -76.75601291358235, 75.97703426697313]","[67.51323630964069, -0.007602458651631644, 51.43467197177482]","[5.442757104024438, -11.480123754693675, 103.54600158325324]",P3,control,sub-030,sham,ses-baseline,run-baseline
P8_control_sub-2515,"[45.83255102970063, 8.849499665637, 92.48276057295146]","[52.44080827292728, -38.569633481413355, 80.7018900277237]","[65.18732346164114, 41.807800596240654, 60.960114825627464]","[0.21162852215185013, 19.929749425358438, 106.82643013312808]",P8,control,sub-2515,sham,ses-baseline,run-baseline
P5_target_sub-5007,"[-49.15527231451957, -27.3180875767442, 58.875427361829196]","[-42.93670989095113, 22.00850033001406, 61.189089617456055]","[-69.61823375955663, -42.253707510053076, 16.778362061553022]","[-7.657019545609423, -51.840073463337205, 68.2494007691346]",P5,target,sub-5007,sham,ses-baseline,run-baseline
P2_control_sub-2012,"[10.272653872981248, 7.73067956667717, 82.3554465712315]","[-24.46664552137725, -8.671826639505154, 73.08117395974052]","[40.652329887166005, -12.82744632129006, 67.67783944485546]","[12.237313962233763, 47.34459898231978, 78.26794881153918]",P2,control,sub-2012,sham,ses-baseline,run-baseline
P7_control_sub-085,"[47.3837363025659, -16.156978864148158, 78.13713630301537]","[52.342881791842224, -64.55320332988721, 69.45575680915448]","[67.22970741299439, 14.237930639461894, 44.917917804639025]","[2.4577786000308457, -1.6913090206643349, 92.70579719239727]",P7,control,sub-085,sham,ses-baseline,run-baseline
P6_control_sub-6102,"[-68.97017500929812, 21.191515509811932, 47.458604634188184]","[-40.707962085686056, 59.043422192866714, 62.941092690373246]","[-76.63029403105075, 17.497344362675587, -0.9387704374360676]","[-66.79335671632515, -21.364276337141707, 72.99916305898199]",P6,control,sub-6102,sham,ses-baseline,run-baseline
P1_target_sub-063,"[83.9288314738266, -34.79207254212408, 0.5960206473031656]","[78.99096114232653, -56.16993340690723, 20.818652576657215]","[83.12724552685816, -39.046945065829725, -28.486655101859267]","[86.4258983479598, -6.432855230728378, 9.316783272256385]",P1,target,sub-063,sham,ses-baseline,run-baseline
P2_target_sub-2013,"[-18.16639496901708, -59.641720529325546, 62.73952530296424]","[-62.536937124265734, -23.057993126007883, 55.101362329698404]","[-6.2263291960848175, -87.31359464466003, 12.01189050040806]","[28.7682011014935, -29.400693438179164, 79.94745676262613]",P2,target,sub-2013,sham,ses-baseline,run-baseline
P6_control_sub-6127,"[-67.86357996129182, 19.8554406383088, 40.18555045605643]","[-40.0661638343543, 57.984438725796124, 55.87396927149631]","[-77.54014630395618, 17.400324001001504, -8.661236640694781]","[-64.90686235788347, -23.187585315985626, 65.32839424785614]",P6,control,sub-6127,sham,ses-baseline,run-baseline
