index,anode,cathode1,cathode2,cathode3,exp,condition,subject,stim,session,run
P5_target_sub-5013,"[-53.14436140129711, 5.413225137011753, 80.03345620986055]","[-33.9746075702937, 51.3272509359473, 81.7257480705662]","[-77.78724272181358, -5.562562128155742, 39.36089414745147]","[-24.051932731388906, -30.802783535839563, 96.05475616906108]",P5,target,sub-5013,sham,ses-baseline,run-baseline
P7_target_sub-099,"[47.60393298495416, 20.8565503518182, 66.10734158409976]","[38.46599706470484, -15.019225034931118, 80.70438315894923]","[66.55475873064037, 19.82032424861789, 31.849600373430516]","[19.225343204927935, 48.01206979474541, 68.23034991436685]",P7,target,sub-099,sham,ses-baseline,run-baseline
P8_control_sub-2522,"[50.808391300587665, 29.88294115182214, 106.68999484408887]","[58.50269085324241, -18.9849246017917, 106.8214707232451]","[71.24563706651435, 56.58525587212545, 70.2256450985813]","[7.137380095865404, 46.00324970906688, 123.02168137004193]",P8,control,sub-2522,sham,ses-baseline,run-baseline
P7_control_sub-105,"[44.4578143160117, -19.707176856933902, 45.97930481224196]","[57.719531614223094, -63.643792101300974, 28.107771772377884]","[62.086891912694995, 20.66157390249668, 22.955870566498312]","[-2.652355455290219, -15.855224020028244, 60.06303648612051]",P7,control,sub-105,sham,ses-baseline,run-baseline
P1_target_sub-005,"[71.18967617578589, -63.64326201175672, 4.554108369797411]","[64.20172017846012, -83.44694865111138, 25.860253103546086]","[65.91075602307009, -70.00841500114994, -23.368670589026834]","[78.02799190667056, -35.51748264073369, 12.300768767129695]",P1,target,sub-005,sham,ses-baseline,run-baseline
P1_target_sub-056,"[78.53080966074718, -51.368726144711225, 4.663979684492051]","[74.34379468429923, -72.63400931050377, 25.351232015764595]","[72.60078799070175, -57.4688272173696, -23.93545038061427]","[80.79575355096704, -22.826561843435844, 13.117960411077409]",P1,target,sub-056,sham,ses-baseline,run-baseline
P7_control_sub-096,"[59.594054128117705, -37.19431389430857, 56.78710140632027]","[55.15003166797209, -82.42773051327653, 40.180308363080925]","[79.85031067288786, -4.84592875940768, 25.592554226716263]","[19.80609111687988, -20.012532575750292, 81.06948534487523]",P7,control,sub-096,sham,ses-baseline,run-baseline
P8_control_sub-2513,"[49.333319927670004, -14.689789306609425, 82.17125006161534]","[47.23700451397312, -61.575182223160255, 67.74433858206181]","[72.47769470875079, 15.407014841779743, 50.37097653376225]","[6.060611389029482, 3.4220396225275826, 95.84546787989329]",P8,control,sub-2513,sham,ses-baseline,run-baseline
P4_target_sub-4021,"[-66.48423016386387, 41.33199367557365, 47.81206044133787]","[-37.7066996624162, 78.82909175885327, 61.80112877687442]","[-72.39766813903579, 36.92310259318848, -0.8471121077906781]","[-61.84711212787906, -1.4382782477509577, 72.93444079751622]",P4,target,sub-4021,sham,ses-baseline,run-baseline
P3_control_sub-063,"[51.41493919944162, -24.762569397581313, 85.84041827482496]","[53.655013054470274, -71.40706367282058, 68.76114617982002]","[75.65070915421019, 9.872785734409602, 59.80779745951733]","[7.446797356288726, -10.40637768047776, 102.21322360721413]",P3,control,sub-063,sham,ses-baseline,run-baseline
P7_control_sub-087,"[50.20079534186376, -11.500082486792907, 51.22838505727608]","[56.02325831231659, -58.91145031714743, 39.400708828718344]","[70.04752811150345, 21.62181341908067, 19.997139901191073]","[4.798638323674236, 0.41642388398550734, 66.84410333899393]",P7,control,sub-087,sham,ses-baseline,run-baseline
P1_target_sub-039,"[74.63788623903447, -58.95669393253502, 3.750091824294497]","[67.92346677644652, -76.33627427615612, 26.897912358226076]","[71.49029620066513, -69.30790615746459, -24.079744958661106]","[81.8122194112157, -30.35161368623541, 8.235895268936964]",P1,target,sub-039,sham,ses-baseline,run-baseline
P6_control_sub-6203,"[-58.572810086280235, 24.1948116819236, 33.17472738077887]","[-24.732639067373693, 57.55842446300966, 46.47533004696153]","[-68.24854354489247, 20.716741906533223, -15.046509948354885]","[-58.21812155504982, -18.715540522069027, 58.12197793311674]",P6,control,sub-6203,sham,ses-baseline,run-baseline
P1_control_sub-025,"[-43.87929254785351, -21.264535846537985, 95.52303676452728]","[-32.5548478384214, 26.703437566082698, 89.60714966795818]","[-69.80880590055527, -40.8085689882541, 59.19060038052454]","[-6.041324144390543, -49.84449681368926, 108.33754163505307]",P1,control,sub-025,sham,ses-baseline,run-baseline
P1_target_sub-1101,"[71.31900960477326, -52.14576639269728, 2.855309658186935]","[62.15450007502739, -70.13238333072835, 24.97083565001877]","[67.23028300023734, -60.48735382239166, -25.654256161249446]","[78.40490400839543, -23.720165402191654, 8.90896561490831]",P1,target,sub-1101,sham,ses-baseline,run-baseline
P1_control_sub-065,"[-47.2856176910636, -23.76031949416092, 67.42696530189065]","[-31.82531688041435, 23.57571846102627, 69.29156722780245]","[-72.11724134556071, -35.609296429386305, 28.28229286820485]","[-14.8644184974424, -57.9884549831857, 81.36863716311237]",P1,control,sub-065,sham,ses-baseline,run-baseline
P7_target_sub-091,"[48.51028260482523, 34.33140830537493, 52.025156084325765]","[38.54817679327529, 2.710386025579961, 73.98641220847229]","[69.21457686510287, 25.864137342488384, 19.790571755984544]","[20.13333639231178, 61.70485298402447, 47.097905262723486]",P7,target,sub-091,sham,ses-baseline,run-baseline
P1_target_sub-030,"[67.25776318577643, -61.01488364522697, 16.641315091491425]","[63.011096237369834, -79.4998872776484, 39.75624450395237]","[61.41660403524689, -70.21948007736975, -11.094518124372218]","[75.23709426372037, -32.570533833659894, 21.477548097383135]",P1,target,sub-030,sham,ses-baseline,run-baseline
P1_target_sub-048,"[77.44336429377266, -59.45312921817418, 1.4517295090069966]","[72.26859946052278, -77.97233547223473, 24.2158553510636]","[69.61633969798459, -67.34744280068237, -26.381899512428024]","[83.95392584828015, -31.050156583307903, 6.778079355782982]",P1,target,sub-048,sham,ses-baseline,run-baseline
P8_target_sub-2518,"[-53.03440405955556, 40.469723986311436, 53.54414243893038]","[-25.332579696621245, 67.08765679020124, 60.73505167541534]","[-65.85498166499015, 40.877216255718906, 16.20226915714488]","[-46.27884649871927, 4.04797828005766, 68.30413115800462]",P8,target,sub-2518,sham,ses-baseline,run-baseline
P2_target_sub-2011,"[-30.202933500649795, -70.77340111650187, 49.56226510604034]","[-67.05980687409627, -25.870809729673212, 42.85475717825127]","[-13.91838418423817, -88.86047413258228, -4.681260666902381]","[17.386638980053284, -49.971258405152064, 77.67334331098796]",P2,target,sub-2011,sham,ses-baseline,run-baseline
P4_control_sub-4009,"[-0.10315275279127956, -27.676566398592648, 97.76948799252418]","[-35.01246053956015, -43.505208352069836, 87.2035326521398]","[32.44907567252591, -47.319926758431514, 85.91074816078967]","[2.01458059347188, 12.23992277749504, 98.43339840769836]",P4,control,sub-4009,sham,ses-baseline,run-baseline
P5_control_sub-5014,"[-61.27935135394972, 31.645215341193538, 28.062781151287638]","[-32.41396850293088, 66.66970989456048, 47.33122681180132]","[-66.37367712084595, 32.905075788937765, -20.852397441814265]","[-57.756298724952906, -13.984826749087409, 47.4121050034675]",P5,control,sub-5014,sham,ses-baseline,run-baseline
P3_control_sub-018,"[51.10477507767012, -32.13030162063025, 77.12910702907301]","[52.85416848824374, -78.65422038863832, 61.42336548731718]","[71.55836584653579, 2.00240463502861, 47.76037228604529]","[8.096582902647105, -18.31297701487813, 96.91805257934134]",P3,control,sub-018,sham,ses-baseline,run-baseline
P8_control_sub-2518,"[42.397984956072236, 4.066705973359261, 73.57189678085486]","[49.18274558922822, -42.5991985260465, 59.45414890672]","[62.282867288237945, 38.208292500471586, 43.715704801762556]","[-4.485861338508188, 14.394554302557827, 84.19217702123606]",P8,control,sub-2518,sham,ses-baseline,run-baseline
P1_target_sub-010,"[71.94287703562479, -58.85740237432477, 9.996935250702238]","[66.21933040957012, -75.74946381260307, 34.10006224321594]","[65.13277713878666, -69.27024554494669, -17.16368591102161]","[76.68000605548335, -29.45807735624479, 13.33852101715783]",P1,target,sub-010,sham,ses-baseline,run-baseline
P7_control_sub-048,"[51.311956152701725, -29.227877600561857, 84.14114998421934]","[52.55481057756056, -77.0622830944654, 73.02509109166226]","[73.58848907185246, 1.2708674263988649, 52.443842823745854]","[7.711326973796909, -12.55004792599284, 100.78763069083249]",P7,control,sub-048,sham,ses-baseline,run-baseline
P2_control_sub-2018,"[9.235825195322567, 6.925668296955254, 99.37996500420022]","[-26.405862878086392, -8.532092719578133, 91.30142266624897]","[39.71634267712268, -15.63780347727235, 88.16075736980623]","[13.326987278715876, 46.48443466765477, 95.60900618089579]",P2,control,sub-2018,sham,ses-baseline,run-baseline
P1_target_sub-054,"[71.30960006555614, -59.10349521465349, 16.38019483946645]","[63.088513370319895, -76.70300088280676, 39.11261339877348]","[68.5344744611442, -69.00306070697214, -11.743435112957938]","[75.25235844050226, -30.57005143298049, 20.81383220740355]",P1,target,sub-054,sham,ses-baseline,run-baseline
P5_target_sub-5009,"[-50.28499902783617, 1.2489909393149108, 81.02943408538984]","[-33.61113103564859, 48.14050257607277, 78.83675880870493]","[-77.08276935490444, -12.48176183361219, 44.15020447709174]","[-18.201124054211164, -32.94181446004888, 97.0259722559057]",P5,target,sub-5009,sham,ses-baseline,run-baseline
P1_control_sub-005,"[-45.7864962238541, -36.240295746294734, 77.03021821477718]","[-29.944432391106815, 10.993637100966305, 79.29930793309289]","[-71.95382920307463, -47.40919746660846, 37.872933223170634]","[-12.761398977048877, -70.63472619073299, 88.57477502169469]",P1,control,sub-005,sham,ses-baseline,run-baseline
P6_control_sub-6123,"[-60.1082417768609, 17.502535708480803, 45.52361222070986]","[-27.39698409222937, 53.25969209067528, 56.69203836084884]","[-69.42956078731622, 11.115942528630491, -2.8851121456048525]","[-58.76549445812873, -23.983510046128174, 73.0323388234833]",P6,control,sub-6123,sham,ses-baseline,run-baseline
P3_control_sub-032,"[48.050974620942505, -29.94401681082768, 77.98831186681728]","[49.86655128442649, -77.06458977927274, 63.8818576967661]","[70.04291264862707, 2.9894755296312336, 48.04159758273531]","[4.222858334096325, -15.07156214146643, 94.98689979299401]",P3,control,sub-032,sham,ses-baseline,run-baseline
P1_control_sub-054,"[-43.850957126604136, -29.712572855906064, 77.46970133108086]","[-33.12493279487984, 18.843129180993575, 74.14911904761784]","[-66.64757955337193, -47.360043188444614, 38.519308940113284]","[-6.659140819014959, -58.64646058888331, 92.10290581042013]",P1,control,sub-054,sham,ses-baseline,run-baseline
P3_control_sub-007,"[50.41548442606061, -6.306220028516925, 74.32749218473619]","[54.154419906269865, -55.64364919773623, 70.05936830971905]","[67.11677115725837, 20.742808846922895, 36.181499537066934]","[7.743700688536961, 9.889319429951707, 92.11860833723279]",P3,control,sub-007,sham,ses-baseline,run-baseline
P6_target_sub-6203,"[58.05688838538847, -75.21353465268744, -42.86851164422529]","[9.274940041260729, -104.92743423630859, -42.18781708804336]","[66.81366985694953, -36.801836125623595, -85.87049295621931]","[74.74129326755684, -56.877856181770554, 10.40177055110107]",P6,target,sub-6203,sham,ses-baseline,run-baseline
P3_control_sub-014,"[50.3992281106714, -22.777664094365747, 86.91214125148404]","[54.93837090573432, -70.45440959655265, 75.28476813951423]","[71.02501883398911, 8.829849044891027, 54.960825186745474]","[5.0059555053398554, -9.313892476746359, 101.33346303193736]",P3,control,sub-014,sham,ses-baseline,run-baseline
P7_control_sub-022,"[47.98010960156618, -29.52424671312509, 83.82678888490985]","[57.481270706359524, -74.80946575871384, 66.96006011518124]","[69.43044754866038, 8.477769003543779, 59.939999819102226]","[1.7277943943335239, -21.174431309974075, 98.49218771201143]",P7,control,sub-022,sham,ses-baseline,run-baseline
P2_control_sub-2014,"[-1.5133620526387759, 2.1627311366674626, 88.21420342523767]","[-36.26903309202959, -15.31592996437353, 80.15782134968677]","[30.59789553613895, -19.597656851367443, 79.44331994350256]","[0.8278075758307863, 41.03507919196943, 79.8165336622095]",P2,control,sub-2014,sham,ses-baseline,run-baseline
P3_target_sub-031,"[-72.50750055612538, -56.15833763507057, 35.73252225025228]","[-75.41145904146101, -16.489465900239814, 35.964907030699685]","[-69.86360424874661, -73.06391501083158, -0.23196127640310368]","[-49.58418909866858, -71.6939059319437, 63.766328721783324]",P3,target,sub-031,sham,ses-baseline,run-baseline
P7_target_sub-044,"[47.452376231658185, 36.97560300639437, 53.284594773939666]","[39.323245059158324, 3.014841446875306, 72.34358377318637]","[68.59701144447236, 33.099520516608095, 19.917567712958274]","[18.30786955352712, 63.7918126939806, 51.85295243095867]",P7,target,sub-044,sham,ses-baseline,run-baseline
P5_control_sub-5012,"[-70.09983565194791, 39.22240343052811, 32.166876396721534]","[-44.390268341920184, 77.35510231751289, 49.66852603877468]","[-69.88532693348608, 33.677932023518466, -17.3964156722454]","[-72.07268074048511, -2.3065949413170825, 59.661816712686466]",P5,control,sub-5012,sham,ses-baseline,run-baseline
P5_control_sub-5018,"[-67.99663438260973, 39.29839534521157, 22.9755710126154]","[-45.050503189770104, 81.37218279118134, 34.91246336998621]","[-72.07196800909952, 30.72640398727919, -25.841763385293188]","[-59.30980111688057, -0.3914629303918348, 51.58506375856852]",P5,control,sub-5018,sham,ses-baseline,run-baseline
P7_control_sub-012,"[47.924008419382496, -29.18182034181446, 82.04777728206778]","[56.998391340074335, -75.33085859798551, 66.94636781328032]","[69.23689137752851, 7.853070246293681, 57.165825437688504]","[1.850365918468276, -19.706030850188576, 97.48639013748198]",P7,control,sub-012,sham,ses-baseline,run-baseline
P4_control_sub-4014,"[-12.17255889572898, -16.98295214637639, 90.66813693412551]","[-45.58111989988609, -31.36726078070181, 75.42118173888288]","[20.310542970257792, -37.77505355332029, 80.83184254805836]","[-8.632351107245533, 22.79847753550882, 90.24666198413898]",P4,control,sub-4014,sham,ses-baseline,run-baseline
P4_control_sub-4005,"[-3.9419766880910028, -24.594233218918415, 67.2415332053325]","[-38.31935226660827, -38.58352920944551, 53.63619832540671]","[28.07375655375794, -44.41943418943966, 54.869173142608645]","[-0.6109966863773785, 15.063823265708857, 70.53707833232518]",P4,control,sub-4005,sham,ses-baseline,run-baseline
P1_control_sub-018,"[-48.68131254911852, -37.16844912989354, 74.94548913157168]","[-40.91908583549675, 11.761929020217298, 78.58327820120819]","[-68.18087896668057, -50.90996493255421, 34.01166438791956]","[-11.720582752830781, -66.20048397732747, 89.9069897084108]",P1,control,sub-018,sham,ses-baseline,run-baseline
P1_control_sub-076,"[-49.0707123400222, 14.997134054099403, 47.07902150498063]","[-28.702017814088435, 58.643961734986235, 35.00074785885601]","[-73.42178295083723, -6.712666507788356, 10.775396597012794]","[-20.2342372367963, -16.162596418274912, 72.39909614200239]",P1,control,sub-076,sham,ses-baseline,run-baseline
P8_control_sub-2521,"[51.479260614636836, 3.176526709354834, 91.87381545013945]","[52.17326667683265, -43.552444947461595, 76.4575629869752]","[70.93965631803212, 36.833154172346866, 60.93533526298471]","[10.091164613002949, 17.23090699441338, 113.6165714141302]",P8,control,sub-2521,sham,ses-baseline,run-baseline
P1_control_sub-044,"[-42.29353213311529, -19.123035602831198, 73.7972619315652]","[-29.010440444329, 28.840805419701965, 71.14004395984688]","[-73.28899237530358, -34.43481095063284, 39.81172033723597]","[-6.526272406082226, -51.88376697701647, 84.53949586989881]",P1,control,sub-044,sham,ses-baseline,run-baseline
P7_target_sub-040,"[50.834801274807795, 46.98594297895712, 40.72268766982585]","[43.072125876039514, 13.255977211806753, 60.18811266602302]","[69.90524882907603, 41.93963622700462, 6.166083871071664]","[20.791064852807217, 72.67293975729606, 38.98802757476604]",P7,target,sub-040,sham,ses-baseline,run-baseline
P2_control_sub-2013,"[4.931101121109203, 4.620401861851179, 89.88747036010919]","[-29.28239383116023, -13.588782417834489, 82.31874332902514]","[37.279688673952336, -15.809944582613404, 79.59564246958831]","[5.890192139957828, 44.03796513861297, 83.41904676043238]",P2,control,sub-2013,sham,ses-baseline,run-baseline
P1_target_sub-055,"[71.2992921234303, -61.27423979211048, 24.212950399991424]","[64.3231310936435, -80.59919533721802, 45.725289412164265]","[68.38775213755403, -69.17527436440704, -4.257521416771466]","[75.49762893953168, -32.44906647408303, 30.995481182906904]",P1,target,sub-055,sham,ses-baseline,run-baseline
