network,vol_anode_mm3,vol_cathode1_mm3,vol_cathode2_mm3,vol_cathode3_mm3,vol_total_mm3,vol_cv,spoke_min_mm,spoke_max_mm,star_radius_cv,star_min_angle,star_angle_std,star_hub_agrees,subject,session,run,anode,cathode1,cathode2,cathode3
proposed,1260.9,1395.9,1250.6,1086.3,4993.7,0.0879,39.9,43.39,0.0372,111.31,3.1,True,sub-023,ses-4,run-01,[-66.31761331 -58.78421763  54.69627538],[-69.5068928  -74.16106163  19.18641294],[-66.24883659 -19.79181589  58.45705733],[-42.00471777 -74.07062498  76.35080076]
proposed,1218.4,1469.9,1296.1,1146.5,5130.9,0.0938,39.31,43.54,0.0467,111.88,2.34,True,sub-023,ses-4,run-02,[-66.33759952 -60.36349477  69.17001011],[-69.42916917 -74.76878268  32.73142729],[-65.5676199  -21.38354364  73.11479437],[-42.72938411 -76.26908179  90.27457575]
proposed,1036.4,1072.4,1096.6,1151.6,4357.0,0.0384,40.8,43.53,0.0265,113.29,4.99,True,sub-024,ses-1,run-01,[-68.47044154 -61.4867798   46.33031511],[-71.92827049 -22.89587241  52.88029033],[-65.09501309 -70.38277677   9.20801711],[-51.09017162 -79.34262907  73.42411206]
proposed,1144.3,1102.5,1178.0,1287.3,4712.1,0.0582,40.24,43.89,0.036,113.22,4.88,True,sub-024,ses-1,run-02,[-67.90966964 -62.09913904  46.73599573],[-70.77555202 -23.27962594  54.15051277],[-65.00156738 -70.94793008   9.33688136],[-51.58653351 -80.59136799  73.37481176]
proposed,1166.3,1373.9,1182.4,1448.7,5171.2,0.094,39.75,44.89,0.0526,112.02,4.95,True,sub-024,ses-2,run-01,[-69.83572575 -55.41925547  47.77877832],[-69.75823804 -15.51267886  54.83686275],[-66.44129353 -65.21522979   9.37675589],[-54.27814035 -73.80525405  74.34596045]
proposed,1237.4,1442.1,1312.2,1599.0,5590.8,0.0983,39.71,45.0,0.054,112.64,4.89,True,sub-024,ses-2,run-02,[-69.76671533 -56.03269192  48.18371364],[-69.80185439 -16.04270237  55.31632325],[-66.56732051 -65.71453502   9.65262715],[-54.64815536 -74.76428975  74.71846468]
proposed,1077.5,1365.1,1086.3,1222.0,4750.9,0.0988,38.72,44.19,0.0588,114.98,0.24,True,sub-024,ses-3,run-01,[-70.70432175 -50.16492922  57.19338289],[-68.41961752 -11.20092345  63.24857067],[-68.07857447 -61.46453661  19.02506366],[-53.0678623  -70.02045197  79.87158717]
proposed,998.3,1334.3,1092.2,1283.6,4708.4,0.1165,38.62,44.44,0.0624,114.09,1.36,True,sub-024,ses-3,run-02,[-69.95537458 -54.05038463  57.52630648],[-68.31648647 -14.64309091  64.86826506],[-67.88505834 -63.46398352  18.99692071],[-52.45478699 -74.18604864  79.93143455]
proposed,1343.1,1377.5,1153.8,1187.5,5061.9,0.0761,37.9,45.15,0.0715,108.81,3.86,True,sub-024,ses-4,run-01,[-60.24581919 -79.02554387  58.39745275],[-64.79319607 -46.21211341  75.38616026],[-62.20468354 -79.42535017  17.68632152],[-33.76572768 -95.21718985  72.64238058]
proposed,1293.2,1385.6,1132.5,1208.1,5019.4,0.0753,37.98,45.77,0.0765,108.01,4.24,True,sub-024,ses-4,run-02,[-60.70181886 -80.7963807   58.47030042],[-64.99039957 -48.29657606  76.26175869],[-62.38923994 -80.23504582  17.18667403],[-34.09036042 -97.10892569  72.51170215]
proposed,1172.1,1142.1,982.9,1210.3,4507.4,0.0768,30.81,33.22,0.0345,115.38,2.36,True,sub-025,ses-1,run-01,[ 74.87252012 -40.27591186  20.50684315],[ 67.84859975 -57.14370758  44.18311507],[ 68.95331407 -49.48604979  -7.41379215],[ 75.87023015 -12.88786349  25.25493479]
proposed,1203.0,1166.3,951.4,1310.0,4630.6,0.1126,31.3,33.05,0.0248,115.65,2.34,True,sub-025,ses-1,run-02,[ 74.2831595  -41.56847414  21.05964841],[ 67.58047483 -58.3905472   44.66251814],[ 68.66452714 -50.85163479  -6.73011585],[ 75.39820514 -13.73618358  25.79772151]
proposed,1212.5,1230.1,1146.5,1326.9,4916.0,0.0525,31.88,33.82,0.0242,116.03,1.89,True,sub-025,ses-2,run-01,[ 71.29118306 -50.99393237  31.61360952],[ 59.92412955 -69.17769898  53.32922304],[ 68.20751061 -58.73952418   3.26359586],[ 75.0125444  -23.40691642  38.91614368]
proposed,1293.2,1260.2,1238.2,1478.0,5269.5,0.072,31.41,33.99,0.0324,114.56,3.08,True,sub-025,ses-2,run-02,[ 71.42300319 -51.58686545  31.50863043],[ 59.92493205 -69.7771051   53.36762548],[ 68.42030341 -59.56603311   3.40639498],[ 74.61727945 -24.48586454  39.20540219]
proposed,1621.8,1564.6,1631.3,1913.7,6731.4,0.0806,31.68,32.98,0.0173,116.48,1.59,True,sub-025,ses-3,run-01,[ 71.15430386 -52.96942202  24.53837533],[ 60.8749085  -70.43027163  46.33398425],[ 66.45968229 -60.1819573   -2.98891635],[ 76.50232385 -25.74130703  31.46659858]
proposed,1160.4,1226.4,1016.6,1420.1,4823.5,0.1203,31.77,33.2,0.0198,116.18,1.87,True,sub-025,ses-3,run-02,[ 71.45639372 -53.60801443  23.90938523],[ 61.48216512 -70.8872572   46.10399778],[ 66.29810381 -61.71125447  -4.47473812],[ 76.6231947  -26.19785144  30.56732957]
proposed,1142.1,1393.7,1145.7,1341.6,5023.1,0.0903,31.29,32.67,0.0188,114.34,3.14,True,sub-025,ses-4,run-01,[ 68.93009674 -58.1578575   21.14535733],[ 57.09339658 -76.77022106  40.41091621],[ 64.13528314 -62.11750553  -7.68250115],[ 75.3017072  -32.81113464  31.85985916]
proposed,1130.3,1373.9,1135.5,1286.6,4926.2,0.0839,30.95,32.5,0.0227,112.67,4.42,True,sub-025,ses-4,run-02,[ 69.04341919 -58.81409348  21.47098231],[ 57.15828224 -77.45841568  40.73315239],[ 64.23311137 -62.6479903   -7.20143561],[ 75.16137785 -34.0393885   32.84253234]
proposed,1258.0,1178.7,1217.6,1285.8,4940.2,0.0328,31.91,33.08,0.0147,116.01,2.48,True,sub-026,ses-1,run-01,[ 74.30252346 -57.43938035   9.39322412],[ 67.2553603  -76.74770753  31.04827523],[ 68.75413905 -62.85281498 -18.35016438],[ 78.53009522 -29.64442461  17.81270768]
