network,vol_anode_mm3,vol_cathode1_mm3,vol_cathode2_mm3,vol_cathode3_mm3,vol_total_mm3,vol_cv,spoke_min_mm,spoke_max_mm,star_radius_cv,star_min_angle,star_angle_std,star_hub_agrees,subject,session,run,anode,cathode1,cathode2,cathode3
a_baseline,1331.3,1480.2,1533.0,1144.3,5488.8,0.11,40.49,43.62,0.0316,114.88,2.85,True,sub-003,ses-2,run-01,[-67.2151842  -48.52905501  52.89077227],[-68.86804786 -60.5026592   16.1068906 ],[-66.30399281  -9.49858817  58.06953919],[-49.51597314 -67.84621776  78.34934876]
a_baseline,1275.6,1481.0,1438.4,1117.9,5312.8,0.1081,40.25,43.42,0.0324,114.67,3.67,True,sub-003,ses-2,run-02,[-66.38479367 -49.12581044  52.59466827],[-68.65319583 -60.48923814  15.78109723],[-65.17815267 -10.28596955  57.76424143],[-48.84990147 -68.3496393   77.91773726]
a_baseline,1633.5,1445.7,1475.8,1307.8,5862.9,0.079,39.93,45.49,0.0591,113.49,3.26,True,sub-003,ses-3,run-01,[-66.71989351 -50.64817645  54.83143827],[-67.85148035 -62.91086103  15.64978702],[-67.42680815 -14.22698254  58.76052067],[-48.09935879 -68.93313169  79.65837263]
a_baseline,1574.8,1412.7,1447.9,1317.4,5752.9,0.0641,40.14,45.8,0.0611,112.98,3.5,True,sub-003,ses-3,run-02,[-67.00455047 -51.96567845  55.25588269],[-68.03335902 -63.20407779  15.47899409],[-66.95727721 -15.64854063  59.85161683],[-48.41897008 -71.0358447   79.79231726]
a_baseline,1404.7,1422.3,1552.1,1161.1,5540.2,0.102,39.6,44.52,0.0509,115.39,1.67,True,sub-003,ses-4,run-01,[-67.73749636 -50.81688124  49.91488618],[-67.02375409 -66.30676855  12.83978944],[-68.28582932 -11.55246507  54.58651149],[-50.9029189  -70.03496529  74.88251598]
a_baseline,1418.6,1395.9,1460.4,1156.7,5431.6,0.0872,39.57,44.6,0.0526,115.88,1.6,True,sub-003,ses-4,run-02,[-67.9224449  -51.39043223  50.22284262],[-67.17141019 -66.61604582  12.9548162 ],[-67.97839788 -11.96864233  55.32002479],[-51.49729774 -70.76016877  75.31447966]
a_baseline,1537.4,1530.1,1478.8,1507.4,6053.6,0.0151,36.08,38.42,0.0286,111.52,4.99,True,sub-004,ses-1,run-01,[ 76.50863363 -56.77190655   1.5693843 ],[ 63.99229793 -83.33794634  19.77242666],[ 74.22021533 -56.551612   -30.9198134 ],[ 78.20831541 -27.90001749  20.71822482]
a_baseline,1595.4,1500.0,1483.2,1578.5,6157.1,0.0315,36.18,38.28,0.0257,110.96,5.5,True,sub-004,ses-1,run-02,[ 76.53598397 -57.01494691   1.8038916 ],[ 64.25275551 -83.60249135  19.94138122],[ 74.01273177 -56.85661917 -30.76005759],[ 78.20343109 -28.50046437  21.25005261]
a_baseline,1606.4,1615.9,1519.1,1373.1,6114.5,0.0637,30.84,32.62,0.026,116.98,1.41,True,sub-004,ses-2,run-01,[ 76.5397273  -55.63201531 -11.24570675],[ 68.71444639 -78.69347407   5.30036869],[ 73.54285007 -57.10891491 -40.47750691],[ 78.14329942 -30.921087     1.48154819]
a_baseline,1692.9,1624.7,1533.8,1614.4,6465.9,0.0349,32.42,32.93,0.0072,118.67,0.12,True,sub-004,ses-2,run-02,[ 76.03483883 -55.94835182 -10.84890589],[ 68.46582772 -79.09659731   5.37780373],[ 72.93961628 -57.44023774 -40.3793273 ],[ 77.35859574 -29.20014444   2.01120301]
