network,vol_anode_mm3,vol_cathode1_mm3,vol_cathode2_mm3,vol_cathode3_mm3,vol_total_mm3,vol_cv,spoke_min_mm,spoke_max_mm,star_radius_cv,star_min_angle,star_angle_std,star_hub_agrees,subject,session,run,anode,cathode1,cathode2,cathode3
c_reduced,1370.9,1328.4,1458.9,1300.5,5458.8,0.0439,31.36,32.08,0.0095,117.1,2.2,True,sub-017,ses-1,run-02,[ 68.20747214 -55.5401407   -5.09874813],[ 59.35281865 -73.77560642  15.29055262],[ 64.20574898 -63.56743633 -32.63449173],[ 72.58173736 -28.54859174   2.2363304 ]
c_reduced,1343.1,1337.9,1296.8,1256.5,5234.3,0.0267,31.66,33.35,0.0229,115.63,2.61,True,sub-017,ses-2,run-01,[ 67.47133564 -57.63801854  -6.15772918],[ 57.70726039 -76.2534253   13.19144134],[ 64.02574988 -63.73419554 -35.44029129],[ 71.87051627 -30.80878436   3.45720163]
c_reduced,1373.9,1360.7,1343.1,1416.4,5494.0,0.0197,31.69,33.06,0.0197,115.44,2.56,True,sub-017,ses-2,run-02,[ 67.38970885 -57.74402312  -7.54719217],[ 57.62440628 -76.13016162  12.06654882],[ 64.19800657 -64.0696291  -36.53852495],[ 71.26802311 -30.87430995   1.62399433]
c_reduced,1486.1,1243.3,1101.7,1475.1,5306.2,0.1221,30.78,33.47,0.0378,114.81,4.82,True,sub-017,ses-3,run-01,[ 63.47313186 -68.75232991 -12.10435247],[ 51.83199172 -86.54839626   6.19779213],[ 60.68563094 -70.00953965 -42.16712234],[ 70.75801487 -44.16569192  -1.4204632 ]
c_reduced,1513.2,1275.6,1125.9,1516.2,5430.9,0.122,30.66,33.28,0.0354,113.96,4.99,True,sub-017,ses-3,run-02,[ 63.55708077 -69.0523835  -11.40990153],[ 52.12824452 -87.23469359   6.8416201 ],[ 60.41056765 -69.82543687 -41.27543955],[ 70.71166546 -44.81390496  -0.12575103]
c_reduced,1280.7,1274.1,1244.0,1385.6,5184.4,0.0413,30.05,32.73,0.0379,115.65,2.69,True,sub-017,ses-4,run-01,[ 66.07761274 -63.26733028 -15.02862138],[ 55.29290506 -81.30145372   5.35395623],[ 62.1408203  -67.97906605 -43.93289669],[ 71.93465325 -37.73856149  -7.98522459]
c_reduced,1293.9,1292.4,1249.9,1359.2,5195.4,0.0301,30.25,32.72,0.0357,115.88,2.47,True,sub-017,ses-4,run-02,[ 66.34753404 -64.22362448 -15.1802148 ],[ 55.69285257 -82.73700234   5.042479  ],[ 61.95671253 -68.4414455  -44.0869019 ],[ 72.21050972 -38.64961378  -7.62338694]
c_reduced,1478.0,1551.4,1557.2,1516.2,6102.8,0.0208,31.39,33.56,0.0298,118.5,0.5,True,sub-018,ses-2,run-01,[ 75.29930425 -56.9587513    2.63360598],[ 66.31649467 -79.81320313  20.3540549 ],[ 73.63200716 -59.77555214 -27.30149872],[ 77.83328696 -31.16388635  14.08503301]
c_reduced,1481.0,1472.9,1437.7,1392.2,5783.7,0.0242,31.9,33.65,0.0226,117.8,1.07,True,sub-018,ses-2,run-02,[ 74.00129529 -57.02853804   2.59524406],[ 65.42380967 -80.10530635  20.37972006],[ 72.35574861 -59.42063241 -27.25963645],[ 76.02730459 -30.90152466  14.53923853]
c_reduced,1625.5,1610.0,1384.1,1480.2,6099.8,0.0649,31.98,33.44,0.0195,113.76,3.87,True,sub-018,ses-3,run-01,[ 76.40659975 -56.16288316 -15.9479949 ],[ 68.91662157 -78.2299271    3.23122666],[ 70.51459959 -57.19147487 -45.31819081],[ 79.19557151 -29.36951388  -5.5782781 ]
