,Electrode,run,Session,Subject,Dimension,Coordinates,Experiment,date,Electrode-Dimension,Session-run,Experiment-Session_run,Experiment-Session,Dimension-Session,Dimension-Experiment
30,Cathode2,run-02,ses-3,sub-015,X,64.50625575333834,P1,2023-09-24,Cathode2-X,ses-3-run-02,P1-ses-3-run-02,P1-ses-3,X-ses-3,X-P1
31,Cathode3,run-02,ses-3,sub-015,X,77.14946022629738,P1,2023-09-24,Cathode3-X,ses-3-run-02,P1-ses-3-run-02,P1-ses-3,X-ses-3,X-P1
32,Anode,run-01,ses-2,sub-024,X,-69.03066911362112,P3,2023-08-10,Anode-X,ses-2-run-01,P3-ses-2-run-01,P3-ses-2,X-ses-2,X-P3
33,Cathode1,run-01,ses-2,sub-024,X,-66.4409757014364,P3,2023-08-10,Cathode1-X,ses-2-run-01,P3-ses-2-run-01,P3-ses-2,X-ses-2,X-P3
34,Cathode2,run-01,ses-2,sub-024,X,-70.020855685696,P3,2023-08-10,Cathode2-X,ses-2-run-01,P3-ses-2-run-01,P3-ses-2,X-ses-2,X-P3
35,Cathode3,run-01,ses-2,sub-024,X,-52.98271626792848,P3,2023-08-10,Cathode3-X,ses-2-run-01,P3-ses-2-run-01,P3-ses-2,X-ses-2,X-P3
36,Anode,run-02,ses-2,sub-024,X,-69.05035510193557,P3,2023-08-10,Anode-X,ses-2-run-02,P3-ses-2-run-02,P3-ses-2,X-ses-2,X-P3
37,Cathode1,run-02,ses-2,sub-024,X,-66.45647559408098,P3,2023-08-10,Cathode1-X,ses-2-run-02,P3-ses-2-run-02,P3-ses-2,X-ses-2,X-P3
38,Cathode2,run-02,ses-2,sub-024,X,-70.07154145929962,P3,2023-08-10,Cathode2-X,ses-2-run-02,P3-ses-2-run-02,P3-ses-2,X-ses-2,X-P3
39,Cathode3,run-02,ses-2,sub-024,X,-53.94808538630605,P3,2023-08-10,Cathode3-X,ses-2-run-02,P3-ses-2-run-02,P3-ses-2,X-ses-2,X-P3
40,Anode,run-01,ses-1,sub-024,X,-68.34260094724596,P3,2023-06-15,Anode-X,ses-1-run-01,P3-ses-1-run-01,P3-ses-1,X-ses-1,X-P3
41,Cathode1,run-01,ses-1,sub-024,X,-64.0362261896953,P3,2023-06-15,Cathode1-X,ses-1-run-01,P3-ses-1-run-01,P3-ses-1,X-ses-1,X-P3
42,Cathode2,run-01,ses-1,sub-024,X,-71.36908339895308,P3,2023-06-15,Cathode2-X,ses-1-run-01,P3-ses-1-run-01,P3-ses-1,X-ses-1,X-P3
43,Cathode3,run-01,ses-1,sub-024,X,-50.57796675618738,P3,2023-06-15,Cathode3-X,ses-1-run-01,P3-ses-1-run-01,P3-ses-1,X-ses-1,X-P3
44,Anode,run-02,ses-1,sub-024,X,-68.40878661349416,P3,2023-06-15,Anode-X,ses-1-run-02,P3-ses-1-run-02,P3-ses-1,X-ses-1,X-P3
45,Cathode1,run-02,ses-1,sub-024,X,-64.0362261896953,P3,2023-06-15,Cathode1-X,ses-1-run-02,P3-ses-1-run-02,P3-ses-1,X-ses-1,X-P3
46,Cathode2,run-02,ses-1,sub-024,X,-71.30289773270488,P3,2023-06-15,Cathode2-X,ses-1-run-02,P3-ses-1-run-02,P3-ses-1,X-ses-1,X-P3
47,Cathode3,run-02,ses-1,sub-024,X,-49.74915506597608,P3,2023-06-15,Cathode3-X,ses-1-run-02,P3-ses-1-run-02,P3-ses-1,X-ses-1,X-P3
48,Anode,run-01,ses-3,sub-024,X,-70.4629218056798,P3,2023-11-09,Anode-X,ses-3-run-01,P3-ses-3-run-01,P3-ses-3,X-ses-3,X-P3
49,Cathode1,run-01,ses-3,sub-024,X,-67.00504472665489,P3,2023-11-09,Cathode1-X,ses-3-run-01,P3-ses-3-run-01,P3-ses-3,X-ses-3,X-P3
50,Cathode2,run-01,ses-3,sub-024,X,-67.97743210475892,P3,2023-11-09,Cathode2-X,ses-3-run-01,P3-ses-3-run-01,P3-ses-3,X-ses-3,X-P3
51,Cathode3,run-01,ses-3,sub-024,X,-51.05197803117335,P3,2023-11-09,Cathode3-X,ses-3-run-01,P3-ses-3-run-01,P3-ses-3,X-ses-3,X-P3
52,Anode,run-02,ses-3,sub-024,X,-68.82498441357166,P3,2023-11-09,Anode-X,ses-3-run-02,P3-ses-3-run-02,P3-ses-3,X-ses-3,X-P3
53,Cathode1,run-02,ses-3,sub-024,X,-67.14578825049102,P3,2023-11-09,Cathode1-X,ses-3-run-02,P3-ses-3-run-02,P3-ses-3,X-ses-3,X-P3
54,Cathode2,run-02,ses-3,sub-024,X,-67.2034922838211,P3,2023-11-09,Cathode2-X,ses-3-run-02,P3-ses-3-run-02,P3-ses-3,X-ses-3,X-P3
55,Cathode3,run-02,ses-3,sub-024,X,-50.39490965008736,P3,2023-11-09,Cathode3-X,ses-3-run-02,P3-ses-3-run-02,P3-ses-3,X-ses-3,X-P3
64,Anode,run-01,ses-2,sub-022,X,78.04550005821511,P1,2023-11-09,Anode-X,ses-2-run-01,P1-ses-2-run-01,P1-ses-2,X-ses-2,X-P1
65,Cathode1,run-01,ses-2,sub-022,X,72.16643689805642,P1,2023-11-09,Cathode1-X,ses-2-run-01,P1-ses-2-run-01,P1-ses-2,X-ses-2,X-P1
66,Cathode2,run-01,ses-2,sub-022,X,69.84390939306468,P1,2023-11-09,Cathode2-X,ses-2-run-01,P1-ses-2-run-01,P1-ses-2,X-ses-2,X-P1
67,Cathode3,run-01,ses-2,sub-022,X,83.68315197853372,P1,2023-11-09,Cathode3-X,ses-2-run-01,P1-ses-2-run-01,P1-ses-2,X-ses-2,X-P1
68,Anode,run-02,ses-2,sub-022,X,77.19588159723207,P1,2023-11-09,Anode-X,ses-2-run-02,P1-ses-2-run-02,P1-ses-2,X-ses-2,X-P1
69,Cathode1,run-02,ses-2,sub-022,X,72.21939128171653,P1,2023-11-09,Cathode1-X,ses-2-run-02,P1-ses-2-run-02,P1-ses-2,X-ses-2,X-P1
70,Cathode2,run-02,ses-2,sub-022,X,69.00211160629988,P1,2023-11-09,Cathode2-X,ses-2-run-02,P1-ses-2-run-02,P1-ses-2,X-ses-2,X-P1
71,Cathode3,run-02,ses-2,sub-022,X,82.88257756410167,P1,2023-11-09,Cathode3-X,ses-2-run-02,P1-ses-2-run-02,P1-ses-2,X-ses-2,X-P1
72,Anode,run-01,ses-1,sub-022,X,79.54856079397723,P1,2023-07-02,Anode-X,ses-1-run-01,P1-ses-1-run-01,P1-ses-1,X-ses-1,X-P1
73,Cathode1,run-01,ses-1,sub-022,X,76.27521773753688,P1,2023-07-02,Cathode1-X,ses-1-run-01,P1-ses-1-run-01,P1-ses-1,X-ses-1,X-P1
74,Cathode2,run-01,ses-1,sub-022,X,70.71307953959331,P1,2023-07-02,Cathode2-X,ses-1-run-01,P1-ses-1-run-01,P1-ses-1,X-ses-1,X-P1
75,Cathode3,run-01,ses-1,sub-022,X,83.46351376967505,P1,2023-07-02,Cathode3-X,ses-1-run-01,P1-ses-1-run-01,P1-ses-1,X-ses-1,X-P1
76,Anode,run-02,ses-1,sub-022,X,79.5936945034191,P1,2023-07-02,Anode-X,ses-1-run-02,P1-ses-1-run-02,P1-ses-1,X-ses-1,X-P1
77,Cathode1,run-02,ses-1,sub-022,X,75.42559927655384,P1,2023-07-02,Cathode1-X,ses-1-run-02,P1-ses-1-run-02,P1-ses-1,X-ses-1,X-P1
78,Cathode2,run-02,ses-1,sub-022,X,69.86346107861027,P1,2023-07-02,Cathode2-X,ses-1-run-02,P1-ses-1-run-02,P1-ses-1,X-ses-1,X-P1
79,Cathode3,run-02,ses-1,sub-022,X,82.65902901813388,P1,2023-07-02,Cathode3-X,ses-1-run-02,P1-ses-1-run-02,P1-ses-1,X-ses-1,X-P1
80,Anode,run-01,ses-4,sub-058,X,51.04980305675417,P7,2024-03-17,Anode-X,ses-4-run-01,P7-ses-4-run-01,P7-ses-4,X-ses-4,X-P7
81,Cathode1,run-01,ses-4,sub-058,X,36.97618948156014,P7,2024-03-17,Cathode1-X,ses-4-run-01,P7-ses-4-run-01,P7-ses-4,X-ses-4,X-P7
82,Cathode2,run-01,ses-4,sub-058,X,31.87329686107114,P7,2024-03-17,Cathode2-X,ses-4-run-01,P7-ses-4-run-01,P7-ses-4,X-ses-4,X-P7
83,Cathode3,run-01,ses-4,sub-058,X,67.18883829889819,P7,2024-03-17,Cathode3-X,ses-4-run-01,P7-ses-4-run-01,P7-ses-4,X-ses-4,X-P7
84,Anode,run-02,ses-4,sub-058,X,51.06572586949915,P7,2024-03-17,Anode-X,ses-4-run-02,P7-ses-4-run-02,P7-ses-4,X-ses-4,X-P7
85,Cathode1,run-02,ses-4,sub-058,X,36.98415088793263,P7,2024-03-17,Cathode1-X,ses-4-run-02,P7-ses-4-run-02,P7-ses-4,X-ses-4,X-P7
86,Cathode2,run-02,ses-4,sub-058,X,32.77813202235848,P7,2024-03-17,Cathode2-X,ses-4-run-02,P7-ses-4-run-02,P7-ses-4,X-ses-4,X-P7
87,Cathode3,run-02,ses-4,sub-058,X,67.20476111164317,P7,2024-03-17,Cathode3-X,ses-4-run-02,P7-ses-4-run-02,P7-ses-4,X-ses-4,X-P7
88,Anode,run-01,ses-2,sub-058,X,50.16089070821181,P7,2023-09-14,Anode-X,ses-2-run-01,P7-ses-2-run-01,P7-ses-2,X-ses-2,X-P7
89,Cathode1,run-01,ses-2,sub-058,X,40.598616055212915,P7,2023-09-14,Cathode1-X,ses-2-run-01,P7-ses-2-run-01,P7-ses-2,X-ses-2,X-P7
90,Cathode2,run-01,ses-2,sub-058,X,28.33486665878445,P7,2023-09-14,Cathode2-X,ses-2-run-01,P7-ses-2-run-01,P7-ses-2,X-ses-2,X-P7
91,Cathode3,run-01,ses-2,sub-058,X,66.25703298998997,P7,2023-09-14,Cathode3-X,ses-2-run-01,P7-ses-2-run-01,P7-ses-2,X-ses-2,X-P7
92,Anode,run-02,ses-2,sub-058,X,51.08164868224412,P7,2023-09-14,Anode-X,ses-2-run-02,P7-ses-2-run-02,P7-ses-2,X-ses-2,X-P7
93,Cathode1,run-02,ses-2,sub-058,X,41.53042136412114,P7,2023-09-14,Cathode1-X,ses-2-run-02,P7-ses-2-run-02,P7-ses-2,X-ses-2,X-P7
94,Cathode2,run-02,ses-2,sub-058,X,29.26179648982361,P7,2023-09-14,Cathode2-X,ses-2-run-02,P7-ses-2-run-02,P7-ses-2,X-ses-2,X-P7
95,Cathode3,run-02,ses-2,sub-058,X,66.28091720910743,P7,2023-09-14,Cathode3-X,ses-2-run-02,P7-ses-2-run-02,P7-ses-2,X-ses-2,X-P7
96,Anode,run-01,ses-1,sub-058,X,45.69374112552032,P7,2023-07-30,Anode-X,ses-1-run-01,P7-ses-1-run-01,P7-ses-1,X-ses-1,X-P7
