,Subject,Experiment,Electrode,run,Session,Dimension,Coordinate difference in mm,date
74,sub-001,P1,Cathode2,run-02,ses-2,Z,35.19169759392739,2023-08-03
75,sub-001,P1,Cathode2,run-02,ses-3,X,5.23452990729362,2023-09-27
76,sub-001,P1,Cathode2,run-02,ses-3,Y,19.305739384517068,2023-09-27
77,sub-001,P1,Cathode2,run-02,ses-3,Z,40.20064930260182,2023-09-27
78,sub-001,P1,Cathode2,run-02,ses-4,X,3.461971008628609,2023-10-26
79,sub-001,P1,Cathode2,run-02,ses-4,Y,18.24823882747441,2023-10-26
80,sub-001,P1,Cathode2,run-02,ses-4,Z,39.41978947460652,2023-10-26
84,sub-001,P1,Cathode3,run-01,ses-1,X,0.5121043393388334,2023-05-24
85,sub-001,P1,Cathode3,run-01,ses-1,Y,4.3857830593176175,2023-05-24
86,sub-001,P1,Cathode3,run-01,ses-1,Z,9.892175132930278,2023-05-24
87,sub-001,P1,Cathode3,run-01,ses-2,X,0.3308155568316522,2023-08-03
88,sub-001,P1,Cathode3,run-01,ses-2,Y,0.2611392906121921,2023-08-03
89,sub-001,P1,Cathode3,run-01,ses-2,Z,5.336558217704296,2023-08-03
90,sub-001,P1,Cathode3,run-01,ses-3,X,1.3802775483578387,2023-09-27
91,sub-001,P1,Cathode3,run-01,ses-3,Y,4.301910037845374,2023-09-27
92,sub-001,P1,Cathode3,run-01,ses-3,Z,7.985340925455093,2023-09-27
93,sub-001,P1,Cathode3,run-01,ses-4,X,0.9916936563327852,2023-10-26
94,sub-001,P1,Cathode3,run-01,ses-4,Y,1.368326420634986,2023-10-26
95,sub-001,P1,Cathode3,run-01,ses-4,Z,0.0008261030912404266,2023-10-26
96,sub-001,P1,Cathode3,run-02,ses-1,X,0.3930343644693437,2023-05-24
97,sub-001,P1,Cathode3,run-02,ses-1,Y,3.8293180296011258,2023-05-24
98,sub-001,P1,Cathode3,run-02,ses-1,Z,7.244300002753734,2023-05-24
99,sub-001,P1,Cathode3,run-02,ses-2,X,0.38471834026276497,2023-08-03
100,sub-001,P1,Cathode3,run-02,ses-2,Y,0.9591490199975681,2023-08-03
101,sub-001,P1,Cathode3,run-02,ses-2,Z,6.404216597378253,2023-08-03
102,sub-001,P1,Cathode3,run-02,ses-3,X,2.2538183977827373,2023-09-27
103,sub-001,P1,Cathode3,run-02,ses-3,Y,5.365153524298222,2023-09-27
104,sub-001,P1,Cathode3,run-02,ses-3,Z,7.24611515790224,2023-09-27
105,sub-001,P1,Cathode3,run-02,ses-4,X,1.244046397879714,2023-10-26
106,sub-001,P1,Cathode3,run-02,ses-4,Y,1.1388944338262093,2023-10-26
107,sub-001,P1,Cathode3,run-02,ses-4,Z,5.479957493543624,2023-10-26
111,sub-002,P1,Anode,run-01,ses-1,X,4.65003088437021,2023-05-24
112,sub-002,P1,Anode,run-01,ses-1,Y,11.30992224052548,2023-05-24
113,sub-002,P1,Anode,run-01,ses-1,Z,25.774018389582636,2023-05-24
114,sub-002,P1,Anode,run-01,ses-2,X,1.9934608662128426,2023-08-24
115,sub-002,P1,Anode,run-01,ses-2,Y,3.6131548938900266,2023-08-24
116,sub-002,P1,Anode,run-01,ses-2,Z,0.3444135463237785,2023-08-24
117,sub-002,P1,Anode,run-01,ses-3,X,1.1623757207393624,2023-11-29
118,sub-002,P1,Anode,run-01,ses-3,Y,3.7116114498674904,2023-11-29
119,sub-002,P1,Anode,run-01,ses-3,Z,0.6171538853645302,2023-11-29
123,sub-002,P1,Anode,run-02,ses-1,X,4.782833013162019,2023-05-24
124,sub-002,P1,Anode,run-02,ses-1,Y,11.471618316918608,2023-05-24
125,sub-002,P1,Anode,run-02,ses-1,Z,27.567409259676936,2023-05-24
126,sub-002,P1,Anode,run-02,ses-2,X,2.005177206881342,2023-08-24
127,sub-002,P1,Anode,run-02,ses-2,Y,4.5121319351345335,2023-08-24
128,sub-002,P1,Anode,run-02,ses-2,Z,0.4263348481059097,2023-08-24
129,sub-002,P1,Anode,run-02,ses-3,X,2.0481455899402476,2023-11-29
130,sub-002,P1,Anode,run-02,ses-3,Y,2.7950258908420835,2023-11-29
131,sub-002,P1,Anode,run-02,ses-3,Z,0.6342031905055023,2023-11-29
138,sub-002,P1,Cathode1,run-01,ses-1,X,15.651329875662924,2023-05-24
139,sub-002,P1,Cathode1,run-01,ses-1,Y,70.73464455470443,2023-05-24
140,sub-002,P1,Cathode1,run-01,ses-1,Z,2.4354296666383775,2023-05-24
141,sub-002,P1,Cathode1,run-01,ses-2,X,24.588873869478704,2023-08-24
142,sub-002,P1,Cathode1,run-01,ses-2,Y,56.349481202811006,2023-08-24
143,sub-002,P1,Cathode1,run-01,ses-2,Z,22.29024590969086,2023-08-24
144,sub-002,P1,Cathode1,run-01,ses-3,X,27.570369438007475,2023-11-29
145,sub-002,P1,Cathode1,run-01,ses-3,Y,54.28096052087844,2023-11-29
146,sub-002,P1,Cathode1,run-01,ses-3,Z,25.51856905639172,2023-11-29
150,sub-002,P1,Cathode1,run-02,ses-1,X,15.506811406202615,2023-05-24
151,sub-002,P1,Cathode1,run-02,ses-1,Y,71.79531767234207,2023-05-24
152,sub-002,P1,Cathode1,run-02,ses-1,Z,0.7239600983262093,2023-05-24
153,sub-002,P1,Cathode1,run-02,ses-2,X,25.47464373867959,2023-08-24
154,sub-002,P1,Cathode1,run-02,ses-2,Y,57.26606676183641,2023-08-24
155,sub-002,P1,Cathode1,run-02,ses-2,Z,22.307295214831832,2023-08-24
156,sub-002,P1,Cathode1,run-02,ses-3,X,28.44442296653986,2023-11-29
157,sub-002,P1,Cathode1,run-02,ses-3,Y,56.09652312114835,2023-11-29
158,sub-002,P1,Cathode1,run-02,ses-3,Z,25.617539663314822,2023-11-29
165,sub-002,P1,Cathode2,run-01,ses-1,X,1.8196757129952346,2023-05-24
166,sub-002,P1,Cathode2,run-01,ses-1,Y,4.632329887375235,2023-05-24
167,sub-002,P1,Cathode2,run-01,ses-1,Z,28.97845232516527,2023-05-24
168,sub-002,P1,Cathode2,run-01,ses-2,X,1.3193470992520417,2023-08-24
169,sub-002,P1,Cathode2,run-01,ses-2,Y,12.36324306331575,2023-08-24
170,sub-002,P1,Cathode2,run-01,ses-2,Z,2.102402687370777,2023-08-24
171,sub-002,P1,Cathode2,run-01,ses-3,X,0.17186995208263056,2023-11-29
172,sub-002,P1,Cathode2,run-01,ses-3,Y,6.4570354478061205,2023-11-29
173,sub-002,P1,Cathode2,run-01,ses-3,Z,2.8896516036987308,2023-11-29
177,sub-002,P1,Cathode2,run-02,ses-1,X,2.760130305923525,2023-05-24
178,sub-002,P1,Cathode2,run-02,ses-1,Y,6.367044449448585,2023-05-24
179,sub-002,P1,Cathode2,run-02,ses-1,Z,27.98278628319502,2023-05-24
180,sub-002,P1,Cathode2,run-02,ses-2,X,1.5966676975041594,2023-08-24
181,sub-002,P1,Cathode2,run-02,ses-2,Y,11.140873869284988,2023-08-24
182,sub-002,P1,Cathode2,run-02,ses-2,Z,5.607263125777244,2023-08-24
183,sub-002,P1,Cathode2,run-02,ses-3,X,0.2031219944730367,2023-11-29
184,sub-002,P1,Cathode2,run-02,ses-3,Y,9.073118533343077,2023-11-29
185,sub-002,P1,Cathode2,run-02,ses-3,Z,1.7471922633051875,2023-11-29
192,sub-002,P1,Cathode3,run-01,ses-1,X,35.2266802579537,2023-05-24
193,sub-002,P1,Cathode3,run-01,ses-1,Y,41.595507459565994,2023-05-24
194,sub-002,P1,Cathode3,run-01,ses-1,Z,43.52478199392557,2023-05-24
195,sub-002,P1,Cathode3,run-01,ses-2,X,20.880786323584616,2023-08-24
196,sub-002,P1,Cathode3,run-01,ses-2,Y,57.67297378726303,2023-08-24
197,sub-002,P1,Cathode3,run-01,ses-2,Z,24.223040334284306,2023-08-24
198,sub-002,P1,Cathode3,run-01,ses-3,X,20.81438525918871,2023-11-29
199,sub-002,P1,Cathode3,run-01,ses-3,Y,57.753821825459596,2023-11-29
200,sub-002,P1,Cathode3,run-01,ses-3,Z,23.326344899237156,2023-11-29
204,sub-002,P1,Cathode3,run-02,ses-1,X,35.1602791935578,2023-05-24
205,sub-002,P1,Cathode3,run-02,ses-1,Y,41.67635549776256,2023-05-24
206,sub-002,P1,Cathode3,run-02,ses-1,Z,42.62808655887842,2023-05-24
207,sub-002,P1,Cathode3,run-02,ses-2,X,20.869069982916116,2023-08-24
208,sub-002,P1,Cathode3,run-02,ses-2,Y,58.57195082850754,2023-08-24
