,X,Y,Z,Electrode,run,Session,Subject
sub-024_ses-3_run-01_Cathode1,-67.00504472665489,-59.09520881995559,18.37276342115365,Cathode1,run-01,ses-3,sub-024
sub-024_ses-3_run-01_Cathode2,-67.97743210475892,-10.988437347114086,62.46296683792025,Cathode2,run-01,ses-3,sub-024
sub-024_ses-3_run-01_Cathode3,-51.05197803117335,-69.39930741488934,79.53344729728997,Cathode3,run-01,ses-3,sub-024
sub-024_ses-3_run-02_Anode,-68.82498441357166,-53.440605748444796,57.20952147827484,Anode,run-02,ses-3,sub-024
sub-024_ses-3_run-02_Cathode1,-67.14578825049102,-62.70354574546218,18.387887487886474,Cathode1,run-02,ses-3,sub-024
sub-024_ses-3_run-02_Cathode2,-67.2034922838211,-14.628732450306416,63.36541348416358,Cathode2,run-02,ses-3,sub-024
sub-024_ses-3_run-02_Cathode3,-50.39490965008736,-74.8533072732389,77.73553780978546,Cathode3,run-02,ses-3,sub-024
sub-009_ses-1_run-01_Anode,-68.74512827023864,-44.32095699943602,36.751078598201275,Anode,run-01,ses-1,sub-009
sub-009_ses-1_run-01_Cathode1,-62.52178323082626,-62.12222087755799,4.168274838477373,Cathode1,run-01,ses-1,sub-009
sub-009_ses-1_run-01_Cathode2,-66.00363576225936,-7.054580630734563,41.580182541161776,Cathode2,run-01,ses-1,sub-009
sub-009_ses-1_run-01_Cathode3,-54.347731633111835,-60.27482860907912,64.68436947092414,Cathode3,run-01,ses-1,sub-009
sub-009_ses-1_run-02_Anode,-68.79418276436627,-45.202318232506514,37.673473466187716,Anode,run-02,ses-1,sub-009
sub-009_ses-1_run-02_Cathode1,-62.44200620613992,-62.14281161315739,3.2692643590271473,Cathode1,run-02,ses-1,sub-009
sub-009_ses-1_run-02_Cathode2,-66.052690256387,-7.935941863805056,42.502577409148216,Cathode2,run-02,ses-1,sub-009
sub-009_ses-1_run-02_Cathode3,-53.39033089019358,-62.046172298491,64.80989844724536,Cathode3,run-02,ses-1,sub-009
sub-022_ses-2_run-01_Anode,78.04550005821511,-60.17661793529987,4.61107325553894,Anode,run-01,ses-2,sub-022
sub-022_ses-2_run-01_Cathode1,72.16643689805642,-62.78664789348841,-22.97808979637921,Cathode1,run-01,ses-2,sub-022
sub-022_ses-2_run-01_Cathode2,69.84390939306468,-79.36111138761044,25.08378817513585,Cathode2,run-01,ses-2,sub-022
sub-022_ses-2_run-01_Cathode3,83.68315197853372,-32.8564380556345,15.053676769137383,Cathode3,run-01,ses-2,sub-022
sub-022_ses-2_run-02_Anode,77.19588159723207,-61.120288632810116,4.4986351151019335,Anode,run-02,ses-2,sub-022
sub-022_ses-2_run-02_Cathode1,72.21939128171653,-63.57885458320379,-23.9778999555856,Cathode1,run-02,ses-2,sub-022
sub-022_ses-2_run-02_Cathode2,69.00211160629988,-80.0981073603034,23.17767866514623,Cathode2,run-02,ses-2,sub-022
sub-022_ses-2_run-02_Cathode3,82.88257756410167,-34.695652805268764,14.838264154270291,Cathode3,run-02,ses-2,sub-022
sub-022_ses-1_run-01_Anode,79.54856079397723,-54.707100331783295,5.247847434133291,Anode,run-01,ses-1,sub-022
sub-022_ses-1_run-01_Cathode1,76.27521773753688,-55.17498752474785,-23.900647040456533,Cathode1,run-01,ses-1,sub-022
sub-022_ses-1_run-01_Cathode2,70.71307953959331,-77.900753878057,20.712047891691327,Cathode2,run-01,ses-1,sub-022
sub-022_ses-1_run-01_Cathode3,83.46351376967505,-29.894286021590233,20.846588775515556,Cathode3,run-01,ses-1,sub-022
sub-022_ses-1_run-02_Anode,79.5936945034191,-55.705981746315956,6.041708644479513,Anode,run-02,ses-1,sub-022
sub-022_ses-1_run-02_Cathode1,75.42559927655384,-56.11865822225809,-24.01308518089354,Cathode1,run-02,ses-1,sub-022
sub-022_ses-1_run-02_Cathode2,69.86346107861027,-78.84442457556725,20.59960975125432,Cathode2,run-02,ses-1,sub-022
sub-022_ses-1_run-02_Cathode3,82.65902901813388,-31.836838133633137,21.52801184542477,Cathode3,run-02,ses-1,sub-022
sub-058_ses-4_run-01_Anode,51.04980305675417,29.494406070560217,60.13010361045599,Anode,run-01,ses-4,sub-058
sub-058_ses-4_run-01_Cathode1,36.97618948156014,1.9789867252111435,82.8875809982419,Cathode1,run-01,ses-4,sub-058
sub-058_ses-4_run-01_Cathode2,31.87329686107114,61.940676666330546,60.67480895575136,Cathode2,run-01,ses-4,sub-058
sub-058_ses-4_run-01_Cathode3,67.18883829889819,22.057368298061192,28.914927320554852,Cathode3,run-01,ses-4,sub-058
sub-058_ses-4_run-02_Anode,51.06572586949915,27.693187680095434,60.25416547805071,Anode,run-02,ses-4,sub-058
sub-058_ses-4_run-02_Cathode1,36.98415088793263,1.0783775299787521,82.94961193203926,Cathode1,run-02,ses-4,sub-058
sub-058_ses-4_run-02_Cathode2,32.77813202235848,60.98571407981217,59.83258814737201,Cathode2,run-02,ses-4,sub-058
sub-058_ses-4_run-02_Cathode3,67.20476111164317,20.25614990759641,29.03898918814957,Cathode3,run-02,ses-4,sub-058
sub-058_ses-2_run-01_Anode,50.16089070821181,28.64815026661381,61.09638628643006,Anode,run-01,ses-2,sub-058
sub-058_ses-2_run-01_Cathode1,40.598616055212915,-1.7788035292178392,80.41933485493064,Cathode1,run-01,ses-2,sub-058
sub-058_ses-2_run-01_Cathode2,28.33486665878445,57.84122453024611,67.30388186406344,Cathode2,run-01,ses-2,sub-058
sub-058_ses-2_run-01_Cathode3,66.25703298998997,25.652098378632218,28.67041823733598,Cathode3,run-01,ses-2,sub-058
sub-058_ses-2_run-02_Anode,51.08164868224412,25.89196928963065,60.37822734564543,Anode,run-02,ses-2,sub-058
sub-058_ses-2_run-02_Cathode1,41.53042136412114,-5.373533609788865,80.66384393814951,Cathode1,run-02,ses-2,sub-058
sub-058_ses-2_run-02_Cathode2,29.26179648982361,55.209163736552,68.3869971036911,Cathode2,run-02,ses-2,sub-058
sub-058_ses-2_run-02_Cathode3,66.28091720910743,22.950270792935044,28.85651103872806,Cathode3,run-02,ses-2,sub-058
sub-058_ses-1_run-01_Anode,45.69374112552032,28.205488302744925,68.38158720172942,Anode,run-01,ses-1,sub-058
sub-058_ses-1_run-01_Cathode1,31.62858212692663,-2.32205908652395,86.82197193987668,Cathode1,run-01,ses-1,sub-058
sub-058_ses-1_run-01_Cathode2,22.93640493741259,58.88177379826084,69.96545011270791,Cathode2,run-01,ses-1,sub-058
