,Electrode,run,Session,Subject,Dimension,Coordinates,Experiment,date
76,Cathode2,baseline,ses-0,sub-024,X,-66.46,P3,2023-06-08
77,Cathode2,baseline,ses-0,sub-023,X,-66.99,P3,2023-06-18
78,Cathode2,baseline,ses-0,sub-003,X,-65.8,P3,2023-05-17
79,Cathode2,baseline,ses-0,sub-002,X,-66.34,P1,2023-05-17
80,Cathode2,baseline,ses-0,sub-039,X,-76.03,P3,2023-07-05
81,Cathode2,baseline,ses-0,sub-033,X,-74.8,P3,2023-06-29
82,Cathode2,baseline,ses-0,sub-049,X,-67.51,P3,2023-07-19
83,Cathode2,baseline,ses-0,sub-062,X,-68.69,P3,2023-08-31
84,Cathode2,baseline,ses-0,sub-012,Y,-66.3,P1,2023-06-04
85,Cathode2,baseline,ses-0,sub-014,Y,-76.28,P3,2023-06-04
86,Cathode2,baseline,ses-0,sub-052,Y,-56.23,P3,2023-07-19
87,Cathode2,baseline,ses-0,sub-047,Y,-76.37,P3,2023-07-19
88,Cathode2,baseline,ses-0,sub-024,Y,-70.01,P3,2023-06-08
89,Cathode2,baseline,ses-0,sub-023,Y,-78.98,P3,2023-06-18
90,Cathode2,baseline,ses-0,sub-003,Y,-72.58,P3,2023-05-17
91,Cathode2,baseline,ses-0,sub-002,Y,-65.64,P1,2023-05-17
92,Cathode2,baseline,ses-0,sub-039,Y,-59.36,P3,2023-07-05
93,Cathode2,baseline,ses-0,sub-033,Y,-60.2,P3,2023-06-29
94,Cathode2,baseline,ses-0,sub-049,Y,-70.16,P3,2023-07-19
95,Cathode2,baseline,ses-0,sub-062,Y,-62.41,P3,2023-08-31
96,Cathode2,baseline,ses-0,sub-012,Z,9.78,P1,2023-06-04
97,Cathode2,baseline,ses-0,sub-014,Z,14.67,P3,2023-06-04
98,Cathode2,baseline,ses-0,sub-052,Z,9.28,P3,2023-07-19
99,Cathode2,baseline,ses-0,sub-047,Z,-2.07,P3,2023-07-19
100,Cathode2,baseline,ses-0,sub-024,Z,16.32,P3,2023-06-08
101,Cathode2,baseline,ses-0,sub-023,Z,26.49,P3,2023-06-18
102,Cathode2,baseline,ses-0,sub-003,Z,14.24,P3,2023-05-17
103,Cathode2,baseline,ses-0,sub-002,Z,30.93,P1,2023-05-17
104,Cathode2,baseline,ses-0,sub-039,Z,15.62,P3,2023-07-05
105,Cathode2,baseline,ses-0,sub-033,Z,1.57,P3,2023-06-29
106,Cathode2,baseline,ses-0,sub-049,Z,14.68,P3,2023-07-19
107,Cathode2,baseline,ses-0,sub-062,Z,-0.33,P3,2023-08-31
108,Cathode3,baseline,ses-0,sub-012,X,-47.9,P1,2023-06-04
109,Cathode3,baseline,ses-0,sub-014,X,-46.95,P3,2023-06-04
110,Cathode3,baseline,ses-0,sub-052,X,-50.0,P3,2023-07-19
111,Cathode3,baseline,ses-0,sub-047,X,-50.41,P3,2023-07-19
112,Cathode3,baseline,ses-0,sub-024,X,-49.23,P3,2023-06-08
113,Cathode3,baseline,ses-0,sub-023,X,-32.06,P3,2023-06-18
114,Cathode3,baseline,ses-0,sub-003,X,-45.16,P3,2023-05-17
115,Cathode3,baseline,ses-0,sub-002,X,-34.14,P1,2023-05-17
116,Cathode3,baseline,ses-0,sub-039,X,-48.72,P3,2023-07-05
117,Cathode3,baseline,ses-0,sub-033,X,-58.68,P3,2023-06-29
118,Cathode3,baseline,ses-0,sub-049,X,-49.89,P3,2023-07-19
119,Cathode3,baseline,ses-0,sub-062,X,-49.44,P3,2023-08-31
120,Cathode3,baseline,ses-0,sub-012,Y,-76.6,P1,2023-06-04
121,Cathode3,baseline,ses-0,sub-014,Y,-73.2,P3,2023-06-04
122,Cathode3,baseline,ses-0,sub-052,Y,-57.36,P3,2023-07-19
123,Cathode3,baseline,ses-0,sub-047,Y,-82.03,P3,2023-07-19
124,Cathode3,baseline,ses-0,sub-024,Y,-76.03,P3,2023-06-08
125,Cathode3,baseline,ses-0,sub-023,Y,-73.62,P3,2023-06-18
126,Cathode3,baseline,ses-0,sub-003,Y,-77.31,P3,2023-05-17
127,Cathode3,baseline,ses-0,sub-002,Y,-60.66,P1,2023-05-17
128,Cathode3,baseline,ses-0,sub-039,Y,-60.68,P3,2023-07-05
129,Cathode3,baseline,ses-0,sub-033,Y,-69.01,P3,2023-06-29
130,Cathode3,baseline,ses-0,sub-049,Y,-70.45,P3,2023-07-19
131,Cathode3,baseline,ses-0,sub-062,Y,-65.27,P3,2023-08-31
132,Cathode3,baseline,ses-0,sub-012,Z,71.31,P1,2023-06-04
133,Cathode3,baseline,ses-0,sub-014,Z,77.41,P3,2023-06-04
134,Cathode3,baseline,ses-0,sub-052,Z,74.26,P3,2023-07-19
135,Cathode3,baseline,ses-0,sub-047,Z,59.37,P3,2023-07-19
136,Cathode3,baseline,ses-0,sub-024,Z,80.06,P3,2023-06-08
137,Cathode3,baseline,ses-0,sub-023,Z,82.46,P3,2023-06-18
138,Cathode3,baseline,ses-0,sub-003,Z,78.65,P3,2023-05-17
139,Cathode3,baseline,ses-0,sub-002,Z,89.39,P1,2023-05-17
140,Cathode3,baseline,ses-0,sub-039,Z,76.91,P3,2023-07-05
141,Cathode3,baseline,ses-0,sub-033,Z,66.31,P3,2023-06-29
142,Cathode3,baseline,ses-0,sub-049,Z,78.71,P3,2023-07-19
143,Cathode3,baseline,ses-0,sub-062,Z,63.26,P3,2023-08-31
0,Anode,baseline,ses-0,sub-005,X,51.83,P7,2023-05-24
1,Anode,baseline,ses-0,sub-010,X,51.88,P7,2023-05-31
2,Anode,baseline,ses-0,sub-011,X,48.1,P7,2023-06-01
3,Anode,baseline,ses-0,sub-028,X,45.67,P7,2023-06-08
4,Anode,baseline,ses-0,sub-029,X,50.96,P7,2023-06-22
5,Anode,baseline,ses-0,sub-032,X,46.08,P7,2023-06-29
6,Anode,baseline,ses-0,sub-034,X,42.37,P7,2023-07-05
7,Anode,baseline,ses-0,sub-037,X,56.25,P7,2023-07-16
9,Anode,baseline,ses-0,sub-043,X,56.29,P7,2023-07-30
10,Anode,baseline,ses-0,sub-058,X,46.49,P7,2023-07-27
11,Anode,baseline,ses-0,sub-060,X,50.72,P7,2023-08-06
12,Anode,baseline,ses-0,sub-005,Y,17.58,P7,2023-05-24
13,Anode,baseline,ses-0,sub-010,Y,28.06,P7,2023-05-31
14,Anode,baseline,ses-0,sub-011,Y,30.73,P7,2023-06-01
15,Anode,baseline,ses-0,sub-028,Y,44.79,P7,2023-06-08
16,Anode,baseline,ses-0,sub-029,Y,32.44,P7,2023-06-22
17,Anode,baseline,ses-0,sub-032,Y,23.99,P7,2023-06-29
18,Anode,baseline,ses-0,sub-034,Y,43.41,P7,2023-07-05
19,Anode,baseline,ses-0,sub-037,Y,41.01,P7,2023-07-16
21,Anode,baseline,ses-0,sub-043,Y,17.12,P7,2023-07-30
22,Anode,baseline,ses-0,sub-058,Y,35.08,P7,2023-07-27
23,Anode,baseline,ses-0,sub-060,Y,34.89,P7,2023-08-06
24,Anode,baseline,ses-0,sub-005,Z,66.6,P7,2023-05-24
25,Anode,baseline,ses-0,sub-010,Z,61.78,P7,2023-05-31
26,Anode,baseline,ses-0,sub-011,Z,58.06,P7,2023-06-01
27,Anode,baseline,ses-0,sub-028,Z,57.86,P7,2023-06-08
28,Anode,baseline,ses-0,sub-029,Z,60.13,P7,2023-06-22
29,Anode,baseline,ses-0,sub-032,Z,69.42,P7,2023-06-29
30,Anode,baseline,ses-0,sub-034,Z,66.69,P7,2023-07-05
31,Anode,baseline,ses-0,sub-037,Z,68.5,P7,2023-07-16
33,Anode,baseline,ses-0,sub-043,Z,57.57,P7,2023-07-30
34,Anode,baseline,ses-0,sub-058,Z,64.6,P7,2023-07-27
35,Anode,baseline,ses-0,sub-060,Z,64.65,P7,2023-08-06
36,Cathode1,baseline,ses-0,sub-005,X,41.02,P7,2023-05-24
37,Cathode1,baseline,ses-0,sub-010,X,41.86,P7,2023-05-31
38,Cathode1,baseline,ses-0,sub-011,X,39.26,P7,2023-06-01
39,Cathode1,baseline,ses-0,sub-028,X,40.78,P7,2023-06-08
40,Cathode1,baseline,ses-0,sub-029,X,41.59,P7,2023-06-22
41,Cathode1,baseline,ses-0,sub-032,X,34.97,P7,2023-06-29
42,Cathode1,baseline,ses-0,sub-034,X,35.88,P7,2023-07-05
43,Cathode1,baseline,ses-0,sub-037,X,49.2,P7,2023-07-16
45,Cathode1,baseline,ses-0,sub-043,X,44.4,P7,2023-07-30
46,Cathode1,baseline,ses-0,sub-058,X,31.47,P7,2023-07-27
47,Cathode1,baseline,ses-0,sub-060,X,43.92,P7,2023-08-06
48,Cathode1,baseline,ses-0,sub-005,Y,-16.74,P7,2023-05-24
49,Cathode1,baseline,ses-0,sub-010,Y,-3.4,P7,2023-05-31
50,Cathode1,baseline,ses-0,sub-011,Y,-1.72,P7,2023-06-01
51,Cathode1,baseline,ses-0,sub-028,Y,15.03,P7,2023-06-08
52,Cathode1,baseline,ses-0,sub-029,Y,0.66,P7,2023-06-22
53,Cathode1,baseline,ses-0,sub-032,Y,-10.92,P7,2023-06-29
54,Cathode1,baseline,ses-0,sub-034,Y,10.1,P7,2023-07-05
55,Cathode1,baseline,ses-0,sub-037,Y,6.56,P7,2023-07-16
57,Cathode1,baseline,ses-0,sub-043,Y,-15.55,P7,2023-07-30
58,Cathode1,baseline,ses-0,sub-058,Y,4.08,P7,2023-07-27
59,Cathode1,baseline,ses-0,sub-060,Y,0.39,P7,2023-08-06
60,Cathode1,baseline,ses-0,sub-005,Z,83.12,P7,2023-05-24
61,Cathode1,baseline,ses-0,sub-010,Z,83.68,P7,2023-05-31
62,Cathode1,baseline,ses-0,sub-011,Z,79.2,P7,2023-06-01
63,Cathode1,baseline,ses-0,sub-028,Z,83.64,P7,2023-06-08
64,Cathode1,baseline,ses-0,sub-029,Z,81.84,P7,2023-06-22
65,Cathode1,baseline,ses-0,sub-032,Z,84.8,P7,2023-06-29
66,Cathode1,baseline,ses-0,sub-034,Z,87.06,P7,2023-07-05
67,Cathode1,baseline,ses-0,sub-037,Z,86.74,P7,2023-07-16
69,Cathode1,baseline,ses-0,sub-043,Z,76.78,P7,2023-07-30
70,Cathode1,baseline,ses-0,sub-058,Z,84.72,P7,2023-07-27
71,Cathode1,baseline,ses-0,sub-060,Z,83.06,P7,2023-08-06
72,Cathode2,baseline,ses-0,sub-005,X,70.97,P7,2023-05-24
73,Cathode2,baseline,ses-0,sub-010,X,70.24,P7,2023-05-31
74,Cathode2,baseline,ses-0,sub-011,X,68.17,P7,2023-06-01
75,Cathode2,baseline,ses-0,sub-028,X,64.12,P7,2023-06-08
76,Cathode2,baseline,ses-0,sub-029,X,68.2,P7,2023-06-22
77,Cathode2,baseline,ses-0,sub-032,X,68.53,P7,2023-06-29
78,Cathode2,baseline,ses-0,sub-034,X,63.82,P7,2023-07-05
79,Cathode2,baseline,ses-0,sub-037,X,76.94,P7,2023-07-16
81,Cathode2,baseline,ses-0,sub-043,X,72.13,P7,2023-07-30
82,Cathode2,baseline,ses-0,sub-058,X,65.83,P7,2023-07-27
83,Cathode2,baseline,ses-0,sub-060,X,68.29,P7,2023-08-06
84,Cathode2,baseline,ses-0,sub-005,Y,13.59,P7,2023-05-24
85,Cathode2,baseline,ses-0,sub-010,Y,19.81,P7,2023-05-31
86,Cathode2,baseline,ses-0,sub-011,Y,24.07,P7,2023-06-01
87,Cathode2,baseline,ses-0,sub-028,Y,35.33,P7,2023-06-08
88,Cathode2,baseline,ses-0,sub-029,Y,24.2,P7,2023-06-22
89,Cathode2,baseline,ses-0,sub-032,Y,21.76,P7,2023-06-29
90,Cathode2,baseline,ses-0,sub-034,Y,38.29,P7,2023-07-05
91,Cathode2,baseline,ses-0,sub-037,Y,38.74,P7,2023-07-16
93,Cathode2,baseline,ses-0,sub-043,Y,10.87,P7,2023-07-30
94,Cathode2,baseline,ses-0,sub-058,Y,25.53,P7,2023-07-27
95,Cathode2,baseline,ses-0,sub-060,Y,31.79,P7,2023-08-06
96,Cathode2,baseline,ses-0,sub-005,Z,31.99,P7,2023-05-24
97,Cathode2,baseline,ses-0,sub-010,Z,27.59,P7,2023-05-31
98,Cathode2,baseline,ses-0,sub-011,Z,24.23,P7,2023-06-01
99,Cathode2,baseline,ses-0,sub-028,Z,23.85,P7,2023-06-08
100,Cathode2,baseline,ses-0,sub-029,Z,25.31,P7,2023-06-22
101,Cathode2,baseline,ses-0,sub-032,Z,36.63,P7,2023-06-29
102,Cathode2,baseline,ses-0,sub-034,Z,33.78,P7,2023-07-05
103,Cathode2,baseline,ses-0,sub-037,Z,34.63,P7,2023-07-16
105,Cathode2,baseline,ses-0,sub-043,Z,22.03,P7,2023-07-30
106,Cathode2,baseline,ses-0,sub-058,Z,31.29,P7,2023-07-27
107,Cathode2,baseline,ses-0,sub-060,Z,29.17,P7,2023-08-06
108,Cathode3,baseline,ses-0,sub-005,X,24.41,P7,2023-05-24
109,Cathode3,baseline,ses-0,sub-010,X,25.5,P7,2023-05-31
110,Cathode3,baseline,ses-0,sub-011,X,20.13,P7,2023-06-01
111,Cathode3,baseline,ses-0,sub-028,X,15.72,P7,2023-06-08
112,Cathode3,baseline,ses-0,sub-029,X,24.71,P7,2023-06-22
113,Cathode3,baseline,ses-0,sub-032,X,18.74,P7,2023-06-29
114,Cathode3,baseline,ses-0,sub-034,X,10.78,P7,2023-07-05
115,Cathode3,baseline,ses-0,sub-037,X,26.71,P7,2023-07-16
117,Cathode3,baseline,ses-0,sub-043,X,33.44,P7,2023-07-30
118,Cathode3,baseline,ses-0,sub-058,X,23.41,P7,2023-07-27
119,Cathode3,baseline,ses-0,sub-060,X,21.69,P7,2023-08-06
120,Cathode3,baseline,ses-0,sub-005,Y,45.81,P7,2023-05-24
121,Cathode3,baseline,ses-0,sub-010,Y,57.63,P7,2023-05-31
122,Cathode3,baseline,ses-0,sub-011,Y,58.67,P7,2023-06-01
123,Cathode3,baseline,ses-0,sub-028,Y,69.84,P7,2023-06-08
124,Cathode3,baseline,ses-0,sub-029,Y,61.78,P7,2023-06-22
125,Cathode3,baseline,ses-0,sub-032,Y,52.26,P7,2023-06-29
126,Cathode3,baseline,ses-0,sub-034,Y,66.33,P7,2023-07-05
127,Cathode3,baseline,ses-0,sub-037,Y,67.31,P7,2023-07-16
129,Cathode3,baseline,ses-0,sub-043,Y,49.49,P7,2023-07-30
130,Cathode3,baseline,ses-0,sub-058,Y,66.96,P7,2023-07-27
131,Cathode3,baseline,ses-0,sub-060,Y,61.62,P7,2023-08-06
132,Cathode3,baseline,ses-0,sub-005,Z,67.08,P7,2023-05-24
133,Cathode3,baseline,ses-0,sub-010,Z,60.49,P7,2023-05-31
134,Cathode3,baseline,ses-0,sub-011,Z,56.25,P7,2023-06-01
135,Cathode3,baseline,ses-0,sub-028,Z,54.22,P7,2023-06-08
136,Cathode3,baseline,ses-0,sub-029,Z,59.48,P7,2023-06-22
137,Cathode3,baseline,ses-0,sub-032,Z,69.31,P7,2023-06-29
138,Cathode3,baseline,ses-0,sub-034,Z,61.73,P7,2023-07-05
139,Cathode3,baseline,ses-0,sub-037,Z,68.83,P7,2023-07-16
141,Cathode3,baseline,ses-0,sub-043,Z,60.97,P7,2023-07-30
142,Cathode3,baseline,ses-0,sub-058,Z,62.2,P7,2023-07-27
143,Cathode3,baseline,ses-0,sub-060,Z,66.15,P7,2023-08-06
