Unnamed: 0,Subject,Session,run,Experiment,Electrode,Rater,Method,Dimension,Coordinates,date
0.0,sub-001,ses-0,baseline,P1,Anode,Kira,half-automated,X,74.08,2023-05-17
6444.0,sub-001,ses-0,baseline,P1,Anode,Kira,half-automated,Y,-61.42,2023-05-17
12888.0,sub-001,ses-0,baseline,P1,Anode,Kira,half-automated,Z,3.59,2023-05-17
4.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,half-automated,X,64.13,2023-05-17
6448.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,half-automated,Y,-81.92,2023-05-17
12892.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,half-automated,Z,22.88,2023-05-17
8.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,half-automated,X,66.81,2023-05-17
6452.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,half-automated,Y,-64.15,2023-05-17
12896.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,half-automated,Z,-25.34,2023-05-17
12.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,half-automated,X,80.85,2023-05-17
6456.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,half-automated,Y,-34.22,2023-05-17
12900.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,half-automated,Z,13.94,2023-05-17
1.0,sub-001,ses-0,baseline,P1,Anode,Kira,manually,X,74.08,2023-05-17
6445.0,sub-001,ses-0,baseline,P1,Anode,Kira,manually,Y,-61.42,2023-05-17
12889.0,sub-001,ses-0,baseline,P1,Anode,Kira,manually,Z,3.59,2023-05-17
5.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,manually,X,64.13,2023-05-17
6449.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,manually,Y,-81.92,2023-05-17
12893.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,manually,Z,22.88,2023-05-17
9.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,manually,X,66.81,2023-05-17
6453.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,manually,Y,-64.15,2023-05-17
12897.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,manually,Z,-25.34,2023-05-17
13.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,manually,X,80.85,2023-05-17
6457.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,manually,Y,-34.22,2023-05-17
12901.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,manually,Z,13.94,2023-05-17
16.0,sub-001,ses-1,run-01,P1,Anode,Kira,half-automated,X,73.84,2023-05-24
6460.0,sub-001,ses-1,run-01,P1,Anode,Kira,half-automated,Y,-61.13,2023-05-24
12904.0,sub-001,ses-1,run-01,P1,Anode,Kira,half-automated,Z,4.23,2023-05-24
20.0,sub-001,ses-1,run-01,P1,Cathode1,Kira,half-automated,X,65.04,
6464.0,sub-001,ses-1,run-01,P1,Cathode1,Kira,half-automated,Y,-78.49,
12908.0,sub-001,ses-1,run-01,P1,Cathode1,Kira,half-automated,Z,30.52,
24.0,sub-001,ses-1,run-01,P1,Cathode2,Kira,half-automated,X,60.64,
6468.0,sub-001,ses-1,run-01,P1,Cathode2,Kira,half-automated,Y,-72.98,
12912.0,sub-001,ses-1,run-01,P1,Cathode2,Kira,half-automated,Z,-26.29,
28.0,sub-001,ses-1,run-01,P1,Cathode3,Kira,half-automated,X,80.34,2023-05-24
6472.0,sub-001,ses-1,run-01,P1,Cathode3,Kira,half-automated,Y,-29.83,2023-05-24
12916.0,sub-001,ses-1,run-01,P1,Cathode3,Kira,half-automated,Z,4.05,2023-05-24
17.0,sub-001,ses-1,run-01,P1,Anode,Kira,manually,X,82.0,2023-05-24
6461.0,sub-001,ses-1,run-01,P1,Anode,Kira,manually,Y,-63.0,2023-05-24
12905.0,sub-001,ses-1,run-01,P1,Anode,Kira,manually,Z,5.0,2023-05-24
21.0,sub-001,ses-1,run-01,P1,Cathode1,Kira,manually,X,75.0,
6465.0,sub-001,ses-1,run-01,P1,Cathode1,Kira,manually,Y,-82.0,
12909.0,sub-001,ses-1,run-01,P1,Cathode1,Kira,manually,Z,32.0,
25.0,sub-001,ses-1,run-01,P1,Cathode2,Kira,manually,X,86.0,
6469.0,sub-001,ses-1,run-01,P1,Cathode2,Kira,manually,Y,-79.0,
12913.0,sub-001,ses-1,run-01,P1,Cathode2,Kira,manually,Z,-28.0,
29.0,sub-001,ses-1,run-01,P1,Cathode3,Kira,manually,X,86.0,2023-05-24
6473.0,sub-001,ses-1,run-01,P1,Cathode3,Kira,manually,Y,-32.0,
12917.0,sub-001,ses-1,run-01,P1,Cathode3,Kira,manually,Z,5.0,
32.0,sub-001,ses-1,run-02,P1,Anode,Kira,half-automated,X,72.89,2023-05-24
6476.0,sub-001,ses-1,run-02,P1,Anode,Kira,half-automated,Y,-61.82,2023-05-24
12920.0,sub-001,ses-1,run-02,P1,Anode,Kira,half-automated,Z,3.2,2023-05-24
36.0,sub-001,ses-1,run-02,P1,Cathode1,Kira,half-automated,X,65.0,
6480.0,sub-001,ses-1,run-02,P1,Cathode1,Kira,half-automated,Y,-78.3,
12924.0,sub-001,ses-1,run-02,P1,Cathode1,Kira,half-automated,Z,29.64,
40.0,sub-001,ses-1,run-02,P1,Cathode2,Kira,half-automated,X,60.62,
6484.0,sub-001,ses-1,run-02,P1,Cathode2,Kira,half-automated,Y,-73.86,
12928.0,sub-001,ses-1,run-02,P1,Cathode2,Kira,half-automated,Z,-26.48,
44.0,sub-001,ses-1,run-02,P1,Cathode3,Kira,half-automated,X,80.46,2023-05-24
