"Subject","Session","run","Experiment","Electrode","Rater","Method","X","Y","Z","Euclidean_Norm"
"sub-001","ses-4","run-02","P1","Cathode3","Kira","manually",72,-85,13,112.151683001193
"sub-001","ses-4","run-02","P1","Cathode3","Network","full-automated",79.99744664,-40.47125494,11.42358103,90.3770554338163
"sub-002","ses-1","run-01","P1","Anode","Kira","manually",-70,-71,1,99.7095782761115
"sub-002","ses-1","run-01","P1","Anode","Network","full-automated",-66.74027187,-57.99866012,38.51675345,96.4450556603338
"sub-002","ses-1","run-01","P1","Cathode1","Kira","manually",-71,-16,44,85.0470458040725
"sub-002","ses-1","run-01","P1","Cathode1","Network","full-automated",-69.70178837,-19.68560723,45.45511872,85.5104101957147
"sub-002","ses-1","run-01","P1","Cathode2","Kira","manually",-73,-75,-1,104.666135879758
"sub-002","ses-1","run-01","P1","Cathode2","Network","full-automated",-64.58609831,-72.70062007,2.90659219,97.28922104545
"sub-002","ses-1","run-01","P1","Cathode3","Kira","manually",-54,-82,60,115.06519890914
"sub-002","ses-1","run-01","P1","Cathode3","Network","full-automated",-47.63470531,-76.74240716,64.76637712,111.144706630284
"sub-002","ses-1","run-02","P1","Anode","Kira","manually",-75,-61,38,103.874924789383
"sub-002","ses-1","run-02","P1","Anode","Network","full-automated",-66.23449729,-58.53528831,38.98926422,96.6103065578969
"sub-002","ses-1","run-02","P1","Cathode1","Kira","manually",-73,-21,46,88.8031530971733
"sub-002","ses-1","run-02","P1","Cathode1","Network","full-automated",-69.12135367,-20.64164138,46.04631921,85.5809698754517
"sub-002","ses-1","run-02","P1","Cathode2","Kira","manually",-73,-75,2,104.680466181614
"sub-002","ses-1","run-02","P1","Cathode2","Network","full-automated",-64.01761753,-73.02609138,3.20898271,97.1666761111573
"sub-002","ses-1","run-02","P1","Cathode3","Kira","manually",-54,-83,65,118.448300958688
"sub-002","ses-1","run-02","P1","Cathode3","Network","full-automated",-47.24860703,-77.37346003,65.01191593,111.559994604602
"sub-002","ses-2","run-01","P1","Anode","Kira","manually",-69,-46,64,104.752088284673
"sub-002","ses-2","run-01","P1","Anode","Network","full-automated",-59.81122727,-41.29073649,65.6585721,97.9456784020669
"sub-002","ses-2","run-01","P1","Cathode1","Kira","manually",-65,-4,67,93.4344690143846
"sub-002","ses-2","run-01","P1","Cathode1","Network","full-automated",-54.80794521,-2.99152703,68.82098415,88.0294720618506
"sub-002","ses-2","run-01","P1","Cathode2","Kira","manually",-76,-56,26,97.9183333191492
"sub-002","ses-2","run-01","P1","Cathode2","Network","full-automated",-68.35484819,-56.38940005,29.56570044,93.4145617748363
"sub-002","ses-2","run-01","P1","Cathode3","Kira","manually",-49,-69,84,119.239255281136
"sub-002","ses-2","run-01","P1","Cathode3","Network","full-automated",-38.33229671,-62.86144612,85.2407114,112.636163195216
"sub-002","ses-2","run-02","P1","Anode","Kira","manually",-68,-45,64,103.658091821141
"sub-002","ses-2","run-02","P1","Anode","Network","full-automated",-58.79991662,-41.44800975,64.91287383,96.8971046813296
"sub-002","ses-2","run-02","P1","Cathode1","Kira","manually",-64,-6,66,92.1303424502482
"sub-002","ses-2","run-02","P1","Cathode1","Network","full-automated",-54.33119529,-2.95858264,66.85556299,86.1991780447336
"sub-002","ses-2","run-02","P1","Cathode2","Kira","manually",-75,-57,27,97.9948978263665
"sub-002","ses-2","run-02","P1","Cathode2","Network","full-automated",-68.05157968,-56.93894032,28.86881733,93.308461758518
"sub-002","ses-2","run-02","P1","Cathode3","Kira","manually",-42,-65,84,114.214710085873
"sub-002","ses-2","run-02","P1","Cathode3","Network","full-automated",-37.45585792,-63.08015638,84.26803833,111.728016653993
"sub-002","ses-3","run-01","P1","Anode","Kira","manually",-69,-44,66,105.133248784578
"sub-002","ses-3","run-01","P1","Anode","Network","full-automated",-60.8193777,-42.02868429,65.55877017,98.8097128483158
"sub-002","ses-3","run-01","P1","Cathode1","Kira","manually",-61,-4,68,91.438503924769
"sub-002","ses-3","run-01","P1","Cathode1","Network","full-automated",-57.27853793,-3.02956454,66.90303172,88.1250521817026
"sub-002","ses-3","run-01","P1","Cathode2","Kira","manually",-87,-70,35,117.021365570566
"sub-002","ses-3","run-01","P1","Cathode2","Network","full-automated",-67.38576962,-58.27034091,32.17498683,94.7180254996799
"sub-002","ses-3","run-01","P1","Cathode3","Kira","manually",-43,-63,89,117.213480453402
"sub-002","ses-3","run-01","P1","Cathode3","Network","full-automated",-36.09547495,-61.0712798,87.49046351,112.637319452616
"sub-002","ses-3","run-02","P1","Anode","Kira","manually",-68,-45,64,103.658091821141
"sub-002","ses-3","run-02","P1","Anode","Network","full-automated",-60.55431705,-43.40492223,66.22561713,99.6827214287091
"sub-002","ses-3","run-02","P1","Cathode1","Kira","manually",-63,-3,70,94.2231394085338
"sub-002","ses-3","run-02","P1","Cathode1","Network","full-automated",-56.92874573,-4.1568769,68.23898261,88.9647147109495
"sub-002","ses-3","run-02","P1","Cathode2","Kira","manually",-68,-62,28,96.1873172512884
"sub-002","ses-3","run-02","P1","Cathode2","Network","full-automated",-67.28104113,-59.00792348,32.45146541,95.1933355661767
"sub-002","ses-3","run-02","P1","Cathode3","Kira","manually",-69,-45,64,104.316825105062
"sub-002","ses-3","run-02","P1","Cathode3","Network","full-automated",-35.86020708,-62.59518125,87.37973439,113.310763608793
"sub-002","ses-4","run-01","P1","Anode","Kira","manually",69,-79,-15,105.95753866526
"sub-002","ses-4","run-01","P1","Cathode1","Kira","manually",70,-70,40,106.770782520313
"sub-002","ses-4","run-01","P1","Cathode2","Kira","manually",70,-70,40,106.770782520313
"sub-002","ses-4","run-01","P1","Cathode3","Kira","manually",70,-70,40,106.770782520313
"sub-002","ses-4","run-02","P1","Anode","Kira","manually",82,-63,9,103.79788051786
"sub-002","ses-4","run-02","P1","Cathode1","Kira","manually",78,-72,40,113.437207299898
"sub-002","ses-4","run-02","P1","Cathode2","Kira","manually",68,-81,-17,107.116758726168
"sub-002","ses-4","run-02","P1","Cathode3","Kira","manually",78,-72,40,113.437207299898
"sub-003","ses-1","run-01","P3","Anode","Kira","manually",-76,-53,47,103.894176930182
"sub-003","ses-1","run-01","P3","Anode","Network","full-automated",-67.93335777,-53.36093983,46.54873487,98.1280577380662
"sub-003","ses-1","run-01","P3","Cathode1","Kira","manually",-76,-13,51,92.4445779913565
"sub-003","ses-1","run-01","P3","Cathode1","Network","full-automated",-69.55392294,-14.31228276,49.78732654,86.7258180598271
"sub-003","ses-1","run-01","P3","Cathode2","Kira","manually",-74,-66,11,99.7647232241938
"sub-003","ses-1","run-01","P3","Cathode2","Network","full-automated",-66.99229072,-66.38925941,11.43964171,95.0071901667155
"sub-003","ses-1","run-01","P3","Cathode3","Kira","manually",-60,-73,76,121.264174429219
"sub-003","ses-1","run-01","P3","Cathode3","Network","full-automated",-52.18208749,-71.73630436,75.51196367,116.49516846352
"sub-003","ses-1","run-02","P3","Anode","Kira","manually",-77,-53,76,120.474063598768
"sub-003","ses-1","run-02","P3","Anode","Network","full-automated",-68.13279209,-54.46076453,47.22355898,99.1872812103891
"sub-003","ses-1","run-02","P3","Cathode1","Kira","manually",-77,-14,51,93.413061185254
"sub-003","ses-1","run-02","P3","Cathode1","Network","full-automated",-69.61705643,-15.38495067,51.03352505,87.6792559966445
"sub-003","ses-1","run-02","P3","Cathode2","Kira","manually",-73,-66,11,99.025249305417
"sub-003","ses-1","run-02","P3","Cathode2","Network","full-automated",-66.83437019,-67.03257294,11.99801805,95.4156764414449
"sub-003","ses-1","run-02","P3","Cathode3","Kira","manually",-61,-75,76,122.971541423209
"sub-003","ses-1","run-02","P3","Cathode3","Network","full-automated",-52.48668282,-73.06515576,76.1433755,117.86086073084
"sub-003","ses-2","run-01","P3","Anode","Kira","manually",-76,-48,53,104.35037134577
"sub-003","ses-2","run-01","P3","Anode","Network","full-automated",-67.49771751,-48.80222562,52.57225794,98.4958953430803
"sub-003","ses-2","run-01","P3","Cathode1","Kira","manually",-77,-7,59,97.257390464684
"sub-003","ses-2","run-01","P3","Cathode1","Network","full-automated",-66.6214132,-10.28326721,57.66286136,88.7083077366487
"sub-003","ses-2","run-01","P3","Cathode2","Kira","manually",-77,-60,17,99.0858213873206
"sub-003","ses-2","run-01","P3","Cathode2","Network","full-automated",-68.79938906,-60.65178049,15.79549403,93.0671372896371
"sub-003","ses-2","run-01","P3","Cathode3","Kira","manually",-55,-66,81,118.07624655281
"sub-003","ses-2","run-01","P3","Cathode3","Network","full-automated",-49.73049942,-67.55168449,79.45176528,115.537594124628
"sub-003","ses-2","run-02","P3","Anode","Kira","manually",-75,-49,52,103.585713300628
"sub-003","ses-2","run-02","P3","Anode","Network","full-automated",-66.39527782,-49.07008495,52.28663063,97.724602308903
