subject,session,run,anode_mni,cathode1_mni,cathode2_mni,cathode3_mni
sub-023,ses-4,run-02,[-69.36713645 -75.03261968  32.81239456],[-66.25602538 -60.80879865  69.30381302],[-65.91206043 -21.91478995  73.4256117 ],[-42.31815682 -75.91701462  91.14149884]
sub-023,ses-2,run-01,[-66.99405192 -75.83452879  22.77070353],[-63.10827071 -22.59665569  62.27761383],[-61.36783026 -61.71914557  58.87851011],[-36.82487783 -75.45291691  78.27562443]
sub-023,ses-2,run-02,[-65.96633471 -75.99638478  22.21302794],[-60.51756153 -22.26892212  60.70851843],[-59.32804126 -61.55714921  58.21304231],[-34.89516855 -75.12527123  76.33548245]
sub-023,ses-1,run-01,[-66.00098852 -73.59804408  35.37199418],[-60.21691167 -52.8541436   65.31259462],[-63.17363347 -14.54022371  61.85798442],[-31.96717822 -62.63883537  85.38013247]
sub-023,ses-1,run-02,[-65.4376654  -73.36061243  34.63847354],[-58.82361365 -52.51627451  64.36371293],[-61.7393776  -14.04167885  60.30358781],[-30.29559553 -61.91221415  83.96852018]
sub-023,ses-3,run-01,[-67.83658808 -73.3105693   25.0943571 ],[-62.82334342 -58.14150587  60.2615418 ],[-63.8631332  -19.01183819  61.24050387],[-38.33775375 -71.39585076  80.43129237]
sub-023,ses-3,run-02,[-67.10136363 -73.52538431  25.01206044],[-61.50381118 -58.66948149  60.32088674],[-61.7411668  -19.48596599  62.05536536],[-36.95129113 -72.08086585  79.93774034]
sub-049,ses-4,run-01,[-71.86763555 -49.78925051  36.99866544],[-68.37982981 -58.58315491  -0.51353416],[-67.53424415 -11.23691698  44.76330355],[-59.00220523 -73.25344587  62.74737395]
sub-049,ses-4,run-02,[-71.32286714 -50.39244114  36.84003725],[-67.96413953 -59.50804819  -0.10933077],[-66.78362697 -11.16632259  44.03876512],[-58.34374055 -73.52059425  62.15877065]
sub-049,ses-2,run-01,[-70.93876388 -49.46370994  49.92737985],[-65.7598645  -16.09039902  57.9073108 ],[-69.66128973 -61.16768272  16.46767688],[-55.41840383 -69.42617514  71.75980752]
sub-049,ses-3,run-01,[-68.27546904 -62.9215453   12.3580134 ],[-70.88218229 -49.75132438  48.37312552],[-65.10218287  -9.61057947  53.08170458],[-55.08648754 -67.66908881  73.10000327]
sub-049,ses-3,run-02,[-68.18858671 -63.6866409   12.64044486],[-70.78158286 -50.25160424  48.52042251],[-64.7812093  -10.09041198  53.64130185],[-55.25453959 -68.91668267  73.32248063]
sub-006,ses-4,run-01,[ 59.43101904 -89.09680255  25.43644333],[ 67.05404124 -65.12040966 -21.05261587],[ 70.83081489 -67.47259848   8.68968241],[ 76.62122155 -42.22838001  20.89714519]
sub-006,ses-4,run-02,[ 59.70466706 -90.10435884  25.28753805],[ 67.45551587 -66.04776119 -21.03661832],[ 71.52062005 -68.06840642   8.74395078],[ 76.88080301 -43.58272989  21.18434272]
sub-006,ses-2,run-01,[ 62.60150676 -85.03943993  24.77196636],[ 63.51619983 -69.03395051 -23.62318568],[ 71.49545724 -66.60494697   6.76877169],[ 76.97268498 -41.83470656  16.56293558]
sub-006,ses-2,run-02,[ 62.46649545 -85.530839    24.43415381],[ 63.50298431 -68.5946813  -23.20624468],[ 71.40604205 -66.90619192   6.75328034],[ 76.76135172 -42.13850828  16.4598054 ]
