subject,session,run,anode_mni,cathode1_mni,cathode2_mni,cathode3_mni
sub-014,ses-2,run-01,[-78.93588776 -23.20765343  43.20900997],[-76.64960621 -57.54251753  36.46236801],[-74.74967273 -65.11682429   3.80366195],[-60.92683908 -74.1761778   57.70165751]
sub-014,ses-2,run-02,[-78.82306973 -23.69831356  43.48378638],[-76.61121187 -58.20644336  36.96989439],[-74.54940227 -65.92181689   4.12746575],[-61.09943684 -74.67813935  58.39217908]
sub-014,ses-3,run-01,[-79.3194281  -13.90053387  35.81723473],[-73.37186423 -68.22451069  -2.29352831],[-77.0013782  -55.22499757  33.62897931],[-59.30683803 -71.78663897  62.18428864]
sub-014,ses-3,run-02,[-78.39703264 -14.4218477   36.01624115],[-73.10701009 -68.62310437  -2.03353912],[-76.53067236 -55.62835818  34.03080465],[-58.93829732 -72.15461365  62.26561709]
sub-060,ses-4,run-01,[27.23422534 46.33828149 76.36955915],[48.94009099 -9.74151985 82.64286928],[54.65229785 24.53008186 66.72767597],[69.16201359 26.40902457 30.42551018]
sub-060,ses-4,run-02,[26.66517658 44.70502592 77.33255751],[ 49.04913133 -11.12414629  82.92189999],[54.88535385 23.17312284 67.26683993],[69.65364081 25.12362082 30.79337992]
sub-060,ses-2,run-01,[32.98707169 52.08134678 70.54451194],[ 52.6132887  -10.89982187  77.63995434],[58.1872767  25.27884157 62.07316451],[71.48230284 26.70811564 26.39366859]
sub-060,ses-2,run-02,[34.1475747  50.6158295  72.79182433],[ 54.48192385 -12.50642844  78.95910668],[59.01716685 23.68732601 64.33315732],[71.9359173  26.16119247 28.08149922]
sub-060,ses-1,run-01,[29.60097887 54.65770169 67.64918361],[51.83207414 -5.47462742 77.13392901],[56.22265911 29.08026214 60.1936394 ],[68.96979313 29.44230401 24.89996875]
sub-060,ses-1,run-02,[29.35853737 54.43430434 68.66199765],[52.1610938  -5.74724313 78.40088479],[56.16102809 28.98016246 61.05328779],[68.64159192 29.27287614 25.75969465]
sub-060,ses-3,run-01,[27.75098022 59.71988293 65.55696189],[48.61895067 -1.25988351 80.03511766],[53.22026804 33.55362041 62.20863652],[68.21090298 31.87127736 26.69575877]
sub-060,ses-3,run-02,[27.49349876 57.45390672 67.11498139],[48.51479173 -3.41061749 80.70122367],[53.26093677 31.3124219  63.32267018],[68.3309239  29.93074495 28.11069924]
sub-034,ses-4,run-01,[ 8.81861054 64.92433861 66.07740226],[35.17968281 14.1659022  92.31286104],[38.88838728 45.90858655 69.81124046],[60.14823141 43.85376058 36.65658246]
sub-034,ses-4,run-02,[ 8.75675044 63.58917647 66.92331521],[35.72717057 13.14151857 92.62931785],[38.96883639 44.90397039 70.46221337],[60.23907983 42.93414319 37.3179399 ]
sub-034,ses-2,run-01,[13.0098771  65.83885902 62.4743794 ],[41.73602796 16.35824509 86.88141067],[44.29506738 46.43862105 64.00934187],[62.3185007  41.1901106  30.92632771]
sub-034,ses-2,run-02,[12.62195364 64.67573228 62.76190541],[41.34639765 15.3734654  87.06963666],[43.93664586 45.32575586 64.50181916],[62.11654976 40.28418142 31.30083059]
sub-034,ses-1,run-01,[12.36965394 66.70631425 61.65720386],[34.17877148 14.15326437 88.63810455],[40.66232504 46.19582684 67.48624308],[61.9192717  40.63704678 37.17768543]
sub-034,ses-1,run-02,[ 9.76676704 64.33272237 63.20355976],[31.98667381 11.60185687 89.3347636 ],[37.91789934 44.29310979 68.9376555 ],[59.66457132 39.31568989 38.73648033]
sub-034,ses-3,run-01,[19.53568516 64.28335313 62.76589526],[41.36432702  8.9531353  85.22626571],[47.83647986 41.06258667 63.87425472],[65.07576327 34.85068071 30.69724658]
sub-034,ses-3,run-02,[19.00829411 62.9663101  63.86142604],[40.67168435  7.278063   85.52516045],[47.38156604 39.80092726 64.72328319],[64.98344539 33.97995319 31.64065046]
sub-005,ses-4,run-01,[29.02641913 33.68159164 76.64587512],[ 47.54976755 -29.43597575  81.28948364],[55.5989527   7.5126781  67.65521468],[69.30240687 10.2643983  34.0262562 ]
sub-005,ses-4,run-02,[29.36080467 31.0710031  79.84189942],[ 48.10520847 -31.69163565  83.06456995],[56.02298894  5.63443713 70.06643132],[69.42414438  9.00802093 36.38578234]
sub-005,ses-2,run-01,[28.82017938 43.01780993 68.27015769],[ 44.13341194 -16.22448105  83.95307231],[54.08004681 14.75404741 65.84951323],[69.15709262 11.02663723 31.93537436]
sub-005,ses-2,run-02,[29.04962599 42.46071171 68.85011219],[ 44.41476468 -16.83531071  84.77676139],[54.47438488 14.02994966 66.66340771],[69.6600405  10.57806154 32.28240377]
sub-005,ses-1,run-01,[23.83011249 40.30975329 73.27157694],[ 52.27885884 -33.39755416  76.41854155],[58.4035069  13.02306302 61.17739075],[69.52260621 19.77502647 18.14634741]
sub-005,ses-1,run-02,[22.9350219  40.1416683  72.78033275],[ 51.47685314 -33.36089569  76.5649103 ],[57.84167417 13.0541423  60.947871  ],[68.98138699 19.61465287 17.85407365]
sub-005,ses-3,run-01,[38.91296273 37.65320402 67.05184867],[ 53.31534316 -27.39576859  75.09567141],[61.72320248  5.86933077 59.77982591],[72.79093324  3.93915572 22.90927772]
sub-005,ses-3,run-02,[37.94888975 36.10556439 68.90828734],[ 52.39927974 -28.01324897  76.33285661],[60.82460249  5.16879072 61.07796076],[71.83747095  4.1805829  23.07267675]
sub-048,ses-4,run-01,[-70.57351507 -63.5589842    6.28204804],[-72.51277161 -55.51616108  42.12407848],[-72.42967697 -17.27581953  51.78903325],[-53.88905479 -77.83078841  65.49936583]
sub-048,ses-4,run-02,[-70.43235267 -64.39958979   6.12796327],[-72.27851829 -56.22695647  42.68745283],[-71.96609967 -17.95980275  52.22311593],[-54.06533672 -79.07092108  65.36733311]
sub-048,ses-2,run-01,[-71.73017415 -61.11142532  10.37507088],[-71.86320179 -52.70868097  46.34947519],[-69.55003356 -12.49572069  56.81653254],[-53.61190006 -74.92432892  67.54178396]
sub-048,ses-2,run-02,[-71.65522042 -61.49721096   7.89719531],[-71.80732413 -53.55120612  45.14967754],[-69.30093327 -13.6309069   56.81162361],[-53.84957942 -76.99695164  65.4497843 ]
sub-048,ses-1,run-01,[-71.52398556 -49.7423592   50.42197615],[-70.75726188 -64.37626236  15.64179994],[-71.01679793 -10.0193219   53.26633563],[-52.13253272 -65.93350572  76.72484165]
sub-048,ses-1,run-02,[-70.20336664 -64.62894652  15.42956327],[-70.65949977 -49.95208895  50.19523992],[-69.90476044 -10.22315924  53.58873328],[-51.21439378 -66.60484748  76.39632658]
sub-048,ses-3,run-01,[-68.97985278 -67.81530971   6.85457893],[-71.21843836 -59.10356616  43.5901568 ],[-71.97088667 -20.59940736  52.253194  ],[-51.81901506 -78.19795898  66.71175014]
sub-048,ses-3,run-02,[-68.6392619  -68.13702348   6.4685331 ],[-70.99677282 -59.46383697  43.64117891],[-71.4997902  -21.06570046  52.56002359],[-51.78510921 -78.88045506  66.80778768]
sub-054,ses-4,run-01,[ 64.96513432 -72.53179767  31.42341699],[ 70.56837561 -56.42889159 -17.38252428],[ 73.05512977 -53.35173594  13.5269486 ],[ 73.76231621 -25.23556461  21.13928333]
sub-054,ses-4,run-02,[ 64.97803924 -74.09469206  30.18619978],[ 70.22144326 -58.14072546 -17.9912412 ],[ 72.87882613 -54.52011701  11.97358655],[ 73.52997846 -26.73606352  19.28767376]
sub-054,ses-1,run-01,[ 62.96225444 -74.72034284  38.76933679],[ 68.48528485 -66.67993724 -12.53641281],[ 71.7171426  -58.28908593  16.52404912],[ 74.2941157  -29.56147876  21.30176672]
sub-054,ses-1,run-02,[ 62.96604195 -75.38675011  38.84576296],[ 68.15030007 -67.3701893  -12.25850677],[ 71.21682256 -59.10084945  16.25131554],[ 74.00221629 -30.48388089  21.4116188 ]
sub-054,ses-3,run-01,[ 64.88592415 -74.38147647  27.64870754],[ 68.03667842 -62.46034965 -24.27620844],[ 72.6711092  -55.2513678    8.07583766],[ 74.47455911 -28.40367786  13.12047126]
sub-054,ses-3,run-02,[ 64.97058933 -75.42232289  27.53099369],[ 68.60609048 -62.63514539 -23.73264949],[ 72.98978973 -55.89464516   8.13916256],[ 74.83675919 -29.29312587  13.5948404 ]
sub-052,ses-4,run-01,[-68.04744245 -52.979603    16.45926098],[-67.73071672 -37.09099918  51.67272302],[-64.17289028   1.69668013  53.2652658 ],[-47.91997281 -53.65194146  75.48561691]
sub-052,ses-4,run-02,[-68.76170907 -54.21894184  16.42212138],[-68.05726331 -38.6033115   52.02580299],[-64.76965285   0.13077455  54.09187323],[-48.18846888 -55.21373501  75.68464182]
sub-052,ses-2,run-01,[-70.32964656 -41.14968906  41.84445003],[-68.69605006  -3.77233427  46.18347967],[-70.08932133 -53.68892016   3.16863687],[-53.66653702 -60.11532306  68.25184364]
sub-052,ses-2,run-02,[-70.00275601 -41.43349876  41.84542448],[-67.9582892   -4.21155282  46.2835245 ],[-69.92208536 -53.79593413   2.88510018],[-53.53971666 -60.66723675  67.93797673]
sub-052,ses-3,run-01,[-69.91259882 -49.63896428  12.71408123],[-70.12748995 -33.01154615  48.14234871],[-66.39011457   5.86797343  45.63512208],[-52.95704882 -48.27118735  75.33312465]
sub-052,ses-3,run-02,[-69.75158909 -50.30313417  12.40850659],[-69.67027394 -33.87368688  49.14208612],[-65.70876665   5.36761569  45.11130847],[-52.08992077 -49.61189178  75.60511985]
sub-036,ses-4,run-01,[34.1948792  60.39086729 67.91798635],[52.0432536   6.67892017 78.08472266],[56.65810607 37.69082151 63.2189523 ],[71.14776623 37.88509796 32.77318539]
sub-036,ses-4,run-02,[33.7475536  60.06163271 67.22031171],[51.47805795  6.09058254 77.85260752],[56.22634713 37.23668361 62.84697373],[71.4845001  36.92337783 32.22388047]
sub-036,ses-2,run-01,[27.90638953 54.00405595 76.77667594],[48.18921791 -3.08406232 83.00609244],[55.89886111 31.24295186 68.44252385],[72.81728656 32.90446617 33.80237123]
sub-036,ses-2,run-02,[27.22677004 52.36888718 78.14511775],[47.8594763  -4.77787861 83.22840512],[55.52869395 30.00795062 69.19820863],[72.16632217 31.90762155 34.87380031]
sub-044,ses-4,run-01,[ 71.52988938 -72.21586548   6.90876037],[ 69.143664   -56.24620397 -45.87072488],[ 77.82202329 -53.60763814 -15.05717072],[ 80.90046076 -27.69056075  -7.28071459]
sub-044,ses-4,run-02,[ 71.92394856 -72.76285118   6.82723263],[ 69.24733305 -57.74740572 -44.85355561],[ 77.87772806 -54.44554217 -15.05045655],[ 80.48176527 -28.59930634  -6.75287779]
sub-044,ses-2,run-01,[ 73.58264814 -66.3335455   -3.84371458],[ 70.14010356 -47.6859964  -54.07418444],[ 77.61285821 -45.05841938 -22.8252426 ],[ 79.95195723 -18.8274765  -12.40973738]
sub-044,ses-2,run-02,[ 73.85072658 -67.2304548   -3.68938259],[ 69.35287787 -48.42752638 -53.52321094],[ 77.4853826  -45.57027169 -22.31510957],[ 79.66107298 -19.42004878 -12.52807197]
sub-044,ses-1,run-01,[ 73.95105873 -64.79082304   5.36999792],[ 71.50572338 -49.36871202 -43.12740734],[ 78.80149707 -44.76346425 -13.41923205],[ 80.45961944 -17.06631931  -5.30633446]
sub-044,ses-1,run-02,[ 73.97291    -65.51577597   5.82545736],[ 71.78340652 -50.03418904 -42.48285551],[ 78.82610023 -45.19741939 -13.02129754],[ 80.36666255 -17.57461379  -4.67120771]
sub-044,ses-3,run-01,[ 75.73571041 -64.77149946  12.05829676],[ 74.99184131 -50.8732576  -37.37889159],[ 80.81047414 -44.70965074  -8.19591472],[ 81.85879928 -19.08238304  -0.25521458]
sub-044,ses-3,run-02,[ 77.31102704 -64.45238991  14.26787732],[ 75.35425927 -54.53178957 -36.01197552],[ 83.09072731 -46.08026741  -2.53878143],[ 82.72569214 -21.19041933   1.10273265]
sub-012,ses-4,run-01,[-71.94218493 -58.52638495  19.74281131],[-66.38104961 -45.20298599  55.27257778],[-64.3443583   -6.03738505  60.6127967 ],[-44.87677014 -64.67917489  75.78509892]
sub-012,ses-4,run-02,[-72.4693214  -59.20475333  19.87585481],[-66.49316599 -45.76636987  55.70378052],[-64.74917589  -6.52491083  61.34327441],[-44.9449792  -65.20905252  75.85222498]
sub-012,ses-2,run-01,[-71.46761364 -56.02210287  35.75585468],[-72.86698253 -22.21349022  44.53142063],[-70.26832983 -62.95693509   2.40157472],[-57.91545416 -75.80823247  57.9291839 ]
sub-012,ses-2,run-02,[-71.53613758 -56.54669602  35.53661783],[-72.57404233 -22.94475998  44.51197276],[-70.33872351 -63.47927382   1.95759812],[-57.96775208 -76.36175202  57.59154557]
sub-012,ses-3,run-01,[-71.66859371 -22.46741048  47.83868651],[-68.53358287 -64.36184485  -1.85777861],[-70.10897227 -59.2060715   36.68452981],[-51.92011904 -80.36359137  61.2457732 ]
sub-056,ses-4,run-01,[ 72.13098941 -76.54602373  28.88602236],[ 75.67428491 -50.17643894 -14.3333523 ],[ 79.0476872  -50.95369061  15.32706222],[ 78.78676092 -27.45243554  31.20336748]
sub-056,ses-4,run-02,[ 72.4163477  -78.05987622  29.51582282],[ 76.42600491 -51.39819424 -13.05289486],[ 79.3914427  -52.21952262  16.34938793],[ 79.06425189 -29.13284667  32.48088583]
sub-056,ses-2,run-01,[ 71.79152023 -55.04979692 -27.38829992],[ 73.31458898 -71.49413151  19.66680548],[ 77.90646656 -49.95789815   1.77087513],[ 80.16693191 -23.098713    12.2815423 ]
sub-056,ses-2,run-02,[ 71.67969337 -55.03983834 -26.83896302],[ 73.46362668 -71.94550036  20.1465904 ],[ 77.98314251 -50.38004389   2.52470504],[ 79.92095582 -23.53778162  13.15246342]
sub-056,ses-1,run-01,[ 69.51193014 -57.70215858 -34.28891143],[ 70.16426226 -78.55450649  10.15494707],[ 76.54888682 -55.85230326  -5.396507  ],[ 79.32678622 -30.23401882   7.3212524 ]
sub-056,ses-1,run-02,[ 69.79335617 -58.02161514 -33.95126843],[ 70.39114814 -78.60720268  10.36829549],[ 76.91089518 -56.07044727  -5.06890764],[ 79.20298265 -31.19280579   7.64828182]
sub-056,ses-3,run-01,[ 72.69883583 -73.44553398  19.83173063],[ 73.03814473 -53.22622312 -25.3054902 ],[ 78.66640371 -49.35473188   3.91604442],[ 79.85268102 -24.76922711  16.14666979]
sub-056,ses-3,run-02,[ 72.945624   -73.59481694  19.85242448],[ 73.70142247 -53.49475139 -25.59205895],[ 78.73867601 -50.16556893   3.7256537 ],[ 79.73143925 -25.34820083  16.51830078]
sub-018,ses-4,run-01,[ 66.71194908 -79.53797028  16.1824106 ],[ 73.39281122 -59.72956922 -31.60461958],[ 7.61644109e+01 -5.88897954e+01 -3.72193035e-02],[ 79.56830104 -33.35216674   9.74508208]
sub-018,ses-4,run-02,[ 66.3401679  -81.5531544   16.22519669],[ 73.19275868 -60.40606715 -30.79278269],[ 76.00166011 -60.00364013   0.4579648 ],[ 79.25985611 -34.77518099  10.82426356]
sub-018,ses-2,run-01,[ 66.24665148 -79.83074041  20.70050284],[ 73.49187191 -59.60138036 -26.60803214],[ 75.18194237 -57.28398914   2.98101309],[ 77.85795396 -30.8016101   13.34054324]
sub-018,ses-2,run-02,[ 65.36417761 -79.93342331  20.58961819],[ 72.26391475 -59.44560854 -26.82515103],[ 73.89515678 -57.13347065   2.97208871],[ 76.11675446 -30.79340557  13.59700136]
sub-018,ses-3,run-01,[ 69.37505418 -78.17864434   3.07176649],[ 71.37629066 -60.8877351  -43.5540993 ],[ 76.55279189 -56.14945704 -15.91980901],[ 79.29378862 -29.49395382  -5.59663105]
sub-018,ses-3,run-02,[ 69.37579795 -78.95307877   3.20389557],[ 71.46164203 -60.39603463 -43.68525651],[ 76.60856339 -56.97978825 -15.44833254],[ 79.1342465  -30.32642032  -5.10055321]
sub-055,ses-4,run-01,[ 65.29945165 -76.3073379   43.01651079],[ 72.88528295 -59.38971335  -4.73409019],[ 74.32708738 -55.38452956  25.02333507],[ 75.9325677  -28.25218551  34.58907409]
sub-055,ses-4,run-02,[ 65.74736772 -77.96174238  43.1706569 ],[ 73.23995086 -61.16206528  -4.36357851],[ 74.82154528 -56.50504783  25.26516003],[ 76.09307394 -30.42408516  34.58184622]
sub-055,ses-2,run-01,[ 66.18120528 -74.27468051  36.93786881],[ 70.62897951 -55.0267178  -12.55735034],[ 74.61465749 -52.57261196  20.59402199],[ 75.48152582 -28.44392988  31.48340465]
sub-055,ses-2,run-02,[ 66.32468696 -75.45071022  36.90318739],[ 70.8555986  -57.57202075 -11.70662884],[ 74.87247992 -53.53354844  20.59216313],[ 75.78722146 -29.36565021  31.56103576]
sub-055,ses-1,run-01,[ 66.22043661 -72.38656142  43.74068535],[ 72.44887926 -57.09124133  -4.99419067],[ 74.52188686 -52.21301015  24.89262641],[ 74.92185986 -25.75373652  33.07155474]
sub-055,ses-1,run-02,[ 66.29913104 -73.75995658  43.78319911],[ 73.04248636 -58.41593574  -3.81124211],[ 74.8684465  -53.40658424  25.13258443],[ 75.29457625 -27.2120189   33.44366867]
sub-055,ses-3,run-01,[ 64.84291537 -75.3150641   45.73848905],[ 71.24971175 -58.70165002  -3.32028528],[ 73.38956499 -55.67625053  27.25140763],[ 75.20139244 -28.02046471  36.25821153]
sub-055,ses-3,run-02,[ 65.06563571 -76.86418047  45.66597615],[ 71.31323552 -60.7851531   -2.32183237],[ 73.59695274 -56.97040844  27.65462408],[ 75.03804167 -29.34998307  36.72335922]
sub-010,ses-4,run-01,[32.19253791 52.04326734 62.86031485],[51.59530552 -7.30680033 76.19531181],[57.66851864 24.94483665 57.41660003],[67.52356433 20.65288958 22.69143699]
sub-010,ses-4,run-02,[32.40945089 51.33375084 64.68724495],[52.15376019 -7.89284761 77.03700933],[57.9810054  24.46472741 58.45970072],[67.44219418 20.64546322 24.08363644]
sub-010,ses-2,run-01,[31.90997148 49.73722212 65.72083259],[48.18268578 -8.23266163 80.41023056],[56.48832293 23.02641237 60.5749135 ],[67.8655035  18.63487476 24.13018886]
sub-010,ses-2,run-02,[32.89424888 48.14567333 67.47169936],[48.87500816 -9.74513794 81.07137648],[57.35513313 21.61018042 61.82540918],[68.6637398  18.00308391 25.62134593]
sub-010,ses-1,run-01,[35.89013445 40.53632729 70.3460006 ],[ 58.92453541 -17.06322854  71.19329326],[60.98056379 16.95367158 56.31998683],[69.07894915 16.31434878 18.28832225]
sub-010,ses-1,run-02,[36.25848773 38.01753591 74.81893451],[ 58.98288875 -17.62152882  72.61528246],[61.16459183 16.31686803 58.43902201],[69.73412734 15.35091162 19.92882284]
sub-010,ses-3,run-01,[28.36876323 56.17018698 60.92470277],[49.96651271 -3.16522285 77.50154803],[54.37944884 30.1556951  57.83835214],[66.45739615 25.57572465 22.68027597]
sub-010,ses-3,run-02,[28.11949593 55.02341302 63.05766194],[49.69847873 -4.02242272 79.08116344],[54.04521231 29.34093041 59.61244104],[66.09920587 25.24607721 25.03894325]
sub-029,ses-4,run-01,[28.79459016 53.61319263 65.7206375 ],[52.3200933  -5.96991378 76.35518209],[55.23614013 28.9544476  57.72841299],[66.89100266 27.91547754 20.85288451]
sub-029,ses-4,run-02,[27.82585809 51.06979484 68.70220716],[52.4212094  -8.28118518 77.39062424],[54.60254707 26.88143348 59.76039449],[66.76160389 26.30746172 23.01752403]
sub-029,ses-2,run-01,[34.39455781 51.2999408  65.07258284],[48.66800924 -3.10561933 79.4917635 ],[54.3374148  25.93700971 61.8285873 ],[68.939561   22.42549829 31.92144116]
sub-029,ses-2,run-02,[33.84451836 50.70136868 65.96772495],[48.44906177 -3.77662687 80.28016597],[53.85350789 25.34595974 62.65685451],[68.53850282 21.911201   32.53481902]
sub-029,ses-1,run-01,[32.27382624 52.149015   65.04702275],[49.70529394 -8.32079961 78.57088816],[56.14758993 24.62624424 58.81495743],[68.62362323 23.27562095 21.79781222]
sub-029,ses-1,run-02,[33.39501895 49.96459351 68.22826183],[ 50.62004703 -11.10085782  79.90953201],[57.06796285 22.29911167 61.34498729],[69.63420168 21.03982035 24.89711673]
sub-029,ses-3,run-01,[34.20517175 56.64232386 60.28147167],[49.79735338 -0.38229215 77.45493971],[58.11861301 27.92783712 54.43934128],[69.75044992 20.52468301 18.47704775]
sub-029,ses-3,run-02,[33.49815282 55.11372889 61.41420563],[49.13516508 -1.80492564 78.34797478],[57.72362132 26.61911486 55.22842649],[69.55545473 19.45999057 19.3870385 ]
sub-062,ses-4,run-01,[-72.23009486 -52.01119326 -13.27567266],[-73.02869627 -40.07599762  24.34933047],[-67.97876322  -1.54578279  30.44534743],[-60.88802922 -61.40467119  51.801261  ]
sub-062,ses-4,run-02,[-72.00743029 -53.1719256  -11.94687613],[-72.51147394 -41.37498463  25.44305412],[-67.05379469  -3.07485033  32.28359996],[-60.8487661  -63.0426601   52.76140589]
sub-062,ses-2,run-01,[-69.64153387 -62.38270543 -14.14752669],[-72.02111038 -51.44074229  23.04192225],[-71.17003541 -12.42075114  28.00079884],[-56.82285588 -70.33673473  50.76987819]
sub-062,ses-2,run-02,[-69.81021041 -62.82921218 -13.30316398],[-71.70637595 -51.97375359  23.14926446],[-70.46068929 -12.79885628  27.73835761],[-56.2604294  -70.82797675  50.59723564]
sub-062,ses-1,run-01,[-72.07223751 -58.44942846  -3.97083197],[-71.68579884 -46.95157294  32.30049934],[-68.75202987  -6.74818815  32.69894849],[-55.32820345 -62.83567613  59.66159355]
sub-062,ses-1,run-02,[-72.30565923 -58.72707843  -4.41252065],[-72.41520307 -47.99445944  32.80238574],[-68.69041686  -7.91287225  32.93016916],[-56.17030352 -63.3966822   59.97170361]
sub-062,ses-3,run-01,[-72.39961659 -53.97076725   4.0653395 ],[-69.94595858 -40.90357292  39.95237532],[-64.73046389  -1.37019811  40.79668637],[-50.31106842 -57.23323502  64.1035726 ]
sub-062,ses-3,run-02,[-72.10333247 -54.34456494   4.28945597],[-69.38441894 -41.37593918  40.289274  ],[-63.89314554  -1.89646221  41.01268132],[-49.55246318 -58.05074483  64.17731602]
sub-013,ses-2,run-01,[ 62.72132643 -83.95783517  16.99776253],[ 71.19366198 -60.81930824 -28.4238994 ],[ 73.07411065 -60.78038185   1.91865786],[ 77.38835443 -35.9581958   14.05401074]
sub-013,ses-2,run-02,[ 62.06445415 -85.84210816  19.05076185],[ 70.82299928 -62.72494866 -26.2712723 ],[ 72.83560851 -62.64615565   4.05649868],[ 77.23542015 -37.79468063  16.24818342]
sub-013,ses-1,run-01,[ 61.20628506 -85.47988971  27.33214829],[ 68.87515461 -67.85048247 -26.06985898],[ 73.2261913  -60.45847054   6.55120008],[ 77.42943184 -30.74758296  16.81522204]
sub-013,ses-1,run-02,[ 61.35592853 -86.51966433  27.59552819],[ 68.86845144 -68.6047798  -25.33807646],[ 73.29668066 -61.14810363   6.71544427],[ 77.46029362 -31.27703915  17.40577916]
sub-042,ses-4,run-02,[ 63.57170923 -76.90875851   3.71060785],[ 69.9784987  -54.86761551 -41.57902816],[ 74.25534904 -54.60670324 -11.61381918],[ 78.10266317 -32.37520829   1.5800958 ]
sub-042,ses-2,run-01,[ 60.40661158 -82.7540803    0.84322093],[ 67.14359717 -56.65919798 -43.30095751],[ 72.24913919 -60.88198504 -11.85323932],[ 78.34994025 -38.6987656    1.72109929]
sub-042,ses-2,run-02,[ 60.55289881 -84.04428605   0.34339792],[ 67.7244777  -59.04051044 -42.99791955],[ 72.50045053 -62.57059175 -12.58614665],[ 78.24026942 -40.36688845   1.47792393]
sub-042,ses-1,run-01,[ 64.23361772 -77.37552114  11.83085358],[ 67.75173049 -53.29456585 -44.03492337],[ 75.23194676 -52.00581992  -8.71826844],[ 79.5780568  -23.54563911   5.63038953]
sub-042,ses-1,run-02,[ 64.71420535 -78.70586196  11.5454563 ],[ 67.75114912 -54.00366663 -44.07409272],[ 75.34496996 -53.32270861  -9.27387449],[ 79.46113255 -24.66323924   6.08077695]
sub-042,ses-3,run-01,[ 63.75637862 -78.23041283   5.15948535],[ 67.16261466 -56.84875193 -44.77886598],[ 73.43777079 -56.86913525 -12.40853612],[ 79.31088823 -33.21625684  -0.23866452]
sub-042,ses-3,run-02,[ 64.19145759 -79.24027853   5.13402241],[ 67.60530445 -58.30517507 -43.74607612],[ 73.76836448 -57.89503861 -12.21355911],[ 79.45121472 -34.03015513   0.45859509]
sub-033,ses-4,run-01,[-76.35446735 -48.98046112   0.44100011],[-77.26755552 -37.71786847  37.15686438],[-74.54167889   1.57761951  42.53424176],[-63.73363884 -58.73325731  63.18945839]
sub-033,ses-4,run-02,[-75.89995574 -49.82390568   0.58537531],[-76.86331378 -38.17360608  37.22790947],[-74.28822145   1.20896905  42.47919213],[-63.27900557 -59.4252024   63.28633346]
sub-033,ses-2,run-01,[-76.25547188 -38.74798477  39.78431042],[-75.41618121 -51.95767964   2.62501436],[-73.94384006   0.32087438  46.0860443 ],[-62.23147852 -58.94036482  67.2633501 ]
sub-033,ses-2,run-02,[-75.87870494 -39.41203737  40.28466335],[-75.12805039 -52.54813992   3.02241221],[-73.62523954  -0.19530185  46.52083064],[-62.07394398 -59.67031947  67.69924087]
sub-033,ses-1,run-01,[-75.57390201 -50.96993167   1.28641701],[-75.87628145 -43.2342436   38.61190929],[-73.38428605  -3.15650917  47.71338872],[-60.78249808 -65.99940565  62.35044187]
sub-033,ses-1,run-02,[-75.23137039 -50.99418674   1.44693965],[-75.6211833  -43.37602667  38.78014129],[-73.07474826  -3.34796197  47.92609822],[-60.69260637 -66.37173438  62.43263337]
sub-033,ses-3,run-01,[-77.87988601 -38.53361969  28.35070138],[-74.86082642 -55.98152807  -5.15320906],[-75.78535459   1.27979596  30.99860343],[-67.27151357 -58.02909283  58.50046102]
sub-033,ses-3,run-02,[-77.72929034 -39.16832854  28.90923132],[-74.90454094 -56.54266607  -4.97486169],[-75.78774883   0.50956812  31.31104498],[-67.33641066 -58.9135124   58.75772044]
sub-017,ses-4,run-01,[ 55.31598039 -81.28526988   5.10068484],[ 62.47065455 -67.35631696 -43.93953394],[ 66.35943125 -62.91966843 -15.12118556],[ 71.90772046 -37.0188072   -8.12372225]
sub-017,ses-4,run-02,[ 55.64596912 -82.77666114   4.69885946],[ 62.32771472 -67.91355145 -43.98503789],[ 66.54703622 -64.03216992 -15.16738459],[ 72.02654947 -38.136016    -7.69857439]
sub-017,ses-2,run-01,[ 57.75541356 -76.24332175  13.15819719],[ 64.23826451 -63.56183312 -36.1618231 ],[ 67.53516356 -57.56860999  -6.021969  ],[ 71.74485811 -30.67336295   1.85312697]
sub-017,ses-2,run-02,[ 57.56247667 -76.17721135  12.05000076],[ 64.32341606 -63.88926414 -37.19277815],[ 67.42505845 -57.57422855  -7.25545879],[ 71.39403197 -30.66802122   0.47252138]
sub-017,ses-1,run-01,[ 58.89712513 -72.61979803  15.9056605 ],[ 64.4368127  -63.08404467 -33.0613479 ],[ 68.05701646 -54.71653487  -4.34977288],[ 72.38678591 -27.67936168   2.30426753]
sub-017,ses-1,run-02,[ 59.57460402 -73.65124271  15.29923205],[ 64.24549792 -64.03590325 -33.57125746],[ 68.23850172 -55.61654712  -5.23279278],[ 72.65486883 -28.70177694   1.84767102]
sub-017,ses-3,run-01,[ 51.88934165 -86.98290323   5.04513123],[ 60.86463423 -69.60332683 -42.52065038],[ 64.28269281 -68.36067623 -11.15318645],[ 71.09980983 -44.00274581  -2.24307853]
sub-043,ses-4,run-01,[38.00820376 48.62720635 59.51606163],[ 54.45217817 -10.87866399  67.81050426],[61.96419716 21.59738536 48.11429528],[71.20688927 17.92498181 10.94173727]
sub-043,ses-4,run-02,[37.72971674 47.15451214 60.37131319],[ 54.39125929 -12.57049062  67.95332419],[61.94436917 20.32827029 48.80660469],[71.54788666 17.33535023 11.62964478]
